t_s,bob1_energy_proxy_fraction,bob2_energy_proxy_fraction,bob3_energy_proxy_fraction,bob4_energy_proxy_fraction,bob5_energy_proxy_fraction
1.11823000,0.3680700445,0.2805146973,0.1435214217,0.06224996562,0.1456438709
1.13492000,0.3763000449,0.3350086542,0.1399820426,0.05985800979,0.08885124845
1.15161000,0.3909942808,0.3731036069,0.1529882902,0.045114176,0.03779964604
1.16830000,0.3711458766,0.3833535183,0.1722738753,0.05932566649,0.01390106328
1.18499000,0.3057970816,0.3648728724,0.2002475766,0.1050556196,0.02402684981
1.20168000,0.2404017196,0.3316122476,0.2427090855,0.1391164842,0.04616046319
1.21837000,0.1932803486,0.2980751396,0.3115074638,0.1306504208,0.0664866272
1.23506000,0.1539032367,0.2893482656,0.3937590061,0.1006247495,0.06236474209
1.25175000,0.1272487351,0.3001782576,0.4535957566,0.07798689645,0.04099035419
1.26844000,0.1136989425,0.3229623511,0.474821083,0.06597014357,0.02254747982
1.28513000,0.1079954253,0.3587803953,0.4577808759,0.06406879835,0.01137450524
1.30182000,0.1154480048,0.3894343852,0.4111068446,0.07418921845,0.009821546955
1.31851000,0.1383998489,0.4043489101,0.3412233002,0.09574132203,0.02028661875
1.33520000,0.166798367,0.3738034678,0.2742211085,0.1256209879,0.05955606875
1.35189000,0.1839030133,0.2955496834,0.2345576036,0.1503439562,0.1356457435
1.36858000,0.1752055322,0.2215096563,0.2286930366,0.1571578073,0.2174339675
1.38527000,0.147204114,0.2179449415,0.2332338656,0.1423625411,0.2592545378
1.40196000,0.1166329357,0.2693950851,0.2317613344,0.1202069729,0.2620036719
1.41865000,0.09354251759,0.334112511,0.223122716,0.1005264407,0.2486958147
1.43534000,0.08181408934,0.3951370235,0.2123779905,0.08792868504,0.2227422116
1.45203000,0.08535943946,0.4197332617,0.2003889339,0.08832724969,0.2061911153
1.46872000,0.1051214869,0.4176118332,0.1901908791,0.09828598219,0.1887898186
1.48541000,0.1458902114,0.3948044428,0.1772400991,0.1166740859,0.1653911608
1.50210000,0.2180353104,0.3060189522,0.1585044779,0.1475700338,0.1698712257
1.51879000,0.2941003358,0.1783036794,0.1184804975,0.1829597978,0.2261556896
1.53548000,0.3224624469,0.07116773508,0.06729874459,0.2133671536,0.3257039198
1.55217000,0.2949724849,0.0189490181,0.03269696906,0.2340536892,0.4193278387
1.56886000,0.239685753,0.0102201169,0.01899696729,0.2602550941,0.4708420687
1.58555000,0.17297524,0.009891534752,0.01737273629,0.3049919906,0.4947684983
1.60224000,0.1170260948,0.02105031867,0.02786645281,0.3271648644,0.5068922693
1.61893000,0.08789169911,0.06196209821,0.06307725901,0.3027073123,0.4843616313
1.63562000,0.09279204151,0.1084449911,0.1257970529,0.2644336767,0.4085322378
1.65231000,0.1097795276,0.1226176579,0.2081935004,0.2303152628,0.3290940513
1.66900000,0.1213258871,0.1074286939,0.2953534732,0.2153894267,0.2605025191
1.68569000,0.1163463212,0.09080618867,0.3594369905,0.2296858333,0.2037246663
1.70238000,0.09731895403,0.08291776858,0.3855542759,0.2600729543,0.1741360472
1.71907000,0.07950877316,0.08653791775,0.3647386015,0.2945602953,0.1746544124
1.73576000,0.06307860529,0.1050929366,0.3154925069,0.3353281491,0.1810078021
1.75245000,0.04160813218,0.1303497825,0.2591260731,0.3656047302,0.203311282
1.76914000,0.02126352673,0.1476529309,0.2401576224,0.3451528846,0.2457730353
1.78583000,0.006746554991,0.1437413875,0.2779223576,0.2762955631,0.2952941368
1.80252000,0.005541738159,0.1222223285,0.3361753651,0.2328766451,0.3031839231
1.81921000,0.01483040295,0.09914391325,0.3727963416,0.274768997,0.2384603452
1.83590000,0.02486333527,0.07356306622,0.3584155376,0.369693148,0.1734649129
1.85259000,0.03252187015,0.05042875102,0.3130767105,0.4747031369,0.1292695314
1.86928000,0.03771873373,0.03501795337,0.2774908384,0.5436561931,0.1061162814
1.88597000,0.04139495503,0.02315575477,0.2631215266,0.5657428057,0.1065849579
1.90266000,0.04151088022,0.01494018131,0.2645339072,0.5519716079,0.1270434233
1.91935000,0.03667054714,0.01362388475,0.2748170911,0.5053246054,0.1695638716
1.93604000,0.02973867519,0.01660667415,0.2771003058,0.4421481371,0.2344062078
1.95273000,0.02758691926,0.02915001114,0.2515980792,0.3606642022,0.3310007882
1.96942000,0.03941098513,0.05659229027,0.1999193146,0.2735901633,0.4304872467
1.98611000,0.06920439196,0.09060444136,0.1402561232,0.2066814354,0.493253608
2.00280000,0.1107146877,0.124698574,0.1073601555,0.1673809046,0.4898456782
2.01949000,0.1688112058,0.1489836303,0.1088845729,0.1671096721,0.4062109189
2.03618000,0.2358500008,0.1597004671,0.1181657326,0.1852686792,0.3010151203
2.05287000,0.2877760731,0.1730838986,0.1175160823,0.2006652992,0.2209586467
2.06956000,0.3020574429,0.1680913092,0.1147321234,0.2020800717,0.2130390528
2.08625000,0.2640941858,0.1450390999,0.1224057602,0.1810064443,0.2874545098
2.10294000,0.2032607643,0.1317072495,0.1398699275,0.1540235296,0.3711385291
2.11963000,0.1548879089,0.1198779281,0.1555878677,0.1383751107,0.4312711846
2.13632000,0.1315637344,0.1249733053,0.1701518631,0.1464038573,0.4269072399
2.15301000,0.1233319975,0.1526026747,0.1649268711,0.1686013151,0.3905371416
2.16970000,0.1271883008,0.1782513937,0.151936605,0.1959684849,0.3466552156
2.18639000,0.1403078018,0.1895934565,0.1558882468,0.2169228298,0.2972876651
2.20308000,0.1598244247,0.1893535341,0.1952515444,0.2252386635,0.2303318333
2.21977000,0.1754127256,0.1757667211,0.2632635839,0.215945317,0.1696116524
2.23646000,0.1851441317,0.1870877324,0.3033963475,0.2044974794,0.119874309
2.25315000,0.1737591189,0.2507361235,0.3137721384,0.1861768763,0.07555574292
2.26984000,0.1400132856,0.3766640203,0.2848397867,0.1470359425,0.051446965
2.28653000,0.1117127758,0.4810305881,0.260807912,0.1046985038,0.04175022026
2.30322000,0.09058282429,0.5522477061,0.2462232216,0.07054002964,0.04040621841
2.31991000,0.07995979583,0.5857962318,0.2416165574,0.04875362041,0.04387379456
2.33660000,0.08115438777,0.5798640669,0.254846972,0.03538002257,0.04875455066
2.35329000,0.09516506995,0.535961942,0.2828371886,0.03078631853,0.05524948094
2.36998000,0.1242541313,0.4737729915,0.3152056334,0.03218960411,0.05457763968
2.38667000,0.1752536587,0.4029266893,0.3382752621,0.0383728684,0.04517152151
2.40336000,0.2649399938,0.3302194994,0.3156051254,0.0541055677,0.03512981378
2.42005000,0.3730856389,0.2698723577,0.2558113523,0.08448511976,0.01674553139
