frequency_Hz,bob1_amp,bob2_amp,bob3_amp,bob4_amp,bob5_amp
0.00000000,0.001387125988,0.001171495775,0.001248566074,0.0002703511364,0.001001971605
0.00553907,0.001727634602,0.0007136262426,0.0007871591304,0.0002622687844,0.0005755561878
0.01107814,0.001173312091,3.8960519e-05,5.067453648e-05,0.0001180328969,0.0001695355507
0.01661721,0.001563719865,0.0001489566133,6.567973681e-05,0.0003896381199,0.0004623717447
0.02215628,0.002555177541,0.0003073395401,0.0004499694721,0.0004267673979,0.001138339041
0.02769535,0.002972799469,0.0005501057759,0.0006541352986,0.0007284395946,0.001670542478
0.03323442,0.002047059748,0.001699382001,0.0005256279524,0.0005861329444,0.002044057315
0.03877349,0.002404147065,0.003199909312,0.0005047250877,0.0008203397918,0.00253473706
0.04431256,0.002116140863,0.002430815281,0.002315698809,0.002012957985,0.004741652865
0.04985163,0.002453297589,0.003451462647,0.002475307904,0.001644886563,0.008593890137
0.05539070,0.0005124676937,0.002263281484,0.00269730822,0.001662052265,0.008527912467
0.06092977,0.001907457642,0.004016298291,0.003653096653,0.001216038787,0.004862157294
0.06646884,0.002207880186,0.007290431881,0.002922743486,0.001796261053,0.00707607646
0.07200791,0.002018852808,0.00585421436,0.002619066169,0.004638283435,0.008424041358
0.07754698,0.003100644381,0.003567583283,0.005306961334,0.003643746088,0.009188590855
0.08308605,0.001661239845,0.003974010532,0.003959931331,0.002759638538,0.009368762736
0.08862512,0.0008911762622,0.002028151904,0.00130969235,0.004022171943,0.006566993115
0.09416419,0.001283293093,0.002365834459,0.003210708009,0.001297536021,0.003222770881
0.09970326,0.0008306389426,0.002505723375,0.00521774504,0.001826081232,0.002835724324
0.10524233,0.00110241801,0.002582516965,0.00431061963,0.001104722182,0.00343589721
0.11078139,0.002100844314,0.001586195408,0.00383550871,0.000887904222,0.001807230637
0.11632046,0.002720209691,0.0008672859867,0.002374059457,0.0006702803395,0.002846032982
0.12185953,0.001554720478,0.00333178698,0.001845773852,0.001166998951,0.002017761265
0.12739860,0.001235935736,0.001621792107,0.002728985751,0.00110898583,0.0006449434127
0.13293767,0.0008268261465,0.00130223383,0.00392210303,0.00184030912,0.002371268093
0.13847674,0.0003407207869,0.002688337383,0.002611276395,0.002504838942,0.003688257551
0.14401581,0.000408507459,0.003624904034,0.004080584757,0.002968023687,0.006083447741
