source,rank,frequency_Hz,amplitude,prominence
experiment,1,1.846560984939637,0.7519350181136862,0.7518494655340985
experiment,2,1.3867170042542798,0.4442370588762075,0.44407020889128096
experiment,3,2.543512018165881,0.37578840987499873,0.3757015000194406
experiment,4,3.369794170959882,0.09293020715620666,0.09288772861405974
experiment,5,0.6969510332262443,0.027987824444757572,0.027531547132633893
theory_model,1,1.9000007600002724,1.0240945557580432,1.0237209035412447
theory_model,2,1.4333339066668722,0.45987558808879986,0.45900707770173554
theory_model,3,2.53333434666703,0.28993678946117546,0.2887541167857523
theory_model,4,0.6333335866667575,0.13187732419241055,0.13084489541742242
theory_model,5,3.300001320000473,0.08070292766640667,0.08001428787553914
theory_model,6,0.783333646666779,0.06585627967524557,0.05963181006322551
theory_model,7,2.283334246666994,0.057225859127798366,0.054801959396380585
theory_model,8,4.433335106667302,0.04988468000146259,0.0495826190419368
