frequency_Hz,amplitude,power
0.0,0.00023557279528144297,5.5494541876712635e-08
0.007185062198208704,0.00017769620855281185,3.1575942534044406e-08
0.014370124396417407,5.330118598749642e-05,2.8410164276736846e-09
0.02155518659462611,0.00011265762400521442,1.2691740246500265e-08
0.028740248792834815,0.00033471027230686873,1.1203096638773821e-07
0.03592531099104352,0.0008878523196830998,7.882817415666613e-07
0.04311037318925222,0.0011700375943331626,1.3689879721529345e-06
0.050295435387460924,0.0005800779789265309,3.3649046163548885e-07
0.05748049758566963,0.0019022928232712566,3.6187179854693283e-06
0.06466555978387833,0.0030012280235669417,9.007369649443532e-06
0.07185062198208704,0.0027976731227700533,7.826974901869942e-06
0.07903568418029575,0.000992336742316414,9.84732210151153e-07
0.08622074637850444,0.0014057574102010082,1.976153896335046e-06
0.09340580857671314,0.0010100428288487013,1.020186516108687e-06
0.10059087077492185,0.00012480784058838465,1.5576997072335634e-08
0.10777593297313055,0.00097701556064154,9.54559405735703e-07
0.11496099517133926,0.0008833547630584664,7.803156374180793e-07
0.12214605736954796,0.00021480198409780548,4.613989237235388e-08
0.12933111956775667,0.001045632145224857,1.0933465831275363e-06
0.13651618176596536,0.0009233290510917196,8.525365365899353e-07
0.14370124396417408,0.0009417075774986903,8.868131615184518e-07
0.15088630616238277,0.0009731238685634552,9.469700635679048e-07
0.1580713683605915,0.00040224466471060476,1.6180077028814684e-07
0.16525643055880018,0.0003269465486562727,1.068940456782485e-07
0.17244149275700887,0.0006631371707100295,4.397509071773028e-07
0.1796265549552176,0.00046891449471443583,2.1988080335329467e-07
0.18681161715342628,0.0002851983253421515,8.13380847779677e-08
0.193996679351635,0.0004513455410257459,2.0371279740382325e-07
0.2011817415498437,0.00042767047284039884,1.8290203333953032e-07
0.20836680374805241,0.00024894523550399227,6.197373028013817e-08
0.2155518659462611,0.0007260268186947249,5.271149414639829e-07
0.22273692814446983,0.0008620912676346469,7.432013537319125e-07
0.22992199034267852,0.00044320700972083616,1.9643245346568534e-07
0.2371070525408872,0.00035567012072192084,1.2650123477434575e-07
0.24429211473909593,0.0002944811063188247,8.671912197875894e-08
0.25147717693730465,0.0001155348212895115,1.3348294930399362e-08
0.25866223913551334,0.0004603795820938585,2.1194935960891578e-07
0.26584730133372203,0.00034937233983376185,1.2206103184091758e-07
0.2730323635319307,0.0005546754693842988,3.076648763366922e-07
0.28021742573013947,0.0006139682808476637,3.7695704988703566e-07
0.28740248792834816,0.0006922022425918404,4.791439446491731e-07
0.29458755012655685,0.0003466167280110793,1.2014315613710655e-07
0.30177261232476554,0.0003295313084769054,1.0859088326650139e-07
0.30895767452297423,0.0005827361191207287,3.3958138452788816e-07
0.316142736721183,0.000258174059809995,6.665384515877489e-08
0.3233277989193917,0.0005049947848310866,2.550197327065954e-07
0.33051286111760037,0.0008256856242197129,6.817567500430968e-07
0.33769792331580906,0.0006895377724783426,4.754623396743946e-07
0.34488298551401775,0.0005843400946122622,3.414533461714675e-07
0.3520680477122265,0.0005788394195980363,3.350550736805915e-07
0.3592531099104352,0.00032126747320654087,1.0321278934051545e-07
0.3664381721086439,0.00020160247657184812,4.064355855990257e-08
0.37362323430685257,0.00024090084338384212,5.803321634304643e-08
0.3808082965050613,0.0004165088839322456,1.7347965039448483e-07
0.38799335870327,0.00034727276493785034,1.2059837326757946e-07
0.3951784209014787,0.00041787914249012795,1.7462297772828466e-07
0.4023634830996874,0.0006890985175214083,4.748567668502026e-07
0.4095485452978961,0.001013102536421057,1.026376749302779e-06
0.41673360749610483,0.00046838679624481346,2.193861908964804e-07
0.4239186696943135,0.00045916733262278957,2.1083463934792747e-07
0.4311037318925222,0.0008091054084934733,6.546515620533903e-07
0.4382887940907309,0.000320901846540675,1.0297799511321495e-07
0.44547385628893965,9.766320033616144e-05,9.538100699901205e-09
0.45265891848714834,0.0005554404456755297,3.0851408869223107e-07
0.45984398068535703,0.0007495381510744703,5.618074399161355e-07
0.4670290428835657,0.0004158722374277777,1.7294971786318592e-07
0.4742141050817744,0.0003785130485249893,1.432721279036809e-07
0.48139916727998316,0.0002982310487245909,8.894175842336933e-08
0.48858422947819186,0.0002931209366997793,8.591988353175601e-08
