frequency_Hz,amplitude,power
0.0,0.0010019716036952927,1.0039470946117166e-06
0.005539069745363872,0.0006050697079057292,3.661093514251245e-07
0.011078139490727744,0.00011248719784764995,1.2653369679616344e-08
0.016617209236091616,0.00047866176310985814,2.2911708346343797e-07
0.022156278981455488,0.001134155886501537,1.2863095748860874e-06
0.02769534872681936,0.0016693423158177976,2.7867037673799275e-06
0.03323441847218323,0.0020458858810464145,4.185649038265064e-06
0.0387734882175471,0.0025342674471413485,6.422511493640327e-06
0.044312557962910976,0.004741230679520495,2.2479268356426378e-05
0.04985162770827485,0.008594417088057167,7.386400508348905e-05
0.05539069745363872,0.00852754049035994,7.271894681472825e-05
0.06092976719900259,0.00486222888685781,2.3641269748194538e-05
0.06646883694436646,0.007076286809227765,5.0073835006450865e-05
0.07200790668973034,0.008423889609119868,7.096191614663768e-05
0.0775469764350942,0.009188585632457565,8.443010592500559e-05
0.08308604618045808,0.009368826535415507,8.777491065070574e-05
0.08862511592582195,0.0065669088478723615,4.3124291816264305e-05
0.09416418567118583,0.003222839494323511,1.0386694406171423e-05
0.0997032554165497,0.0028357665543505034,8.041571950772926e-06
0.10524232516191356,0.003435843081734327,1.1805017682301635e-05
0.11078139490727744,0.0018072587771801292,3.266184287694616e-06
0.11632046465264131,0.0028460461871485172,8.099978899382613e-06
0.12185953439800518,0.0020177344932619766,4.071252485299166e-06
0.12739860414336907,0.0006449741794711491,4.1599169218448203e-07
0.13293767388873293,0.0023712957590978317,5.623043577115362e-06
0.1384767436340968,0.003688237502498376,1.3603095874835457e-05
0.14401581337946068,0.006083458330733067,3.700846526176555e-05
0.14955488312482454,0.005643806486100727,3.185255165255263e-05
0.1550939528701884,0.002979886153981392,8.879721490690013e-06
0.1606330226155523,0.004191747342991671,1.757074578747773e-05
0.16617209236091615,0.004904579041878444,2.405489557803328e-05
0.17171116210628004,0.0025680469620784703,6.59486519944046e-06
0.1772502318516439,0.0017675384781804507,3.1241922718484637e-06
0.18278930159700776,0.002953132807231685,8.720993377148092e-06
0.18832837134237165,0.002222241275388874,4.938356286041969e-06
0.19386744108773551,0.004181773512772686,1.748722971212721e-05
0.1994065108330994,0.004092598475974181,1.6749362285546193e-05
0.20494558057846327,0.00017896404671074247,3.202813001508481e-08
0.21048465032382713,0.003007129304411007,9.042826653447428e-06
