t_s,theta1,theta2,theta3,theta4,theta5,omega1,omega2,omega3,omega4,omega5
0.00000000,-0.921602251,-0.3306706666,-0.1016550666,0.1188927537,0.3493012693,0,0,0,0,0
0.00833333,-0.9195978596,-0.3306706666,-0.1016550666,0.1188927537,0.3493012693,0.4809068414,0,6.760118512e-17,-5.408094809e-17,5.408094809e-17
0.01666667,-0.9135917517,-0.3306706666,-0.1016550666,0.1188927537,0.3493012693,0.9601517913,0,1.352023702e-16,-1.081618962e-16,1.081618962e-16
0.02500000,-0.9036043115,-0.3306706666,-0.1016550666,0.1188927537,0.3493012693,1.43616218,0,2.028035553e-16,-1.622428443e-16,1.622428443e-16
0.03333333,-0.8896698887,-0.3306699464,-0.1016550664,0.1188927537,0.3493012693,1.906927473,0.0003981447911,1.835518359e-07,5.82526712e-09,7.335014012e-13
0.04166667,-0.8718459347,-0.3306584253,-0.1016550456,0.1188927544,0.3493012693,2.369200054,0.002761034908,7.714318446e-06,2.529242652e-07,2.484766045e-10
0.05000000,-0.850213494,-0.3306164873,-0.1016548343,0.1188927615,0.3493012693,2.820570751,0.007805722022,5.363447185e-05,1.857561257e-06,4.548371226e-09
0.05833333,-0.8248736234,-0.3305191061,-0.1016536336,0.1188927964,0.3493012694,3.258395014,0.01617510684,0.0004187584668,7.582267544e-06,3.348738223e-08
0.06666667,-0.795959174,-0.3303358763,-0.1016398165,0.1188929273,0.3493012701,3.677616354,0.0285108504,0.00350243001,2.885126202e-05,1.384088079e-07
0.07500000,-0.7636419303,-0.3300313352,-0.1015839401,0.1188934465,0.3493012723,4.074553521,0.04537665469,0.01065986183,0.0001129093683,4.730979143e-07
0.08333333,-0.7281201555,-0.3295658107,-0.1014484766,0.1188952604,0.3493012807,4.446223878,0.06719735285,0.02274023611,0.0003615878654,1.840201056e-06
0.09166667,-0.6896166202,-0.3288965727,-0.1011892002,0.118900382,0.3493013131,4.78923067,0.09471374078,0.04047905933,0.0009398275598,6.952605887e-06
0.10000000,-0.6484139758,-0.3279468596,-0.1007567012,0.1189124806,0.3493014248,5.091535269,0.1364293742,0.06437138545,0.002080796348,2.247868532e-05
0.10833333,-0.604905865,-0.3265550898,-0.1000986382,0.1189374623,0.3493017531,5.340310286,0.2027004607,0.0946259645,0.004088212828,6.190797942e-05
0.11666667,-0.5596036569,-0.3244594425,-0.09916207073,0.1189840513,0.3493025882,5.518703654,0.3084884129,0.1311880068,0.007333892999,0.0001492171246
0.12500000,-0.5131941403,-0.3212372679,-0.09789509288,0.1190643326,0.3493044791,5.600669799,0.4781877342,0.1739073832,0.01225142724,0.0003232398607
0.13333333,-0.4666374614,-0.3162066846,-0.09624616886,0.1191942402,0.3493083769,5.545936213,0.7502317359,0.2229362043,0.01933028992,0.0006425785747
0.14166667,-0.4212984783,-0.3083007238,-0.09415868543,0.1193940187,0.3493158219,5.297826132,1.178002838,0.2796590704,0.0291160563,0.00119088244
0.15000000,-0.3790487763,-0.295991533,-0.09155001703,0.1196890263,0.3493291748,4.795729146,1.814128653,0.3489647744,0.04240075007,0.002082418623
0.15833333,-0.3421355555,-0.2774596069,-0.08828800931,0.1201142938,0.3493519041,4.022719155,2.662822689,0.4385829575,0.06056437606,0.003470865841
0.16666667,-0.3124791346,-0.2513618432,-0.08413361169,0.1207150598,0.3493889704,3.083005362,3.596127982,0.5672472025,0.08471651949,0.00556270573
0.17500000,-0.2906238934,-0.2179833392,-0.07863461657,0.1215464768,0.3494473128,2.186942567,4.366016703,0.7682398852,0.1162010292,0.00862797452
0.18333333,-0.2754527097,-0.179664501,-0.0709825922,0.1226785152,0.3495364268,1.493242361,4.755678952,1.094712619,0.1574547989,0.01301300046
0.19166667,-0.2651119133,-0.1400490786,-0.05985643416,0.1242163001,0.3496690991,1.021965055,4.670698942,1.612489483,0.2150456271,0.0191691558
0.20000000,-0.2579561538,-0.103139972,-0.04345206268,0.1263360242,0.3498625623,0.7177088513,4.114470891,2.361462113,0.2997597817,0.02772951617
0.20833333,-0.2528585225,-0.07245505084,-0.02007530855,0.129346861,0.3501405508,0.5189047636,3.211500356,3.255334105,0.4337208549,0.03965545327
0.21666667,-0.2491422241,-0.04982468342,0.01046624328,0.1338104015,0.3505375329,0.3802655038,2.23213506,4.027426847,0.6566760895,0.056782508
0.22500000,-0.2464328236,-0.03476256146,0.04590867342,0.140705889,0.3511128312,0.2737723547,1.422080024,4.395249887,1.029465142,0.08324465987
0.23333333,-0.2445311878,-0.02545234088,0.082219163,0.1515895196,0.3519663802,0.1845632979,0.8497145131,4.228146932,1.624230668,0.1247749122
0.24166667,-0.2433341063,-0.0200727398,0.1149666822,0.1684458539,0.3532688037,0.1037331308,0.466906632,3.558982339,2.454348,0.1937987815
0.25000000,-0.2427899604,-0.01733692893,0.140698178,0.1927398921,0.3553340502,0.02739745531,0.2048111304,2.593280652,3.366448723,0.3128670366
0.25833333,-0.2428710169,-0.01646713504,0.1582467921,0.2239466472,0.3587281409,-0.04658083777,0.01252852961,1.644040829,4.063315595,0.5209422612
0.26666667,-0.2435632173,-0.01701710205,0.1687175532,0.2592249375,0.3644217207,-0.1194290686,-0.139427232,0.9112836029,4.320262119,0.8754721098
0.27500000,-0.2448603209,-0.01872422481,0.1740925057,0.2945457768,0.3739083429,-0.191841627,-0.2669142905,0.4128420429,4.074686825,1.440667978
0.28333333,-0.2467603963,-0.02141631436,0.1760704187,0.3258973438,0.3890691178,-0.2641807522,-0.3766173718,0.08440791599,3.387147419,2.230800814
0.29166667,-0.2492634884,-0.02496491843,0.1757918603,0.3502647407,0.4114228451,-0.3365696635,-0.4730548911,-0.1377163907,2.438785824,3.136886952
0.30000000,-0.252369881,-0.0292691969,0.1739462005,0.3665469145,0.4410850951,-0.4089500405,-0.5581844908,-0.2974732353,1.488620203,3.949571081
0.30833333,-0.2560787332,-0.03423942338,0.1709320966,0.3756095276,0.4765408291,-0.4811138929,-0.6330143193,-0.4211583558,0.7240415908,4.513373039
0.31666667,-0.2603869154,-0.03979276314,0.1669882945,0.3792469636,0.5155539317,-0.5527229268,-0.6982348703,-0.5223859337,0.1841944037,4.808338346
0.32500000,-0.2652879963,-0.04585143609,0.1622692593,0.3791894405,0.5560769689,-0.6233258616,-0.7543787219,-0.6078226266,-0.1725051086,4.886594662
0.33333333,-0.270771373,-0.05234207288,0.1568946334,0.3767183595,0.5965709113,-0.6923757694,-0.8020016212,-0.6799977572,-0.4038871535,4.810746403
0.34166667,-0.2768215518,-0.05919605172,0.1509694567,0.3726808136,0.6359611243,-0.7592491067,-0.8416753736,-0.7401438995,-0.5545255561,4.628221289
0.35000000,-0.2834174959,-0.0663494108,0.144589461,0.3676180952,0.6735013451,-0.8232267072,-0.8739424698,-0.7892555715,-0.6537803715,4.370974747
0.35833333,-0.2905317969,-0.07374276985,0.1378447474,0.3618759106,0.7086603919,-0.8835324877,-0.8993732659,-0.8277333503,-0.7199145486,4.059431481
0.36666667,-0.2981308017,-0.0813215995,0.1308222593,0.3556806705,0.7410451654,-0.9394316107,-0.9185537722,-0.8560085449,-0.7639355298,3.706990968
0.37500000,-0.3061743531,-0.08903657726,0.123604798,0.3491764105,0.7703681799,-0.9900687564,-0.9321752009,-0.8746170677,-0.7956540978,3.326838395
0.38333333,-0.3146150094,-0.09684424528,0.1162702612,0.3424434257,0.7964346786,-1.034610391,-0.9408926591,-0.8842472257,-0.8188646621,2.925886256
0.39166667,-0.323398931,-0.1047059713,0.1088900468,0.3355512617,0.8190829969,-1.072345409,-0.94522768,-0.885717035,-0.8339379962,2.506954598
0.40000000,-0.3324669364,-0.1125868556,0.1015283545,0.3285657467,0.838175361,-1.102704951,-0.9455173437,-0.8800026945,-0.8413495295,2.072960888
0.40833333,-0.3417555616,-0.1204537692,0.09423675092,0.3215486667,0.8536027273,-1.125225341,-0.9419146658,-0.8693017239,-0.8416015014,1.628132821
0.41666667,-0.3511977944,-0.1282753157,0.08705083625,0.3145574922,0.8652894076,-1.139498966,-0.9346678296,-0.8547029497,-0.8352210467,1.175564906
0.42500000,-0.3607233191,-0.1360219703,0.08000154727,0.3076451115,0.8731800512,-1.145157713,-0.9239772838,-0.8365584454,-0.8227941687,0.7174394296
0.43333333,-0.3702587925,-0.1436662263,0.07311729191,0.300859339,0.8772371967,-1.141852091,-0.9101323086,-0.8151388737,-0.8049346329,0.2558785534
0.44166667,-0.3797291592,-0.1511823958,0.0664242669,0.2942430716,0.8774409255,-1.129534225,-0.8932444284,-0.7907117954,-0.7822035637,-0.2070386052
0.45000000,-0.3890593664,-0.1585452312,0.05994629931,0.2878344543,0.8737885293,-1.108230733,-0.87332974,-0.7635526801,-0.7552224969,-0.6692435232
0.45833333,-0.3981753103,-0.1657293608,0.05370556884,0.2816658137,0.866294665,-1.078161036,-0.8503371122,-0.7338114499,-0.7247226475,-1.128640656
0.46666667,-0.4070053385,-0.1727085087,0.04772263854,0.2757635146,0.8549915219,-1.039678449,-0.8241052153,-0.7017210687,-0.6914254765,-1.583111924
