t_s,theta1,theta2,theta3,theta4,theta5,omega1,omega2,omega3,omega4,omega5
0.00000000,-0.7470693258,-0.310360879,-0.08679287361,0.1279895837,0.3557389694,0,0,0,0,0
0.00833333,-0.7455045566,-0.3103606986,-0.08679271915,0.1279895838,0.3557389694,0.3753349382,8.655357914e-05,7.409693709e-05,5.097204794e-08,-1.474553134e-10
0.01666667,-0.7408204979,-0.3103579986,-0.08679041081,0.1279895883,0.3557389694,0.7482392395,0.0006910469585,0.0005897112974,1.642127426e-06,-3.188161346e-09
0.02500000,-0.7330471246,-0.3103462963,-0.08678045919,0.1279896354,0.3557389694,1.116381723,0.002332321142,0.001984947936,1.238326649e-05,-4.778051364e-09
0.03333333,-0.7222338663,-0.3103148818,-0.08675357829,0.1279898728,0.3557389696,1.477422835,0.005500476666,0.004724877435,5.186161663e-05,9.216846532e-08
0.04166667,-0.7084494913,-0.3102491042,-0.08669686012,0.1279906809,0.3557389723,1.829073949,0.01065316385,0.009217699985,0.0001572969186,7.16059471e-07
0.05000000,-0.6917816706,-0.3101306779,-0.08659391025,0.1279928404,0.3557389862,2.169081381,0.01819708287,0.01588084228,0.0003881617472,3.088109423e-06
0.05833333,-0.6723369413,-0.3099378709,-0.08642511401,0.1279977335,0.355739036,2.494859018,0.02882379891,0.02507722172,0.0008299368845,9.95784034e-06
0.06666667,-0.6502607189,-0.3096281122,-0.08616805331,0.1280075723,0.3557391791,2.799394915,0.04712330084,0.03711191524,0.001596631775,2.664896304e-05
0.07500000,-0.6257544746,-0.3091214093,-0.08579796872,0.1280256445,0.3557395327,3.077095332,0.07673920745,0.05224307103,0.002832568973,6.243071957e-05
0.08333333,-0.5990665549,-0.3083065136,-0.08528811811,0.1280565681,0.3557403133,3.321921702,0.1218703641,0.07069002353,0.004712574826,0.000132211727
0.09166667,-0.5705009176,-0.3070316238,-0.08461007163,0.1281065671,0.3557418923,3.526346806,0.1882435301,0.09262672871,0.007463194529,0.0002585326994
0.10000000,-0.5404326393,-0.3050888183,-0.08373465677,0.1281846333,0.3557448694,3.680742297,0.2836807949,0.118067276,0.0115230386,0.0004743539401
0.10833333,-0.5093282333,-0.3021941252,-0.08263188995,0.1283032332,0.3557501784,3.772741732,0.418643163,0.1472547452,0.01724503824,0.0008276867738
0.11666667,-0.4777699167,-0.2979646975,-0.08126848112,0.1284775851,0.35575923,3.786911557,0.6063858473,0.1807502183,0.02496009859,0.001385470427
0.12500000,-0.446476714,-0.2919030343,-0.07960268712,0.128725743,0.3557740822,3.706216017,0.8605414863,0.2202660036,0.03501937272,0.002236658924
0.13333333,-0.4163063206,-0.2834072396,-0.07757346472,0.1290688313,0.3557976364,3.515612372,1.191603759,0.2684272911,0.04781338872,0.003495144968
0.14166667,-0.3882062056,-0.2718271156,-0.07509575271,0.1295314998,0.355833857,3.20973137,1.599271719,0.3286019928,0.06380313115,0.005302743151
0.15000000,-0.3630857798,-0.2566138037,-0.07204229071,0.1301426162,0.3558880184,2.805317869,2.056707751,0.4081658785,0.083533306,0.007832577704
0.15833333,-0.3416104096,-0.2375587268,-0.06821317374,0.1309359023,0.3559669809,2.343763542,2.509776831,0.5169094826,0.1076648626,0.01129288497
0.16666667,-0.3240264985,-0.2149973153,-0.06330926415,0.1319521889,0.3560795033,1.880763359,2.885878899,0.6685113956,0.1372845602,0.01593214353
0.17500000,-0.3101247877,-0.189875581,-0.05690786999,0.1332472616,0.3562366172,1.466765212,3.113915213,0.8789949064,0.1752256388,0.02205020634
0.18333333,-0.2993695176,-0.1636415154,-0.04845259428,0.1349052676,0.3564521294,1.127685045,3.14780114,1.163632815,0.2249585959,0.03001734214
0.19166667,-0.2911175394,-0.1379850137,-0.03729449406,0.1370417082,0.3567433982,0.8647159539,2.976635229,1.526152667,0.2913175956,0.04032738276
0.20000000,-0.2847789524,-0.1145322225,-0.02286414151,0.1398310922,0.3571336379,0.6658323958,2.626480591,1.942390797,0.3830000193,0.05404364591
0.20833333,-0.2798887439,-0.09453517775,-0.004936038102,0.1435286557,0.3576578448,0.5145624733,2.159922772,2.352811749,0.5117112791,0.07271449288
0.21666667,-0.2761130895,-0.0786228993,0.01609243648,0.1485071774,0.3583639377,0.3960622378,1.660219299,2.6713767,0.693418628,0.09803070585
0.22500000,-0.2732268731,-0.06675792126,0.03911021432,0.1552798016,0.3593167506,0.2993030636,1.198144746,2.819497647,0.9448632822,0.1324008767
0.23333333,-0.271087972,-0.05843942687,0.06248558817,0.1644779487,0.3606069878,0.2158326221,0.8120767299,2.754093046,1.275537288,0.1801332528
0.24166667,-0.2696055347,-0.05299741006,0.08443422242,0.1767244874,0.362375714,0.1410580806,0.5068796423,2.482272847,1.672027223,0.248291953
0.25000000,-0.2687246374,-0.04979559386,0.1034283893,0.1924002381,0.3648288538,0.07087711352,0.2718313613,2.057342502,2.087605139,0.3464418726
0.25833333,-0.2684178148,-0.04831977193,0.1185362116,0.2113550212,0.3682691281,0.003035290913,0.08999434469,1.564950664,2.444293334,0.4876773302
0.26666667,-0.2686708422,-0.04819051417,0.1295589035,0.2327455904,0.3731212469,-0.06363544104,-0.05363348758,1.088521346,2.660646415,0.6879736435
0.27500000,-0.2694770531,-0.04913601061,0.1368620031,0.2551655316,0.3799396111,-0.1298059394,-0.1695505694,0.6774621741,2.686375015,0.9613534055
0.28333333,-0.2708337424,-0.05096213564,0.1410770636,0.2769622243,0.3893575794,-0.1957783309,-0.265814732,0.3473270594,2.513200937,1.311043731
0.29166667,-0.2727396719,-0.05352278703,0.1428566867,0.2965777807,0.4019610454,-0.2616165413,-0.346405676,0.09092275831,2.170863114,1.72093104
