t_s,theta1,theta2,theta3,theta4,theta5,omega1,omega2,omega3,omega4,omega5
0.00000000,-0.3464326412,-0.1030414814,-0.01834564708,0.05704100982,0.1655370581,0,0,0,0,0
0.00833333,-0.3457755082,-0.1030414616,-0.01834564707,0.05704100982,0.1655370581,0.1576345157,9.404112803e-06,5.125840215e-09,1.168732853e-12,7.060568223e-17
0.01666667,-0.34380785,-0.103041199,-0.01834564664,0.05704100982,0.1655370581,0.3143867187,6.415611513e-05,1.533869883e-07,1.654273341e-10,7.712468985e-14
0.02500000,-0.3405405083,-0.1030401609,-0.01834564246,0.05704100982,0.1655370581,0.4694188203,0.0002021492587,1.071547115e-06,2.658657349e-09,2.940060418e-12
0.03333333,-0.3359913004,-0.1030374923,-0.01834562257,0.0570410099,0.1655370581,0.6218961597,0.0004615234577,4.271176507e-06,1.879789148e-08,3.740570743e-11
0.04166667,-0.3301849622,-0.1030320364,-0.0183455574,0.05704101027,0.1655370581,0.7709935469,0.00087640069,1.251887859e-05,8.560359149e-08,2.66672141e-10
0.05000000,-0.3231530549,-0.1030223726,-0.01834538807,0.05704101171,0.1655370581,0.9158986232,0.001475738267,3.013112758e-05,2.953323588e-07,1.324293562e-09
0.05833333,-0.3149338433,-0.1030068644,-0.01834501253,0.05704101611,0.1655370581,1.055815477,0.002282333794,6.317117453e-05,8.404483031e-07,5.127982283e-09
0.06666667,-0.3055721431,-0.1029837134,-0.01834427061,0.05704102761,0.1655370582,1.189968545,0.003312011095,0.0001195323495,2.075043497e-06,1.654590702e-08
0.07500000,-0.2951190556,-0.1029510967,-0.01834292883,0.05704105423,0.1655370584,1.317642214,0.00453863812,0.0002088778237,4.592073489e-06,4.641796865e-08
0.08333333,-0.2836312342,-0.1029077261,-0.01834066756,0.05704111023,0.1655370591,1.438189447,0.005890065645,0.0003420575946,9.31347624e-06,1.16549553e-07
0.09166667,-0.2711709249,-0.1028526166,-0.01833707525,0.05704121926,0.1655370606,1.550928259,0.007353763046,0.0005301717813,1.758466104e-05,2.673738049e-07
0.10000000,-0.2578102945,-0.1027804961,-0.01833164731,0.05704141827,0.1655370639,1.653068656,0.01106931735,0.0007851327909,3.12619326e-05,5.68975961e-07
0.10833333,-0.243667456,-0.1026453258,-0.01832370114,0.0570417621,0.1655370708,1.738268422,0.02276827871,0.001146924212,5.281941031e-05,1.136083112e-06
0.11666667,-0.2288910341,-0.1023758936,-0.01831191546,0.05704233005,0.1655370841,1.804622772,0.04368204421,0.001733797126,8.577570493e-05,2.147939175e-06
0.12500000,-0.2136496828,-0.1018867912,-0.01829359549,0.057043239,0.1655371086,1.849678255,0.07553389902,0.002759591776,0.0001359098016,3.876807234e-06
0.13333333,-0.1981292799,-0.1010817665,-0.01826382289,0.05704467067,0.1655371518,1.871029467,0.1199309944,0.004545154804,0.000213463049,6.73524573e-06
0.14166667,-0.1825364338,-0.09985079445,-0.01821453266,0.05704692165,0.1655372257,1.866751589,0.1779217196,0.00752627448,0.0003363943285,1.136041371e-05
0.15000000,-0.1670945589,-0.09807466286,-0.01813353884,0.05705048497,0.1655373488,1.834669317,0.2507301416,0.01225600166,0.0005346908287,1.87621198e-05
0.15833333,-0.1520404509,-0.09562903892,-0.01800356726,0.05705617171,0.1655375506,1.773284564,0.3388272975,0.01940080579,0.0008556560325,3.056942005e-05
0.16666667,-0.1376211994,-0.09238810936,-0.01780135929,0.05706528023,0.1655378777,1.682352687,0.4413694094,0.02972782544,0.00136999632,4.941749167e-05
0.17500000,-0.1240836699,-0.08823550149,-0.01749693032,0.0570798184,0.1655384052,1.562028603,0.5570850696,0.04407861284,0.002178413254,7.952130205e-05
0.18333333,-0.1116597832,-0.08307988921,-0.01705232621,0.0571027817,0.1655392524,1.41545746,0.6813256099,0.06372098902,0.003418442111,0.0001274842165
0.19166667,-0.1005560081,-0.07687235279,-0.01641441361,0.05713850101,0.1655406071,1.246210209,0.8082837768,0.09069554221,0.00527577971,0.0002033917042
0.20000000,-0.09093372828,-0.06962313336,-0.01551757185,0.0571931118,0.165542761,1.061093371,0.9299699579,0.1259978607,0.007999646883,0.0003222730319
0.20833333,-0.08289498772,-0.06141048044,-0.0142890716,0.05727511354,0.1655461577,0.8673828646,1.037947609,0.1705993411,0.01190853555,0.0005060295864
0.21666667,-0.07648105407,-0.05238967487,-0.01264156906,0.05739596139,0.1655514605,0.6723231051,1.122489154,0.2267741791,0.01739511984,0.0007858591165
0.22500000,-0.07167433451,-0.04278701293,-0.0104777396,0.0575709856,0.1655596414,0.4827338531,1.176564051,0.2943388663,0.02507682679,0.001205233955
0.23333333,-0.06840346948,-0.03288561407,-0.007702796819,0.05782312741,0.1655721018,0.3045543589,1.193091987,0.3735928564,0.03605603083,0.001824960885
0.24166667,-0.06655989326,-0.02301048195,-0.004222961552,0.05818333706,0.1655908497,0.1404132316,1.170492799,0.462970411,0.0511464891,0.002730977046
0.25000000,-0.06601728516,-0.01348606625,3.318362519e-05,0.05868921827,0.1656187354,-0.007263050063,1.10872784,0.5596089622,0.07114952479,0.004040431525
0.25833333,-0.06663603964,-0.004631354614,0.00511457782,0.05938494853,0.1656597335,-0.13857656,1.010950451,0.6600457825,0.09683211613,0.005906852823
0.26666667,-0.06828125602,0.003279986042,0.01102650379,0.06032079087,0.1657192655,-0.2535436871,0.8833578016,0.7577284937,0.1289378162,0.008524496008
0.27500000,-0.07082131185,0.01003266569,0.01771189152,0.0615573806,0.1658045556,-0.353750669,0.7344788386,0.8442120067,0.1693434203,0.01213309621
0.28333333,-0.07413859237,0.01548473567,0.02504449071,0.063168269,0.1659250518,-0.440107452,0.5724443093,0.9119231629,0.2187606888,0.01702820506
0.29166667,-0.07812191685,0.0195605039,0.03284063506,0.06522751437,0.1660929107,-0.5140478597,0.4057570405,0.9544400719,0.276883667,0.02356363568
0.30000000,-0.08267599108,0.02225700711,0.04086230909,0.06780946639,0.1663234581,-0.5771673795,0.2424924859,0.9649942725,0.3443279323,0.0321452703
0.30833333,-0.08771276678,0.02362257643,0.04882985077,0.07098875276,0.1666356083,-0.629991419,0.08671581913,0.9416392664,0.4198179147,0.0432275679
0.31666667,-0.09315030088,0.02373399412,0.05646341731,0.07482049115,0.1670522144,-0.6736550701,-0.0576390981,0.8849123364,0.500340915,0.05729675353
0.32500000,-0.0989183882,0.02270157487,0.06349173499,0.07933205153,0.1676003889,-0.7094058579,-0.1879217676,0.7971391678,0.5823815786,0.07497699599
0.33333333,-0.1049530295,0.02064114319,0.06967632168,0.08451725774,0.1683157308,-0.7377036736,-0.3041055431,0.6832157151,0.6610052579,0.09759144128
0.34166667,-0.1111939974,0.01767377309,0.07482294796,0.09032293113,0.1692422733,-0.7589983368,-0.4058972783,0.5494743809,0.7303128847,0.1257290685
0.35000000,-0.1175847721,0.0139120978,0.07880229022,0.09664707295,0.1704273447,-0.7737300915,-0.4947236418,0.4041919512,0.7844910915,0.15966444
0.35833333,-0.12407247,0.009464706086,0.08154329973,0.1033430811,0.1719195847,-0.7823309924,-0.5705854404,0.2531409971,0.8189957548,0.1994822387
0.36666667,-0.1306077612,0.004433079196,0.0830238679,0.1102299028,0.1737711408,-0.7852218471,-0.6352179689,0.1028290282,0.8295004815,0.2460381141
0.37500000,-0.1371447889,-0.001092757148,0.08327440654,0.1170923682,0.1760380855,-0.7828161653,-0.6892343246,-0.0412830646,0.8127914225,0.2990090938
0.38333333,-0.1436412018,-0.007025392069,0.08236055493,0.1237011608,0.1787690467,-0.7755552837,-0.732894612,-0.1765176292,0.7690336215,0.3571561421
0.39166667,-0.1500583706,-0.0132812928,0.08036342251,0.1298388363,0.1820004031,-0.7638510215,-0.7670929598,-0.3005940984,0.6998407671,0.4187871586
0.40000000,-0.1563605843,-0.01978704952,0.07738804401,0.1353000541,0.1857529591,-0.748018335,-0.7929256699,-0.4114521489,0.6074109801,0.4819332897
0.40833333,-0.1625147759,-0.02647450728,0.07354130775,0.1399093388,0.1900308759,-0.728389897,-0.8107540652,-0.5095383382,0.4959205848,0.5444052595
0.41666667,-0.1684910543,-0.03327817701,0.06893332833,0.1435232709,0.1948158375,-0.7053854715,-0.8208701717,-0.594293413,0.3694694797,0.6030767867
0.42500000,-0.1742627618,-0.04013533231,0.06366944153,0.1460420678,0.2000633201,-0.6793450929,-0.8236609424,-0.6670373054,0.2338115348,0.6550169607
0.43333333,-0.1798059552,-0.04698665762,0.05784975779,0.1474050556,0.2057073628,-0.650597954,-0.8195398721,-0.7276530048,0.09273595499,0.697804676
0.44166667,-0.1850994534,-0.0537763065,0.05157383681,0.1475857182,0.2116606671,-0.6194714897,-0.8089305538,-0.776831881,-0.04898678453,0.7288165897
0.45000000,-0.1901247367,-0.06045195016,0.04493120277,0.1466005272,0.2178148703,-0.5862768561,-0.7922472763,-0.8156920249,-0.1864466679,0.7456541553
0.45833333,-0.1948658078,-0.06696481246,0.03800719589,0.1444960128,0.2240472112,-0.551308073,-0.7699431151,-0.8443951879,-0.3174501443,0.7476556577
0.46666667,-0.1993090461,-0.0732700777,0.03088543657,0.1413336563,0.2302330161,-0.5148416176,-0.7425065809,-0.8632068162,-0.4398437225,0.7342748444
0.47500000,-0.2034430623,-0.07932705506,0.02364676037,0.1371952068,0.2362410956,-0.4771364984,-0.7104381052,-0.8725781291,-0.5516235608,0.7052417353
0.48333333,-0.2072585539,-0.08509925534,0.01636605995,0.1321718764,0.2419470812,-0.4384346446,-0.6742451339,-0.8734097174,-0.6519057284,0.6617759499
0.49166667,-0.2107481655,-0.09055443912,0.009112432379,0.1263659393,0.2472310988,-0.3989615624,-0.6344395981,-0.8661429518,-0.7394769321,0.6042404841
0.50000000,-0.2139063556,-0.09566463449,0.001951728319,0.1198811805,0.2519840731,-0.3589272197,-0.5915327398,-0.8511797495,-0.8147450571,0.5344865175
0.50833333,-0.2167292711,-0.100406106,-0.005053779276,0.1128233013,0.2561069262,-0.3185271095,-0.5460291097,-0.828975727,-0.8770160077,0.4532323541
0.51666667,-0.219214632,-0.1047592759,-0.01184580846,0.105298151,0.2595119653,-0.2779434324,-0.4984211456,-0.8000320444,-0.9269501342,0.3624924616
0.52500000,-0.2213616534,-0.1087085745,-0.01837042864,0.09740942428,0.2621247107,-0.2373732565,-0.4491573433,-0.7648909378,-0.9641923298,0.2632108685
0.53333333,-0.2231722102,-0.112241563,-0.02457782261,0.0892558471,0.2638861495,-0.1972614779,-0.3986501286,-0.7238825978,-0.9914855868,0.1593447172
0.54166667,-0.2246511966,-0.1153516872,-0.03041919063,0.08090517921,0.2647780828,-0.1578159773,-0.3477531615,-0.6771505831,-1.011388432,0.05462432533
0.55000000,-0.2258046394,-0.1180375785,-0.03585089139,0.07242273913,0.2647957645,-0.1191487851,-0.2969012754,-0.6257866027,-1.022917006,-0.05038054869
0.55833333,-0.2266394555,-0.1203012271,-0.04083897276,0.06388203468,0.2639392045,-0.08136181375,-0.2464746354,-0.5708250663,-1.025279058,-0.1550983384
0.56666667,-0.2271633755,-0.122147611,-0.04535704396,0.05536162505,0.262213176,-0.0445487234,-0.1968104898,-0.5131277656,-1.017971828,-0.2589581225
0.57500000,-0.2273848817,-0.1235843471,-0.04938587517,0.04694377826,0.259627194,-0.008796514413,-0.1482053153,-0.4535469889,-1.00061109,-0.3613932094
0.58333333,-0.2273131583,-0.1246213626,-0.05291312375,0.03871332536,0.2561954694,0.02581313502,-0.1009176403,-0.3928745496,-0.9729732376,-0.461843736
0.59166667,-0.2269580522,-0.1252705919,-0.0559332905,0.03075682122,0.2519368412,0.05920268427,-0.05517720512,-0.3321113942,-0.934710098,-0.5597592492
0.60000000,-0.226330043,-0.125547227,-0.05845158926,0.02316723494,0.2468746872,0.09129756783,-0.01164009561,-0.2725030137,-0.884849465,-0.6546013365
0.60833333,-0.2254402314,-0.1254718241,-0.06047957992,0.01604133065,0.2410368125,0.1220224381,0.02929524578,-0.2145359251,-0.8234757533,-0.7458463187
0.61666667,-0.2243003593,-0.125066432,-0.06203320016,0.009473527024,0.2344553152,0.1512987229,0.0675463996,-0.1587280614,-0.7509894085,-0.8329880156
0.62500000,-0.2229228361,-0.1243536496,-0.06313249349,0.003554493302,0.2271663904,0.1790448895,0.103062854,-0.1057021419,-0.6677240512,-0.9155583931
0.63333333,-0.2213207607,-0.1233563911,-0.063806541,-0.001624050991,0.2192098759,0.2051771553,0.1358170952,-0.05677339853,-0.5733368321,-0.993136372
0.64166667,-0.2195079363,-0.1220977574,-0.06409017149,-0.00597300953,0.2106291874,0.2296104174,0.1657901949,-0.01196033761,-0.4688380709,-1.06529015
0.65000000,-0.2174988772,-0.1206009818,-0.06401632403,-0.009413816179,0.2014712377,0.2522592823,0.1929698214,0.02909978908,-0.3556336625,-1.131613821
0.65833333,-0.2153088067,-0.1188893583,-0.06361404387,-0.01188053897,0.191786199,0.2730391617,0.217354787,0.06697268186,-0.2353438481,-1.191731503
0.66666667,-0.2129536458,-0.1169861205,-0.06290719257,-0.01332126757,0.1816272413,0.2918674539,0.2389619954,0.1022470017,-0.1096240637,-1.245300062
0.67500000,-0.210449991,-0.1149142624,-0.06191619253,-0.01369647428,0.1710502485,0.3086648559,0.2578327101,0.1353141566,0.02005455914,-1.292011698
0.68333333,-0.2078150806,-0.1126963173,-0.06065484087,-0.01298230786,0.1601135064,0.3233568392,0.2740377378,0.1673440065,0.1514329091,-1.331602575
