bob,theta_equilibrium_rad,theta_equilibrium_deg,residual_accel_rad_s2,held_release_bob,release_delta_deg
1,-0.6954984915,-39.84912822,46.06288581,yes,-30
2,-0.133029392,-7.622022712,-1.13569991e-14,no,-30
3,-0.03249230892,-1.861672168,-3.244856886e-15,no,-30
4,0.04926296457,2.822559956,3.082614041e-14,no,-30
5,0.1607610179,9.210927836,-2.27139982e-14,no,-30
