t_s,theta1,theta2,theta3,theta4,theta5,omega1,omega2,omega3,omega4,omega5
0.29166667,-0.3182040855,-0.1022797615,0.08334990369,0.2391539384,0.3994882476,-0.1731586606,-0.1501857297,0.2814346067,1.13599787,0.7916601987
0.30000000,-0.3198229314,-0.1037808194,0.08509990758,0.2482238499,0.4066611183,-0.2151574744,-0.2085681084,0.1413248403,1.034243075,0.9303944273
0.30833333,-0.3217866111,-0.1057324003,0.0857559082,0.2562933181,0.414992128,-0.2559169677,-0.2584907334,0.01917293872,0.8975014961,1.068117223
0.31666667,-0.3240846084,-0.1080683548,0.08546606394,0.2631211557,0.4244341108,-0.2953753083,-0.3009821723,-0.08595059809,0.7385346302,1.195407183
0.32500000,-0.3267055036,-0.1107308912,0.08436999949,0.2685728764,0.4348612935,-0.3333807063,-0.3370343052,-0.1743920287,0.5689524834,1.303294333
0.33333333,-0.3296363057,-0.113670393,0.08259883124,0.2726075378,0.4460817061,-0.3697112098,-0.3676424586,-0.2484499892,0.4004997344,1.384590436
0.34166667,-0.3328619558,-0.1168464729,0.08026616194,0.2752773911,0.4578470355,-0.4040964323,-0.3939665285,-0.309234008,0.242326272,1.433566633
0.35000000,-0.336365023,-0.1202264523,0.07747940337,0.2766863261,0.4698805169,-0.4362410561,-0.416669145,-0.357622419,0.09875756315,1.448514202
0.35833333,-0.3401255712,-0.1237822728,0.0743343875,0.2769762171,0.4818920113,-0.4658387963,-0.4362415303,-0.3956375806,-0.02597404293,1.428679019
0.36666667,-0.3441209885,-0.1274895463,0.07090998095,0.2763096508,0.493599138,-0.4925556148,-0.4530753543,-0.424821667,-0.1307614904,1.37578174
0.37500000,-0.3483260278,-0.1313267557,0.06727611293,0.2748488596,0.5047389839,-0.5161041735,-0.4674676386,-0.4460530951,-0.2166436241,1.292905509
0.38333333,-0.3527132367,-0.13527446,0.06349560624,0.2727480873,0.5150727041,-0.5362383905,-0.4796198293,-0.4601457422,-0.2848828537,1.183143775
0.39166667,-0.3572532719,-0.1393145041,0.05962454897,0.2701447,0.5243934052,-0.552751694,-0.4896381584,-0.4679263644,-0.3373690584,1.050150481
0.40000000,-0.3619152236,-0.1434291683,0.05571204858,0.267162763,0.5325215566,-0.565462188,-0.4975319258,-0.4702262811,-0.3761985832,0.8976673375
0.40833333,-0.3666664326,-0.1476009262,0.05180048573,0.2639083627,0.5393088592,-0.5741476921,-0.5033359801,-0.467833481,-0.4029396499,0.7287691423
0.41666667,-0.3714729484,-0.1518120121,0.04792564323,0.2604748954,0.5446321567,-0.5787297498,-0.5069462639,-0.4615447876,-0.4195742453,0.5469589816
0.42500000,-0.3763004505,-0.1560434754,0.04411670621,0.2569392669,0.5483971942,-0.5791772198,-0.5081956976,-0.4521500532,-0.4276436316,0.3551992715
0.43333333,-0.3811144027,-0.1602748389,0.040396303,0.2533680339,0.5505314682,-0.575487342,-0.5068883096,-0.440414717,-0.4283248541,0.1559973092
0.44166667,-0.385880647,-0.1644839394,0.03678109024,0.2498171537,0.5509839213,-0.5677487742,-0.5028153632,-0.4270103476,-0.4230553519,-0.04792700952
0.45000000,-0.3905661659,-0.1686466979,0.0332824286,0.2463291103,0.5497275494,-0.5561463357,-0.4957258969,-0.4125376107,-0.4134547253,-0.2537147695
0.45833333,-0.3951394711,-0.172736931,0.02990671172,0.242934881,0.5467567199,-0.5408433376,-0.4853692556,-0.3976032652,-0.4007460745,-0.4590060652
0.46666667,-0.3995704008,-0.1767267549,0.02665567868,0.2396551251,0.5420853523,-0.52200548,-0.4716182849,-0.382676,-0.386199443,-0.6614516827
0.47500000,-0.4038302523,-0.1805876756,0.0235278413,0.2364995465,0.5357469742,-0.4998164331,-0.4544323138,-0.3680829474,-0.3711739668,-0.8586956269
0.48333333,-0.4078919012,-0.1842912675,0.02051936342,0.2334663912,0.5277947826,-0.474465811,-0.4338799698,-0.3540652375,-0.3570691823,-1.048349928
