t_s,theta1,theta2,theta3,theta4,theta5,omega1,omega2,omega3,omega4,omega5
0.00000000,-1.096135176,-0.3306706666,-0.1016550666,0.1188927537,0.3493012693,0,0,0,0,0
0.00833333,-1.093885512,-0.3306706666,-0.1016550666,0.1188927537,0.3493012693,0.5397874354,0,6.760118512e-17,-5.408094809e-17,5.408094809e-17
0.01666667,-1.087142796,-0.3306706666,-0.1016550666,0.1188927537,0.3493012693,1.078106255,0,1.352023702e-16,-1.081618962e-16,1.081618962e-16
0.02500000,-1.075924976,-0.3306706666,-0.1016550666,0.1188927537,0.3493012693,1.613578741,0,2.028035553e-16,-1.622428443e-16,1.622428443e-16
0.03333333,-1.060261699,-0.3306706666,-0.1016550666,0.1188927537,0.3493012693,2.144770813,0,2.704047405e-16,-2.163237924e-16,2.163237924e-16
0.04166667,-1.040194889,-0.3306706666,-0.1016550666,0.1188927537,0.3493012693,2.670165827,0,3.380059256e-16,-2.704047405e-16,2.704047405e-16
0.05000000,-1.015779534,-0.3306706666,-0.1016550666,0.1188927537,0.3493012693,3.18814116,0,4.056071107e-16,-3.244856886e-16,3.244856886e-16
0.05833333,-0.9870846563,-0.3306706666,-0.1016550666,0.1188927537,0.3493012693,3.696948546,0,4.732082958e-16,-3.785666367e-16,3.785666367e-16
0.06666667,-0.954194424,-0.3306706666,-0.1016550666,0.1188927537,0.3493012693,4.194699188,0,5.408094809e-16,-4.326475847e-16,4.326475847e-16
0.07500000,-0.9172093644,-0.3306706666,-0.1016550666,0.1188927537,0.3493012693,4.679354664,0,6.08410666e-16,-4.867285328e-16,4.867285328e-16
0.08333333,-0.8762488847,-0.3306694268,-0.1016550663,0.1188927537,0.3493012693,5.14789972,0.0008128870648,2.710621663e-07,8.590984583e-09,7.812083087e-13
0.09166667,-0.8314754717,-0.3306415158,-0.1016550225,0.1188927551,0.3493012693,5.593507528,0.006966371813,3.888528072e-05,5.635239014e-07,4.878330055e-10
0.10000000,-0.78310827,-0.3305336667,-0.1016452495,0.1188927793,0.3493012693,6.008829963,0.02018283699,0.003288370576,8.543121601e-06,-3.489999329e-09
0.10833333,-0.7314303632,-0.3302829976,-0.1015817135,0.1188930561,0.3493012691,6.387437255,0.04134301084,0.01319103227,7.671052423e-05,-4.154731391e-08
0.11666667,-0.6767650317,-0.3298197487,-0.1014031718,0.1188946088,0.3493012697,6.723953387,0.07235580508,0.03107095211,0.0003468304655,3.86250468e-07
0.12500000,-0.6195380324,-0.3290057146,-0.1010396059,0.1189000726,0.3493012841,6.998341689,0.1288535331,0.05765952081,0.001065806462,4.068380432e-06
0.13333333,-0.5603668804,-0.3275393892,-0.1004178674,0.118914608,0.3493013684,7.185292041,0.2339039468,0.09298169084,0.00259345705,1.918850038e-05
0.14166667,-0.5001457818,-0.3248560869,-0.09946698278,0.1189468429,0.3493016844,7.24047381,0.4306369318,0.1365662846,0.005401300276,6.382225314e-05
0.15000000,-0.4402826231,-0.3198859644,-0.09811953136,0.1190097858,0.3493026057,7.080934113,0.8009108421,0.1882181245,0.01006924692,0.0001717256394
0.15833333,-0.383125848,-0.310636271,-0.09630335833,0.1191217584,0.3493048759,6.561209326,1.486202918,0.2497365851,0.01729678278,0.0003992477651
0.16666667,-0.332440139,-0.2937701333,-0.09390587348,0.1193074126,0.3493098298,5.501556441,2.651729451,0.3298545184,0.02789189472,0.0008332675248
