bob,theta_equilibrium_rad,theta_equilibrium_deg,residual_accel_rad_s2,held_release_bob,release_delta_deg
1,-0.3464326412,-19.84912822,18.93542527,yes,-10
2,-0.1030414814,-5.903842002,0,no,-10
3,-0.01834564708,-1.05112815,-6.489713771e-15,no,-10
4,0.05704100982,3.268209122,4.867285328e-15,no,-10
5,0.1655370581,9.48457478,-3.244856886e-15,no,-10
