bob,theta_equilibrium_rad,theta_equilibrium_deg,residual_accel_rad_s2,held_release_bob,release_delta_deg
1,-0.7470693258,-42.80391937,45.09217527,yes,-20
2,-0.310360879,-17.78236849,1.460185599e-14,no,-20
3,-0.08679287361,-4.97286535,-1.297942754e-14,no,-20
4,0.1279895837,7.333262968,6.489713771e-15,no,-20
5,0.3557389694,20.38234156,-3.244856886e-15,no,-20
