t_s,theta1,theta2,theta3,theta4,theta5,omega1,omega2,omega3,omega4,omega5
0.00000000,-0.8700314167,-0.1490997853,-0.03973708622,0.04525239306,0.1584024137,0,0,0,0,0
0.00833333,-0.86801856,-0.1490997853,-0.03973708622,0.04525239306,0.1584024137,0.4829261916,5.408094809e-17,-5.408094809e-17,1.216821332e-16,-5.408094809e-17
0.01666667,-0.8619876714,-0.1490997853,-0.03973708622,0.04525239306,0.1584024137,0.964043028,1.081618962e-16,-1.081618962e-16,2.433642664e-16,-1.081618962e-16
0.02500000,-0.8519609739,-0.1490997853,-0.03973708622,0.04525239306,0.1584024137,1.441631607,1.622428443e-16,-1.622428443e-16,3.650463996e-16,-1.622428443e-16
0.03333333,-0.8379752322,-0.149099701,-0.03973708622,0.04525239306,0.1584024137,1.913838254,9.245104975e-05,7.074702109e-09,4.867285328e-16,-2.163237924e-16
0.04166667,-0.8200881757,-0.1490938774,-0.03973708189,0.04525239307,0.1584024137,2.377344324,0.001646786201,1.985103925e-06,1.229413252e-09,2.341667496e-13
0.05000000,-0.7983847969,-0.1490656489,-0.03973701124,0.04525239317,0.1584024137,2.829342661,0.005573000281,1.972357573e-05,3.749439058e-08,2.367389296e-11
0.05833333,-0.7729714033,-0.1489926436,-0.03973661829,0.04525239436,0.1584024137,3.26732264,0.0125035553,8.684864271e-05,3.319482352e-07,4.287767341e-10
0.06666667,-0.7439754862,-0.1488471155,-0.03973526782,0.04525240147,0.1584024138,3.688716971,0.02308728028,0.0002614859254,1.663035153e-06,3.610942226e-09
0.07500000,-0.7115460446,-0.1485959318,-0.03973172362,0.04525243019,0.1584024138,4.090940773,0.03795789395,0.000630375153,5.98443751e-06,1.9558635e-08
0.08333333,-0.6758534242,-0.1482011521,-0.03972389596,0.04525252042,0.1584024142,4.471467119,0.05762188473,0.001312020939,1.732905986e-05,7.93848782e-08
0.09166667,-0.6370885401,-0.1476214004,-0.03970856959,0.04525275839,0.1584024155,4.827899111,0.08237499457,0.002458088408,4.300970352e-05,2.627588165e-07
