bob,theta_equilibrium_rad,theta_equilibrium_deg,residual_accel_rad_s2,held_release_bob,release_delta_deg
1,-0.5725364006,-32.80391937,26.63749874,yes,-10
2,-0.267222788,-15.31073794,-1.784671287e-14,no,-10
3,-0.05442268553,-3.118190191,1.784671287e-14,no,-10
4,0.149037532,8.539221571,-1.946914131e-14,no,-10
5,0.3706054723,21.23412943,1.297942754e-14,no,-10
