bob,theta_equilibrium_rad,theta_equilibrium_deg,residual_accel_rad_s2,held_release_bob,release_delta_deg
1,-0.5209655663,-29.84912822,32.51935784,yes,-20
2,-0.1131378489,-6.482321243,6.489713771e-15,no,-20
3,-0.02348999454,-1.345877548,-3.244856886e-15,no,-20
4,0.05421220119,3.106130326,-1.784671287e-14,no,-20
5,0.1638001603,9.385057867,1.13569991e-14,no,-20
