bob,theta_equilibrium_rad,theta_equilibrium_deg,residual_accel_rad_s2,held_release_bob,release_delta_deg
1,-1.044564342,-59.84912822,65.77725481,yes,-50
2,-0.1490997853,-8.542788425,6.489713771e-15,no,-50
3,-0.03973708622,-2.27676733,-6.489713771e-15,no,-50
4,0.04525239306,2.592771135,1.460185599e-14,no,-50
5,0.1584024137,9.075789772,-6.489713771e-15,no,-50
