t_s,theta1,theta2,theta3,theta4,theta5,omega1,omega2,omega3,omega4,omega5
0.28333333,0.2389487175,0.2528195111,0.04128238898,0.02062292089,0.09757831112,-1.454059585,3.218332889,3.559627057,-0.03456398893,-0.04923812265
0.29166667,0.2257538386,0.2762429329,0.07340585523,0.02078214015,0.09714776962,-1.705953756,2.401378643,4.12945927,0.08440604465,-0.05399164917
0.30000000,0.210611816,0.2928103896,0.1097136815,0.02228549269,0.09668104288,-1.923204295,1.572456532,4.55716049,0.2963464639,-0.05779854682
0.30833333,0.1937728819,0.3023962156,0.1488170765,0.02616320596,0.0961898397,-2.114240186,0.724926142,4.787362483,0.6689299868,-0.05961010613
0.31666667,0.1754342828,0.3053075363,0.1881555575,0.03418488401,0.09569957062,-2.283656649,0.01391122025,4.550872256,1.309372575,-0.05707601898
0.32500000,0.1557653321,0.3031571782,0.2236814904,0.04830576291,0.09526036693,-2.433727038,-0.5055004562,3.951420745,2.071388278,-0.04657415497
0.33333333,0.134922932,0.2971993954,0.2537309976,0.06855262176,0.09496300202,-2.565448932,-0.909663621,3.248890389,2.777402136,-0.02178042939
0.34166667,0.1130581246,0.2881927103,0.2776918614,0.09439716951,0.09496236079,-2.679140099,-1.242499398,2.495707855,3.412403506,0.02657342587
0.35000000,0.09031511231,0.2766254265,0.2952428347,0.125196435,0.09551212005,-2.776579067,-1.526784656,1.71188243,3.964712057,0.1134062327
0.35833333,0.06682595706,0.2628443629,0.306158351,0.1601887788,0.09702592329,-2.858127358,-1.775598848,0.9152038138,4.401170946,0.263305838
0.36666667,0.04272511617,0.2471072443,0.3109896827,0.1975541759,0.1001886223,-2.923313658,-1.997175965,0.2754151171,4.502651428,0.5174392981
0.37500000,0.01815055386,0.2296222101,0.3111862777,0.2342166457,0.10608534,-2.971763453,-2.195560422,-0.2067479533,4.238425161,0.9279579578
0.38333333,-0.006756936642,0.2105726245,0.3078283165,0.2673063502,0.1161926072,-3.003177803,-2.372880282,-0.5858634153,3.656336119,1.529242013
0.39166667,-0.03185462961,0.1901300305,0.3015991988,0.2946392619,0.131884593,-3.01739517,-2.530067534,-0.9007426432,2.896042969,2.232640737
0.40000000,-0.05699894712,0.1684600176,0.2929275279,0.3155176727,0.1532838339,-3.014366829,-2.667442091,-1.174901823,2.111926067,2.89643926
0.40833333,-0.08204618323,0.1457263847,0.2820954356,0.3298039329,0.1800416012,-2.994105643,-2.785394071,-1.420844844,1.323077691,3.509256769
0.41666667,-0.1068532537,0.1220912168,0.2693048796,0.3378893949,0.2112637526,-2.95676459,-2.883776309,-1.645784783,0.6396981581,3.950907989
0.42500000,-0.1312788744,0.09771699129,0.2547151432,0.3408303381,0.2453603313,-2.902602412,-2.962833269,-1.852990317,0.08667823322,4.203002446
0.43333333,-0.1551841162,0.07276434335,0.2384661606,0.3396421961,0.2808781988,-2.831942334,-3.022568166,-2.044115619,-0.3558107635,4.298577435
0.44166667,-0.178433397,0.04739466909,0.2206892867,0.3351269342,0.3166803053,-2.745258956,-3.06303183,-2.219651942,-0.7163507759,4.277358441
0.45000000,-0.2008953608,0.02176302764,0.201520172,0.3278626907,0.3519323267,-2.643077057,-3.085634047,-2.378037843,-1.019073378,4.171133193
0.45833333,-0.2224433802,-0.003983610758,0.1811030996,0.3182553625,0.3860271097,-2.526029469,-3.090616672,-2.519155463,-1.280954184,4.002685445
0.46666667,-0.2429566096,-0.02969821198,0.1595834077,0.3065951462,0.4185137295,-2.394856111,-3.077947342,-2.642588273,-1.513282212,3.787276518
0.47500000,-0.2623205463,-0.05523391003,0.137108967,0.2930971439,0.4490473957,-2.25033235,-3.047705477,-2.748330439,-1.722812192,3.535393954
0.48333333,-0.2804274651,-0.08044503952,0.1138276054,0.2779326859,0.4773569651,-2.093324399,-3.000092502,-2.836182519,-1.914237012,3.254989683
