bob,theta_equilibrium_rad,theta_equilibrium_deg,residual_accel_rad_s2
1,-0.3608956817,-20.6777994,-0.0008666531644
2,-0.1611050574,-9.230639845,-0.0004818255606
3,0,0,0
4,0.1611050574,9.230639845,0.0004818255606
5,0.3608956817,20.6777994,0.0008666531644
