bob,theta_equilibrium_rad,theta_equilibrium_deg,residual_accel_rad_s2
1,-0.4582141553,-26.25373721,-0.0006330519357
2,-0.2073800411,-11.88200111,-0.0010346648
3,0,0,0
4,0.2073800411,11.88200111,0.0010346648
5,0.4582141553,26.25373721,0.0006330519357
