bob,theta_equilibrium_rad,theta_equilibrium_deg,residual_accel_rad_s2
1,-0.1750274488,-10.02833412,-0.0002265877668
2,-0.06838773979,-3.918328861,-2.491961805e-05
3,0,0,0
4,0.06838773979,3.918328861,2.491961805e-05
5,0.1750274488,10.02833412,0.0002265877668
