t_s,theta1,theta2,theta3,theta4,theta5,omega1,omega2,omega3,omega4,omega5
0.00000000,-1.233560308,-0.1611050574,0,0.1611050574,0.3608956817,0,0,0,0,0
0.00833333,-1.230961567,-0.162072051,-2.370947514e-06,0.1611050719,0.3608957117,0.623571222,-0.2313896129,-0.001135951024,2.338393343e-06,7.204143372e-06
0.01666667,-1.223171275,-0.1649389532,-3.754047413e-05,0.1611049759,0.3608958013,1.24576547,-0.4546609432,-0.008947469199,-4.529648576e-05,1.421151429e-05
0.02500000,-1.210206167,-0.1696060538,-0.0001868292908,0.1611035393,0.3608959445,1.865307937,-0.6622291396,-0.02944551094,-0.0003851105668,1.954772347e-05
0.03333333,-1.192093963,-0.1759137346,-0.0005769887062,0.1610961313,0.3608961027,2.480830431,-0.8475905959,-0.06720996559,-0.001614323805,1.552640144e-05
0.04166667,-1.168874325,-0.1836642335,-0.001355093931,0.161071301,0.3608961099,3.090827276,-1.008168979,-0.122459183,-0.004777222463,-2.331742647e-05
0.05000000,-1.140600181,-0.192639763,-0.002666789084,0.1610071253,0.3608954488,3.693614803,-1.141234941,-0.1951381742,-0.01133039688,-0.0001598059844
0.05833333,-1.107339352,-0.202610632,-0.00464492632,0.1608681233,0.3608928321,4.287295865,-1.247367496,-0.2815478266,-0.02304934987,-0.0005207115891
0.06666667,-1.069176464,-0.213354997,-0.007387617453,0.1606033191,0.3608855428,4.869731004,-1.326836306,-0.3781118535,-0.04183987283,-0.001327774643
0.07500000,-1.026215055,-0.224656849,-0.01095950822,0.1601460567,0.3608685113,5.438518011,-1.381764955,-0.4794217634,-0.06952377109,-0.002928857126
0.08333333,-0.9785798142,-0.2363214493,-0.0153781039,0.1594163459,0.3608331496,5.990981767,-1.414044061,-0.5809286638,-0.1072017425,-0.005823987817
0.09166667,-0.9264188604,-0.2481649397,-0.02063626567,0.1583338834,0.3607660354,6.524176266,-1.425131078,-0.680252453,-0.1541361209,-0.01067093902
0.10000000,-0.8699063206,-0.2600227025,-0.02669644559,0.1568215672,0.3606476927,7.034482034,-1.417519468,-0.7727756614,-0.2103543479,-0.0182605525
0.10833333,-0.80926927,-0.2717245802,-0.03348836227,0.1548031664,0.3604515776,7.512282031,-1.386749407,-0.8554334622,-0.2754621933,-0.02949446301
0.11666667,-0.744810432,-0.2830651309,-0.0409239439,0.1522133284,0.360143276,7.9509376,-1.330802548,-0.9272520691,-0.3468957568,-0.04535182646
0.12500000,-0.6768739709,-0.2938368187,-0.04890869128,0.1490104883,0.35968012,8.346317714,-1.250519302,-0.9868833471,-0.4223124004,-0.06681630254
0.13333333,-0.60587591,-0.3038098364,-0.05733214255,0.1451667005,0.3590135572,8.678918365,-1.133808151,-1.032226908,-0.5006057596,-0.09410346292
0.14166667,-0.5325357593,-0.3125142779,-0.06606953174,0.1406639591,0.3580950933,8.897961324,-0.9362845749,-1.062237301,-0.579870259,-0.1273757814
0.15000000,-0.4581639673,-0.3189275971,-0.07499237511,0.1355092345,0.356872454,8.900695271,-0.5586523879,-1.076329205,-0.6566629894,-0.167184561
0.15833333,-0.3854734201,-0.3206560011,-0.0839519475,0.1297325178,0.355289457,8.430054211,0.2511266907,-1.069984141,-0.728794765,-0.2139076819
0.16666667,-0.320618689,-0.3119524635,-0.09274206582,0.1233814486,0.3532877895,6.893212137,2.065706678,-1.032927519,-0.7942291092,-0.2675804588
0.17500000,-0.2721112008,-0.2850328984,-0.1009969252,0.1165169669,0.3508142522,4.752112611,4.36732657,-0.9333825741,-0.8517563694,-0.3269479937
0.18333333,-0.2415320692,-0.2395565944,-0.1079123212,0.1092150178,0.3478245452,2.566274312,6.526519633,-0.690895671,-0.8985967532,-0.3913878084
0.19166667,-0.2287235807,-0.1779525419,-0.1115258533,0.1015837504,0.3442785686,0.711559821,7.949998227,-0.07933191826,-0.9296402543,-0.4603372942
0.20000000,-0.2264824119,-0.1132659916,-0.1063946902,0.09379473512,0.3401420604,-0.05155740288,7.171819088,1.577723821,-0.9334925692,-0.5329436833
0.20833333,-0.228319607,-0.06145291819,-0.0837765281,0.08619635677,0.335390287,-0.3446144808,5.216616423,3.82888776,-0.8746892887,-0.6075844859
0.21666667,-0.2317478782,-0.02688952963,-0.04301720358,0.07961958429,0.3300170785,-0.4603481216,3.053114756,5.917354828,-0.6669872345,-0.6816707614
0.22500000,-0.2357987104,-0.01086699526,0.01381763815,0.07609326808,0.3240401437,-0.5047844435,0.8068279846,7.594048363,-0.08014187265,-0.7516554975
0.23333333,-0.240095604,-0.009707878451,0.07665052717,0.0812279238,0.3175234507,-0.5245702417,-0.3335675285,7.017557784,1.573354997,-0.8087379034
0.24166667,-0.2445250665,-0.01449755138,0.1273697836,0.1035830817,0.3106635005,-0.5381162906,-0.7494479298,5.095701604,3.769737703,-0.827979529
0.25000000,-0.2490633,-0.02149653922,0.1609703451,0.1436162435,0.3039782256,-0.5512196644,-0.903876628,2.942145685,5.808491577,-0.7534087836
0.25833333,-0.2537164778,-0.02926795539,0.1759852567,0.19975736,0.2987326318,-0.5658638269,-0.9500481846,0.6687961584,7.57737056,-0.4454964415
0.26666667,-0.2585007887,-0.03721175659,0.1755795605,0.264477903,0.2982634868,-0.5828799003,-0.9520268212,-0.5672980716,7.580661751,0.498510067
0.27500000,-0.2634391931,-0.04508334651,0.1685467635,0.3204740322,0.3105460542,-0.6027682881,-0.9349922849,-1.050727506,5.706876895,2.528709123
0.28333333,-0.2685530223,-0.0527689706,0.158802244,0.3591623705,0.3400719178,-0.6248443283,-0.9084798884,-1.260311179,3.568313017,4.536390896
0.29166667,-0.2738568403,-0.0602126859,0.1478545861,0.3795489619,0.3861363163,-0.6482042042,-0.8775933226,-1.354253623,1.285041605,6.53697764
0.30000000,-0.279357214,-0.06739259079,0.1363811183,0.3815881987,0.4477128682,-0.6718472458,-0.8456213931,-1.393192932,-0.573161508,8.006917359
0.30833333,-0.2850522465,-0.07431285608,0.1247162549,0.3728505755,0.5166054629,-0.6947550989,-0.8159662544,-1.402344336,-1.414036435,8.412573804
0.31666667,-0.2909317483,-0.08100645282,0.1130650981,0.3592219725,0.5866546699,-0.7159690744,-0.7914809874,-1.391047239,-1.811254766,8.350078682
0.32500000,-0.2969780289,-0.08752204332,0.1015742655,0.3431702178,0.6552105398,-0.7346558737,-0.7733954676,-1.36450174,-2.020979723,8.080044379
0.33333333,-0.3031671164,-0.09391664282,0.09035736305,0.3257806519,0.7210348701,-0.7501464972,-0.7627520462,-1.325564775,-2.14187834,7.704870246
0.34166667,-0.3094702487,-0.1002595473,0.07951159376,0.3075969722,0.7834752291,-0.7619580388,-0.7609874818,-1.275899018,-2.216260632,7.274101384
0.35000000,-0.3158549992,-0.1066225894,0.06911185493,0.2889450192,0.84216323,-0.7696826689,-0.7674021957,-1.219377827,-2.25382764,6.804970518
0.35833333,-0.3222866808,-0.113068211,0.05919340861,0.270140244,0.896797122,-0.7732336697,-0.7805080499,-1.161065713,-2.252980714,6.301939494
0.36666667,-0.3287310823,-0.1196463328,0.04975748674,0.251489579,0.947126431,-0.7727784998,-0.7991214599,-1.104129744,-2.217727659,5.773769188
0.37500000,-0.3351562528,-0.1263977931,0.04077266873,0.2332743229,0.9929753927,-0.7687230897,-0.8216291004,-1.053565219,-2.14816852,5.227152972
0.38333333,-0.3415351212,-0.1333428382,0.03217258167,0.2157821955,1.034202363,-0.7617785591,-0.8451171053,-1.012479141,-2.043945207,4.6649456
0.39166667,-0.3478463797,-0.1404785215,0.02385969763,0.1993095614,1.070688413,-0.7526089257,-0.8669804469,-0.9849134886,-1.90362916,4.089743439
0.40000000,-0.3540742888,-0.14778196,0.01571923952,0.1841493835,1.102335174,-0.7418846681,-0.8850650843,-0.9712830979,-1.72912251,3.503884472
0.40833333,-0.360208564,-0.1552147191,0.0076333253,0.1705801151,1.129062715,-0.7302357934,-0.8978138435,-0.9712322298,-1.522682219,2.909459655
0.41666667,-0.3662438415,-0.162728169,-0.0004906634122,0.1588408895,1.150807573,-0.7182071603,-0.9043345318,-0.9792570125,-1.291292102,2.308333827
0.42500000,-0.3721788358,-0.1702687078,-0.008689803501,0.1491043441,1.167520978,-0.7062289586,-0.9042827405,-0.9881169204,-1.043386301,1.702174397
0.43333333,-0.3780153079,-0.1777805611,-0.01694082086,0.1414724094,1.179167355,-0.6946000801,-0.8974314807,-0.9902540985,-0.7878676378,1.092486147
0.44166667,-0.3837569266,-0.185207414,-0.02515217435,0.1359677052,1.185723124,-0.6834786038,-0.8839231923,-0.9774152907,-0.5342496756,0.4806505951
0.45000000,-0.3894080765,-0.1924946298,-0.03317089235,0.1325402492,1.187175851,-0.6728712494,-0.8639370274,-0.9429603887,-0.2906796083,-0.1320312941
0.45833333,-0.3949722262,-0.1995887338,-0.04079235287,0.1310740477,1.183523823,-0.6625668293,-0.8375889488,-0.8812528941,-0.064700227,-0.7442704502
0.46666667,-0.4004525697,-0.2064342941,-0.04777745375,0.1314007907,1.174776317,-0.6528138388,-0.8040172162,-0.7905868047,0.1394360199,-1.354717169
0.47500000,-0.4058533129,-0.212965055,-0.05389306295,0.1333318252,1.160954089,-0.6433620843,-0.7618046414,-0.6727145795,0.3197923519,-1.961961983
0.48333333,-0.4111741586,-0.2191027905,-0.05892420746,0.1366630219,1.142090013,-0.6335024178,-0.7094539524,-0.5314351184,0.4758684423,-2.564499649
0.49166667,-0.4164080046,-0.2247583812,-0.06269904396,0.1411980079,1.118230046,-0.6223100548,-0.6459415792,-0.3717746135,0.6085923471,-3.160689149
0.50000000,-0.4215391524,-0.2298344633,-0.06508604173,0.1467457805,1.089434511,-0.608648282,-0.5701914833,-0.1997312509,0.7195618478,-3.748717728
0.50833333,-0.4265415865,-0.2342250381,-0.06601191823,0.1531363263,1.055779663,-0.5911801558,-0.4813054436,-0.02194345122,0.8109734458,-4.326570401
0.51666667,-0.4313773853,-0.2378185098,-0.06545073528,0.1602110348,1.017359473,-0.5683900634,-0.3788645132,0.1560493068,0.8842192501,-4.892006542
0.52500000,-0.4359953776,-0.2405032299,-0.06342840626,0.167831475,0.9742875795,-0.5386216519,-0.2636047538,0.3281397335,0.9422896513,-5.442545216
0.53333333,-0.4403302294,-0.2421847715,-0.0600045723,0.175877736,0.9266993162,-0.5001486532,-0.1384748139,0.4919130791,0.9866399971,-5.975460984
0.54166667,-0.4443032684,-0.2427878485,-0.0552622782,0.18424114,0.8747537234,-0.45172121,-0.004883413546,0.644046434,1.018618416,-6.487791822
0.55000000,-0.4478297734,-0.2422468261,-0.04930968321,0.1928174578,0.8186425502,-0.3927918011,0.1354382739,0.7822691924,1.036820122,-6.973418003
0.55833333,-0.4508174133,-0.2405237309,-0.04226549036,0.2014731237,0.7586286035,-0.3221919232,0.2782848718,0.9056958038,1.037614286,-7.423637433
0.56666667,-0.4531640609,-0.2376093789,-0.03426097786,0.2100619301,0.6950259797,-0.2388114755,0.4209166272,1.012495803,1.020770443,-7.834024876
0.57500000,-0.4547620099,-0.2335148906,-0.02543985906,0.2184386212,0.6281822255,-0.1427649414,0.5612201371,1.101703294,0.9869378316,-8.20099487
0.58333333,-0.4555115992,-0.2282696425,-0.01594615477,0.2264657925,0.558474846,-0.03523339881,0.6966115103,1.173918466,0.9350995966,-8.518450863
0.59166667,-0.455317928,-0.2219246872,-0.005924469365,0.2338825268,0.4864572168,0.08355722943,0.8248111506,1.228154513,0.8325730237,-8.746531631
0.60000000,-0.4540903056,-0.2145471198,0.004469017432,0.2400286487,0.4131326157,0.2125220317,0.9443873461,1.262903083,0.6141962846,-8.815623601
0.60833333,-0.4517537651,-0.2062103614,0.0150639137,0.2433686645,0.3404093299,0.3494911823,1.05475353,1.275936747,0.1183858795,-8.560809899
0.61666667,-0.448246269,-0.1969985247,0.02565779728,0.2401695224,0.2724380994,0.4933586348,1.154085021,1.260642758,-1.051742921,-7.575278388
0.62500000,-0.443515692,-0.1870121445,0.03593708918,0.2224960863,0.2177572644,0.6426782682,1.240390516,1.194402004,-3.266541486,-5.450380211
0.63333333,-0.4375273077,-0.1763640924,0.04525124308,0.1859996443,0.1817802193,0.7948507564,1.312598163,1.012414438,-5.464909797,-3.176099863
0.64166667,-0.4302651499,-0.1651849613,0.05203066262,0.1322691651,0.1648550356,0.9481072698,1.366904088,0.5395003528,-7.2530035,-0.9812489827
0.65000000,-0.4217273938,-0.1536553911,0.05205666366,0.07096643691,0.1619175611,1.100680181,1.394494011,-0.7537277459,-7.065950504,0.1147662855
0.65833333,-0.4119280299,-0.1420877504,0.03639132931,0.01954381476,0.1650585591,1.25051789,1.368467496,-3.001434401,-5.198778706,0.5777106981
0.66666667,-0.4009001835,-0.1311891019,0.00239354996,-0.01494487481,0.1708934256,1.395002605,1.216026704,-5.125750639,-3.049239668,0.7982105769
