bob,theta_equilibrium_rad,theta_equilibrium_deg,residual_accel_rad_s2
1,-0.2536667242,-14.5340327,-4.62581189e-05
2,-0.1103319891,-6.321557323,0.0002536548032
3,0,0,0
4,0.1103319891,6.321557323,-0.0002536548032
5,0.2536667242,14.5340327,4.62581189e-05
