bob,theta_equilibrium_rad,theta_equilibrium_deg,residual_accel_rad_s2
1,-0.1000376446,-5.731734827,-3.661991104e-05
2,-0.03427389511,-1.963749537,-4.719272607e-06
3,0,0,0
4,0.03427389511,1.963749537,4.719272607e-06
5,0.1000376446,5.731734827,3.661991104e-05
