t_s,theta1,theta2,theta3,theta4,theta5,omega1,omega2,omega3,omega4,omega5
0.00000000,-1.12423902,-0.1041318004,0,0.1041318004,0.251574394,0,0,0,0,0
0.00833333,-1.121863667,-0.104776362,-9.297040619e-07,0.1041318111,0.2515743972,0.5699449209,-0.1543863517,-0.0004457331126,2.291882074e-06,7.655764517e-07
0.01666667,-1.114744232,-0.1066947853,-1.477688673e-05,0.1041318108,0.2515744068,1.138342776,-0.3051337045,-0.003530926552,-6.984659919e-06,1.534580216e-06
0.02500000,-1.102899591,-0.1098421582,-7.399848962e-05,0.1041315139,0.2515744224,1.703748942,-0.4487743537,-0.01172404043,-8.427775262e-05,2.153135273e-06
0.03333333,-1.086360917,-0.114145673,-0.0002303486786,0.1041298346,0.2515744399,2.264651464,-0.5821012136,-0.02716267565,-0.0003713574645,1.697729536e-06
0.04166667,-1.065172373,-0.1195075887,-0.0005512141594,0.1041240355,0.2515744394,2.819439726,-0.7025287066,-0.05126582296,-0.001127161767,-2.993620937e-06
0.05000000,-1.039392051,-0.1258175386,-0.001106425051,0.1041086769,0.2515743567,3.366376407,-0.8095234023,-0.08329127768,-0.002740353842,-1.99429748e-05
0.05833333,-1.009093137,-0.1329585945,-0.001961381931,0.1040746048,0.2515740277,3.903573871,-0.9017535901,-0.1232133965,-0.005709593668,-6.587703861e-05
0.06666667,-0.9743652342,-0.1408022808,-0.00318144419,0.1040081201,0.251573096,4.428976251,-0.9779839686,-0.1708459752,-0.01062408748,-0.0001710683571
0.07500000,-0.9353158218,-0.149211808,-0.004828239586,0.1038903115,0.2515708772,4.940348486,-1.037595693,-0.2253424902,-0.01814084015,-0.0003848890873
0.08333333,-0.892071763,-0.1580536908,-0.006947802958,0.1036966355,0.2515661756,5.435273563,-1.081978727,-0.2838378271,-0.02894557794,-0.0007817483198
0.09166667,-0.8447818617,-0.1672025374,-0.009565014168,0.1033969398,0.2515570506,5.910190621,-1.110625366,-0.344539361,-0.04368757917,-0.001466905179
0.10000000,-0.7936623878,-0.1764919284,-0.01269218082,0.1029560075,0.2515405382,6.352182337,-1.11401181,-0.4059770987,-0.0629256525,-0.002581440351
0.10833333,-0.7390239128,-0.1856853976,-0.0163294931,0.102335236,0.2515123369,6.753968949,-1.087198298,-0.4668540591,-0.08672064299,-0.004305581979
0.11666667,-0.6812196435,-0.1945311994,-0.02046105714,0.1015001223,0.2514664863,7.111376859,-1.031396709,-0.5233708531,-0.1143389558,-0.006855794651
0.12500000,-0.6206321827,-0.2028020533,-0.02502880399,0.1004191787,0.2513951044,7.421600068,-0.9492928518,-0.5714276973,-0.1456968441,-0.01047565888
0.13333333,-0.5576609437,-0.210284317,-0.02995987631,0.09906211632,0.2512881858,7.683401673,-0.8426353815,-0.610500674,-0.1805486041,-0.01543027427
0.14166667,-0.4927098789,-0.2167888651,-0.03517800555,0.0974015821,0.2511334484,7.896856695,-0.7154752497,-0.6402896182,-0.2184366883,-0.02199962929
0.15000000,-0.4261785152,-0.2221674039,-0.04060533426,0.09541487913,0.2509162454,8.062829755,-0.5733669495,-0.6607129681,-0.2587039346,-0.03046958695
0.15833333,-0.3584872969,-0.2262906646,-0.04616421855,0.09308554802,0.2506195614,8.16562465,-0.4052699353,-0.6719019692,-0.3005147465,-0.04112074164
0.16666667,-0.2905152904,-0.2286033454,-0.05177898517,0.09040477706,0.2502241088,8.1141086,-0.1232444841,-0.6742302735,-0.3428388485,-0.05421552516
0.17500000,-0.2239959915,-0.2277259935,-0.05738027066,0.08737531299,0.2497085403,7.791943722,0.3841877603,-0.6688798808,-0.3838924785,-0.06998285767
0.18333333,-0.1619395626,-0.2210829413,-0.06289007198,0.08401362525,0.2490498112,7.002947911,1.295625048,-0.6498691903,-0.4224044118,-0.08859778009
0.19166667,-0.1092195678,-0.2044492583,-0.06813710169,0.08034521261,0.2482237021,5.527135068,2.801918529,-0.6037064282,-0.457320758,-0.1101649744
0.20000000,-0.07140329028,-0.1731052397,-0.07281311518,0.07640495936,0.2472054587,3.509223934,4.74195806,-0.5070078611,-0.4874199505,-0.1347059806
0.20833333,-0.05015257013,-0.1263370536,-0.07630842453,0.07223424225,0.2459755965,1.685562209,6.361013454,-0.307689461,-0.5129279377,-0.1603197908
0.21666667,-0.04141894824,-0.06964049602,-0.07734894582,0.06787069538,0.2445360301,0.5197075465,7.080170897,0.1085660724,-0.5331259185,-0.1850102722
0.22500000,-0.04002284439,-0.01113884312,-0.07329690228,0.0633772032,0.2428950485,-0.1186246702,6.787694754,0.9606562512,-0.5427485409,-0.2086366161
0.23333333,-0.0426084406,0.04051884427,-0.05934244625,0.05889103156,0.2410620814,-0.4694100805,5.436237598,2.517834063,-0.5284171961,-0.2310650483
0.24166667,-0.04747048548,0.07727428467,-0.02974395876,0.0547103982,0.239047645,-0.6823276559,3.331513318,4.6074118,-0.4623574719,-0.2521686931
0.25000000,-0.05380660522,0.09671716119,0.01619831248,0.0515051545,0.2368632815,-0.8311441353,1.44445618,6.267367366,-0.2788156791,-0.2718284399
0.25833333,-0.0612391008,0.1034460482,0.07171012124,0.05076169514,0.2345214892,-0.948825453,0.2855630464,6.869689326,0.1598540115,-0.289933994
0.26666667,-0.06957068469,0.102987909,0.1276457499,0.05555136959,0.2320356441,-1.049045909,-0.3289584522,6.374874416,1.096892035,-0.3063854663
0.27500000,-0.07870513193,0.09876367714,0.1750552354,0.07108652316,0.2294260825,-1.142166767,-0.6523039315,4.851615257,2.747246388,-0.3171044724
0.28333333,-0.08858852848,0.09249144428,0.2069719066,0.1023858265,0.2268438769,-1.228711935,-0.8378017028,2.79748914,4.747781776,-0.2942481969
0.29166667,-0.09916400484,0.0849788235,0.2226956342,0.1486742659,0.2247288872,-1.30817277,-0.9580640347,1.081967765,6.2192242,-0.1954384487
0.30000000,-0.1103702756,0.07661447582,0.2268444119,0.2034986712,0.2240100803,-1.380029754,-1.045573804,0.01203227419,6.792034024,0.0577942662
0.30833333,-0.1221422612,0.06760097933,0.2241878034,0.2596220222,0.226484167,-1.443882225,-1.115299935,-0.5919088098,6.55175219,0.5970357492
0.31666667,-0.1344117769,0.05805971205,0.2176840896,0.3106932826,0.235192266,-1.499383613,-1.172859133,-0.9388990825,5.593620531,1.573809472
0.32500000,-0.1471079709,0.04807934252,0.208904435,0.3512905375,0.2539317389,-1.546240698,-1.221012159,-1.152571625,4.083897389,2.975748367
0.33333333,-0.1601577763,0.03773143253,0.1986689502,0.3783183615,0.2850144285,-1.584215286,-1.261252958,-1.295464459,2.414773304,4.457929326
0.34166667,-0.1734863706,0.02707795193,0.1873768722,0.3922555577,0.3272851603,-1.613120054,-1.294476408,-1.41302342,0.9930625608,5.610466095
0.35000000,-0.1870171692,0.0161739354,0.175147365,0.3959833108,0.3771885712,-1.632700569,-1.321527891,-1.520249123,-0.03448763123,6.290980835
0.35833333,-0.2006717845,0.005067512081,0.16207076,0.3926173877,0.4310437438,-1.642828705,-1.343159797,-1.616188031,-0.7264490194,6.580086575
0.36666667,-0.2143713441,-0.006198529998,0.1482444237,0.3845093125,0.4861251296,-1.643489563,-1.359930454,-1.700046077,-1.189564481,6.604675793
0.37500000,-0.2280370938,-0.01758619458,0.1337726971,0.3731846571,0.5406582315,-1.63472628,-1.372450606,-1.770932688,-1.50995976,6.461142467
0.38333333,-0.2415908741,-0.02906249969,0.1187672781,0.3595621337,0.5935351369,-1.616635158,-1.381296089,-1.828000103,-1.753898131,6.22064419
0.39166667,-0.2549551083,-0.04059936331,0.1033465627,0.3440135403,0.6442301024,-1.589233907,-1.38708872,-1.870465261,-1.973800501,5.939902674
0.40000000,-0.2680526326,-0.05217353388,0.08763551274,0.3267389041,0.6924288107,-1.552664069,-1.39038281,-1.897520368,-2.167321523,5.621500583
0.40833333,-0.2808080957,-0.06376960516,0.0717684334,0.3079759039,0.7378179806,-1.507186962,-1.392553517,-1.907696245,-2.33053933,5.265770012
0.41666667,-0.2931485318,-0.07538072446,0.05588861658,0.2879855014,0.7800923372,-1.453113363,-1.393969474,-1.900580819,-2.46183734,4.874331
0.42500000,-0.3050037596,-0.0869996484,0.04013997701,0.2670322922,0.8189655351,-1.390798947,-1.3943836,-1.876250512,-2.561840021,4.450055536
0.43333333,-0.3163064207,-0.09861703842,0.02466432736,0.245370239,0.8541790644,-1.320540352,-1.393554165,-1.835171447,-2.632313788,3.99668037
0.44166667,-0.3269917529,-0.1102207678,0.009598277392,0.2232356563,0.885507693,-1.242718532,-1.390996238,-1.778059998,-2.675827363,3.518524941
0.45000000,-0.3369987445,-0.1217934573,-0.004927731887,0.2008250441,0.9127813459,-1.157823239,-1.385966127,-1.705750723,-2.699972068,3.025348767
0.45833333,-0.346270611,-0.1333119127,-0.0187912533,0.1782822416,0.9359028773,-1.066378479,-1.377990875,-1.619131618,-2.707517697,2.522342393
0.46666667,-0.3547550637,-0.1447503103,-0.03187633872,0.1557461944,0.954798373,-0.9689386661,-1.366524531,-1.519216814,-2.698367839,2.011407816
0.47500000,-0.3624045479,-0.1560735574,-0.04407976015,0.133355301,0.9694093123,-0.8660849281,-1.350100509,-1.40788325,-2.672699591,1.494339887
0.48333333,-0.3691764506,-0.1672339109,-0.05531568407,0.1112469275,0.9796917409,-0.7584215959,-1.327169723,-1.287596052,-2.630395605,0.9728427247
0.49166667,-0.3750332803,-0.1781707121,-0.0655496475,0.08958933731,0.9856155965,-0.6465729399,-1.296204882,-1.169993181,-2.562360829,0.4485499559
0.50000000,-0.3799428202,-0.1888112709,-0.0748431288,0.06862540942,0.987164216,-0.5311801708,-1.255861196,-1.062291668,-2.463933091,-0.07695221277
0.50833333,-0.3838782579,-0.1990727622,-0.08329044608,0.04860984883,0.984334079,-0.412898692,-1.20510913,-0.9677798588,-2.334256059,-0.602085033
0.51666667,-0.3868182929,-0.2088662428,-0.09101954376,0.02981238171,0.9771349915,-0.2923955618,-1.143515773,-0.8899990947,-2.171814477,-1.12522758
