frequency_Hz,amp_theta1_rad,amp_theta2_rad,amp_theta3_rad,amp_theta4_rad,amp_theta5_rad
0.00000000,0.01497814906,0.002294836633,0.0002065224774,0.002049123441,0.0150729589
0.01666667,0.02580293659,0.005832709567,0.0001010566097,0.005408996719,0.026185123
0.03333333,0.005479279107,0.001018112157,0.0001084703024,0.001038532925,0.00547568152
0.05000000,0.001199962488,0.0005286030971,0.0001459065538,0.0003361630567,0.001536647302
0.06666667,0.000625321579,0.0003794225859,9.694587201e-05,0.000383216892,0.0007273509028
0.08333333,0.0005879596464,0.0006926285084,0.0003394500121,0.0006942698418,0.0003373441196
0.10000000,0.0005160495856,0.0008125962078,0.0002728189576,0.0005139069849,0.0003323225315
0.11666667,0.0002622390563,0.0002888996153,0.0001451001031,0.0008519000754,0.0007389177115
0.13333333,9.900672804e-05,0.0002791148836,0.0003101938736,0.0009192915547,0.0007122089474
0.15000000,0.0005401647173,0.0006733672564,0.0002251147777,0.0008670805029,0.0006149748869
0.16666667,0.0005659062978,0.0006957451891,0.0001366291775,0.0006702258337,0.0004406518741
0.18333333,0.0002078408227,0.0001679397475,5.351420913e-05,0.0002367743037,0.0002778841233
0.20000000,0.0001407688216,0.0003944735987,4.965124697e-05,0.0005534078024,0.0002750345437
0.21666667,0.001125246446,0.002654315532,4.449345054e-05,0.002522177364,0.0009914319061
0.23333333,0.003278964714,0.006237313874,0.0002706444212,0.005857771744,0.002672122609
0.25000000,0.003148356527,0.005669515111,0.0003790962313,0.005591619215,0.002633024604
0.26666667,0.0009894611712,0.001661068732,0.0002971808552,0.002265231994,0.001190917567
0.28333333,0.0003365107178,0.0006494332702,0.0003966144285,0.0004491378399,0.00030578284
0.30000000,0.0007501913166,0.001079151969,0.0003580547807,0.0001781331495,0.0002423713252
0.31666667,0.0005584118569,0.001077507801,0.0004329403282,0.0002985531991,0.0002214040753
0.33333333,0.0008113411352,0.001480392919,0.0003398517732,0.000560022794,0.0002486615852
0.35000000,0.001008277855,0.001387547621,7.305371975e-05,0.000827608006,0.0005036138702
0.36666667,0.001153854762,0.0007466870876,0.0006401775609,0.001728811496,0.001143152577
0.38333333,0.003116258119,0.003554549472,0.002046088389,0.00274255161,0.001888378681
0.40000000,0.002688766369,0.003742909289,0.002808451614,0.003044318083,0.00193933106
0.41666667,0.0008763536346,0.001325244346,0.00147811506,0.001496939434,0.0008686452318
0.43333333,0.0002584938023,0.0005249062387,0.0008927667747,0.0008027270967,0.0003275777247
0.45000000,0.0004506518064,0.0008090672228,0.0007349676723,0.0005190252274,0.0005887669918
0.46666667,0.0007748964327,0.0006037430205,0.0002643371366,0.001648829655,0.0002767794876
0.48333333,0.00113212636,0.002819546004,0.0008325440352,0.003438127348,0.001657221055
0.50000000,0.0009635288883,0.00283450207,0.0006512008394,0.003065133854,0.00182019898
0.51666667,0.0001297564204,0.0008731514602,0.0002674899055,0.001492760442,0.0007277771221
0.53333333,0.0004601133245,0.0002643292075,0.0002541200931,0.0007590958729,0.0004553995993
0.55000000,0.0005570347458,8.099731058e-05,0.0006455561773,0.0008887128832,0.0008241313302
0.56666667,0.000442701323,0.0004269491694,0.0003126518869,0.0006912178132,0.0005596196693
0.58333333,0.0006396846543,0.0006751426067,0.0002792362043,0.0002445096561,0.0001952981747
0.60000000,0.002629101332,0.00140415713,0.002145097802,0.0007432097032,0.002337488039
0.61666667,0.0107933334,0.004631368548,0.009920857107,0.004228173883,0.01094396703
0.63333333,0.01916485451,0.007863668167,0.01720691554,0.007906401818,0.01941067871
0.65000000,0.01200212898,0.00462999015,0.01058156285,0.004996687401,0.01213535391
0.66666667,0.007408331934,0.003079061093,0.00603682643,0.003327098927,0.007563953871
0.68333333,0.003023279995,0.001060291105,0.002932791739,0.001072119507,0.002975286675
0.70000000,0.001773996823,0.0004301004117,0.002031558447,0.0004882753425,0.001897071372
0.71666667,0.001382182971,0.0005163558055,0.00134963158,0.0001413805341,0.0009163368804
0.73333333,0.0005158043963,0.0004805623147,0.0002860155513,0.0006481485447,0.001122305375
0.75000000,0.002542185661,0.002435666978,0.0004227416997,0.002231443184,0.003057069324
0.76666667,0.00906500617,0.007719120842,0.001347751831,0.007368683156,0.009227180991
