source,rank,frequency_Hz,amplitude,prominence
experiment,1,1.3867170042542798,0.6979563146415991,0.697869371304901
experiment,2,2.543512018165881,0.5801713506642308,0.580144516557247
experiment,3,4.2463717591413435,0.12810387694232384,0.12807392747150237
experiment,4,0.6969510332262443,0.04134660658646952,0.04121075049810501
experiment,5,4.397258065303727,0.035516329742876905,0.0354856291284701
experiment,6,3.369794170959882,0.03357211382873616,0.033522757184089515
experiment,7,1.846560984939637,0.029443635441732355,0.029388933997589753
theory_model,1,1.4333339066668722,0.8704363506455898,0.8698798987802445
theory_model,2,2.53333434666703,0.5729327654880019,0.5723624054866264
theory_model,3,4.183335006667266,0.307580692963807,0.30720159209478365
theory_model,4,0.6333335866667575,0.2152208142081054,0.21421978209411507
theory_model,5,0.8833336866667933,0.12466535213882983,0.12318874435616001
theory_model,6,2.283334246666994,0.09874275292351084,0.09544135230260023
theory_model,7,2.666667733333716,0.08144917903342264,0.050843028092207906
theory_model,8,5.833335666667503,0.05118579969883782,0.04532069653696454
