t_s,theta_rad
4.31595000,-0.4692326723
4.33680000,-0.4349917097
4.35765000,-0.3875076413
4.37850000,-0.3258231705
4.39935000,-0.2542555487
4.42020000,-0.1722864312
4.44105000,-0.08582444764
4.46190000,0.005314305729
4.48275000,0.09432178255
4.50360000,0.1820697532
4.52445000,0.2638064833
4.54530000,0.337165042
4.56615000,0.3972183367
4.58700000,0.445756081
4.60785000,0.4800300168
4.62870000,0.4991545307
4.64955000,0.5009563194
4.67040000,0.4871102248
4.69125000,0.4566010299
4.71210000,0.4142259913
4.73295000,0.3543003809
4.75380000,0.2854556063
4.77465000,0.2069252339
4.79550000,0.1216540436
4.81635000,0.03180145062
4.83720000,-0.05793583752
4.85805000,-0.1438977355
4.87890000,-0.2258968918
4.89975000,-0.2991548046
4.92060000,-0.3628857289
4.94145000,-0.4141837952
4.96230000,-0.4508561595
4.98315000,-0.471840132
5.00400000,-0.4769435822
5.02485000,-0.466907227
5.04570000,-0.4415839597
5.06655000,-0.4002270678
5.08740000,-0.3447084435
5.10825000,-0.2769812241
5.12910000,-0.2007042099
5.14995000,-0.1177561793
5.17080000,-0.03029246585
5.19165000,0.05776347193
5.21250000,0.145430732
5.23335000,0.2266478352
5.25420000,0.300957181
5.27505000,0.3660522194
5.29590000,0.4185540347
5.31675000,0.4580163714
5.33760000,0.4817636155
5.35845000,0.4919946703
5.37930000,0.4843336736
5.40015000,0.4627377389
5.42100000,0.4244260456
5.44185000,0.3729006401
5.46270000,0.3095952207
5.48355000,0.2361285663
5.50440000,0.1554042
5.52525000,0.06987396423
5.54610000,-0.01752521789
5.56695000,-0.1051008483
5.58780000,-0.1869126933
5.60865000,-0.2628657281
5.62950000,-0.3291899541
5.65035000,-0.3832087002
5.67120000,-0.4251088455
5.69205000,-0.4521378864
5.71290000,-0.464266178
5.73375000,-0.4603527077
5.75460000,-0.4409793682
5.77545000,-0.4057464805
5.79630000,-0.3569548627
5.81715000,-0.2976576755
5.83800000,-0.2265237003
5.85885000,-0.1482885814
5.87970000,-0.0634747945
5.90055000,0.02227288327
5.92140000,0.1075739358
5.94225000,0.1897226881
5.96310000,0.2652139843
5.98395000,0.3330975354
6.00480000,0.3890211577
6.02565000,0.4318603401
6.04650000,0.4623398199
6.06735000,0.4771572128
6.08820000,0.4766424775
6.10905000,0.4607305841
6.12990000,0.429861581
6.15075000,0.3848673388
6.17160000,0.3271899529
6.19245000,0.2595145297
6.21330000,0.1829533218
6.23415000,0.1023902474
6.25500000,0.01684558773
6.27585000,-0.06830127479
6.29670000,-0.1494813211
6.31755000,-0.225903406
6.33840000,-0.2940152906
6.35925000,-0.3522998578
6.38010000,-0.3987345454
6.40095000,-0.4300620381
6.42180000,-0.4480264823
6.44265000,-0.4501376581
6.46350000,-0.4370451429
6.48435000,-0.4085972649
6.50520000,-0.3671487988
6.52605000,-0.3111277771
6.54690000,-0.2465251561
6.56775000,-0.1721566871
6.58860000,-0.09204953673
6.60945000,-0.00893441749
6.63030000,0.07453342462
6.65115000,0.1558263279
6.67200000,0.2322674785
6.69285000,0.3009511609
6.71370000,0.3598141205
6.73455000,0.4061508386
6.75540000,0.4406511773
6.77625000,0.4607428458
6.79710000,0.4654029784
6.81795000,0.4547009554
6.83880000,0.430422825
6.85965000,0.390648036
6.88050000,0.3398219517
6.90135000,0.2759472456
6.92220000,0.2036878659
6.94305000,0.1252268686
6.96390000,0.04296029758
6.98475000,-0.03997603642
7.00560000,-0.1214236561
7.02645000,-0.1985380107
7.04730000,-0.2680175177
7.06815000,-0.3289307974
7.08900000,-0.3775758542
7.10985000,-0.4152172769
7.13070000,-0.4371837855
7.15155000,-0.4440906119
7.17240000,-0.4360493241
7.19325000,-0.4130609211
7.21410000,-0.3755231722
7.23495000,-0.325128021
7.25580000,-0.2645536935
7.27665000,-0.1952514802
7.29750000,-0.1188658438
7.31835000,-0.0365683446
7.33920000,0.04538116495
7.36005000,0.1260826369
7.38090000,0.2021615946
7.40175000,0.2726199596
7.42260000,0.3346286242
7.44345000,0.3841636065
7.46430000,0.422242858
7.48515000,0.445407388
7.50600000,0.4552296184
7.52685000,0.4508040387
7.54770000,0.4309112491
7.56855000,0.3967954868
7.58940000,0.3503209191
7.61025000,0.291835954
7.63110000,0.2238315965
7.65195000,0.1489534006
7.67280000,0.06919129053
7.69365000,-0.01259953693
7.71450000,-0.0926399533
7.73535000,-0.1686828238
7.75620000,-0.238915876
7.77705000,-0.3008688392
7.79790000,-0.3528748283
7.81875000,-0.3929829208
7.83960000,-0.4196411693
7.86045000,-0.4316793362
7.88130000,-0.4283236713
7.90215000,-0.4113487592
7.92300000,-0.3800558187
7.94385000,-0.3362283581
7.96470000,-0.2800256536
7.98555000,-0.2141427408
8.00640000,-0.1419910464
8.02725000,-0.06303968049
8.04810000,0.01695425698
8.06895000,0.09635556359
8.08980000,0.1717919907
8.11065000,0.243947939
8.13150000,0.3067284524
8.15235000,0.3593686481
8.17320000,0.4008697053
8.19405000,0.4285123436
8.21490000,0.4428377577
8.23575000,0.442974914
8.25660000,0.4278525384
8.27745000,0.3990411301
8.29830000,0.3566818638
8.31915000,0.3035248542
8.34000000,0.2398943377
8.36085000,0.1691166255
8.38170000,0.09313156527
8.40255000,0.01395753631
8.42340000,-0.06492190909
8.44425000,-0.1402889967
8.46510000,-0.21108349
8.48595000,-0.2743422985
8.50680000,-0.3282776248
8.52765000,-0.3710291378
8.54850000,-0.3999227645
8.56935000,-0.4158140414
8.59020000,-0.417497417
8.61105000,-0.4043739942
8.63190000,-0.3785961407
8.65275000,-0.3389136896
8.67360000,-0.2864901422
8.69445000,-0.2257581768
8.71530000,-0.1556540052
8.73615000,-0.08141184585
8.75700000,-0.003411910489
8.77785000,0.07560165175
8.79870000,0.1517556902
8.81955000,0.2223856017
8.84040000,0.2859716249
8.86125000,0.3406857477
8.88210000,0.3825435079
8.90295000,0.4137572666
8.92380000,0.4315197884
8.94465000,0.4339602446
8.96550000,0.4229273283
8.98635000,0.3987731592
9.00720000,0.3615360049
9.02805000,0.3122059379
9.04890000,0.2529589279
9.06975000,0.1857668932
9.09060000,0.1117931528
9.11145000,0.0357301543
9.13230000,-0.04122600782
9.15315000,-0.1164697478
9.17400000,-0.1877851229
9.19485000,-0.2525462931
9.21570000,-0.3074815891
9.23655000,-0.3518084017
9.25740000,-0.3835931977
9.27825000,-0.4020607499
9.29910000,-0.4073583437
9.31995000,-0.3987804327
9.34080000,-0.3777684374
9.36165000,-0.3420242724
9.38250000,-0.2944338613
9.40335000,-0.2372675027
9.42420000,-0.1712933879
9.44505000,-0.1003765845
9.46590000,-0.02493794294
9.48675000,0.05102865308
9.50760000,0.1250720547
9.52845000,0.196007585
9.54930000,0.2606697117
9.57015000,0.3155073137
9.59100000,0.3617019144
9.61185000,0.3944363897
9.63270000,0.415221971
9.65355000,0.4226003677
9.67440000,0.4160553994
9.69525000,0.394270029
9.71610000,0.3617537283
9.73695000,0.3168011671
9.75780000,0.2610264875
9.77865000,0.1981026085
9.79950000,0.127632724
9.82035000,0.0544602273
9.84120000,-0.02159012377
9.86205000,-0.09555575918
9.88290000,-0.1664451272
9.90375000,-0.230278864
9.92460000,-0.2876380203
9.94545000,-0.3331850793
9.96630000,-0.3668043229
9.98715000,-0.3890937396
10.00800000,-0.3975535558
10.02885000,-0.39201647
10.04970000,-0.3735594894
10.07055000,-0.3423302253
10.09140000,-0.2996162763
10.11225000,-0.2456655903
10.13310000,-0.1826337171
10.15395000,-0.1145232904
10.17480000,-0.04145316817
10.19565000,0.03341134634
10.21650000,0.1072181534
10.23735000,0.1770437369
10.25820000,0.2421045852
10.27905000,0.2976733122
10.29990000,0.3450158294
10.32075000,0.3811275801
10.34160000,0.4040575438
10.36245000,0.4133974901
10.38330000,0.4100813115
10.40415000,0.3940112102
10.42500000,0.3639640986
10.44585000,0.3227478374
10.46670000,0.2714569239
10.48755000,0.2103356059
10.50840000,0.1436499142
10.52925000,0.07349960214
10.55010000,-0.0008154281087
10.57095000,-0.07393973944
10.59180000,-0.1433516613
10.61265000,-0.2092306827
