frequency_Hz,amp_rad
0.00000000,8.518693684e-05
0.00754232,0.0004052785091
0.01508465,0.000427306778
0.02262697,0.0004544560463
0.03016929,0.0002242316256
0.03771161,0.0002832760702
0.04525394,0.0003642537147
0.05279626,9.679838382e-05
0.06033858,0.0001077681069
0.06788091,0.0002027610554
0.07542323,0.0002675770301
0.08296555,0.0002934824114
0.09050787,0.0004452642966
0.09805020,0.0003129098123
0.10559252,0.0002738710467
0.11313484,0.0005036765349
0.12067716,1.313989074e-05
0.12821949,0.0002760565485
0.13576181,0.0001215739131
0.14330413,0.0001753955605
0.15084646,0.0001475608368
0.15838878,0.0003297573326
0.16593110,0.0003196324154
0.17347342,0.000258583557
0.18101575,0.0001105272907
0.18855807,0.0002502732958
0.19610039,0.0001674635105
0.20364272,0.0001913833623
0.21118504,0.0002839501384
0.21872736,0.0002028360252
0.22626968,0.0001814027094
0.23381201,0.0002133913017
0.24135433,0.000218046202
0.24889665,0.0004738380537
0.25643898,0.0003567998098
0.26398130,0.0001332806414
0.27152362,0.000216028732
0.27906594,0.0001237776512
0.28660827,0.000155843115
0.29415059,0.0004154179098
0.30169291,0.0003159034069
0.30923523,0.0001739533491
0.31677756,0.0002449043895
0.32431988,0.0002063270338
0.33186220,0.0001282541211
0.33940453,8.434853166e-05
0.34694685,5.334382879e-05
0.35448917,0.0001583087864
0.36203149,0.0001968761648
0.36957382,0.0001377749401
0.37711614,0.0003018650966
0.38465846,0.0001252483766
0.39220079,8.976278274e-05
0.39974311,0.0001633804788
0.40728543,0.0001891938832
0.41482775,7.341998808e-05
0.42237008,0.0001276245028
0.42991240,0.000210405436
0.43745472,0.0001666745154
0.44499705,0.0002008084209
0.45253937,7.741766482e-05
0.46008169,9.31819755e-05
0.46762401,0.0001275263442
0.47516634,5.870462782e-05
0.48270866,0.0001092460997
0.49025098,0.0001048285755
0.49779330,5.920984847e-05
0.50533563,0.0001123922447
0.51287795,6.255773166e-05
0.52042027,5.716565726e-05
0.52796260,0.0001481350123
0.53550492,0.0001642381823
0.54304724,0.0001049170053
0.55058956,5.465073567e-05
0.55813189,3.257622999e-05
0.56567421,9.112701946e-05
0.57321653,4.017049642e-05
0.58075886,9.586687562e-05
0.58830118,0.0002010514024
0.59584350,0.000235482862
0.60338582,5.342441348e-05
0.61092815,9.338222469e-05
0.61847047,0.0001881759047
0.62601279,0.0002502589482
0.63355512,9.293741694e-05
0.64109744,0.0001256237672
0.64863976,7.488666413e-05
0.65618208,8.294747275e-05
0.66372441,6.591413416e-05
0.67126673,6.259863449e-05
0.67880905,0.000146452481
0.68635137,0.0002260135099
0.69389370,0.0002217990089
0.70143602,0.0001149924144
0.70897834,2.674525487e-05
0.71652067,7.054289109e-05
0.72406299,0.0001750389938
0.73160531,0.0001159021054
0.73914763,5.978317321e-05
0.74668996,0.0001147520325
0.75423228,0.0001686761875
0.76177460,0.0001257581491
0.76931693,0.0001142554448
0.77685925,0.0001816074532
0.78440157,0.0001495765724
0.79194389,8.282852218e-05
0.79948622,0.0001003679718
0.80702854,0.0001211147734
0.81457086,0.0001176472484
0.82211319,0.0001223569365
0.82965551,0.0001153313331
0.83719783,4.81535657e-05
0.84474015,0.0001264122914
0.85228248,6.576683286e-05
0.85982480,6.490459864e-05
0.86736712,0.000105905446
0.87490944,7.266697568e-05
0.88245177,3.303479776e-05
0.88999409,5.039389314e-05
0.89753641,7.002962361e-05
0.90507874,4.4673958e-05
0.91262106,3.314404921e-05
0.92016338,4.37665218e-05
0.92770570,2.595125334e-05
0.93524803,2.113700644e-05
0.94279035,8.505469713e-05
0.95033267,0.0001219458515
0.95787500,8.322711987e-05
0.96541732,4.980287904e-05
0.97295964,6.731736118e-05
0.98050196,4.873482765e-05
0.98804429,8.731555599e-05
0.99558661,7.419888435e-05
1.00312893,6.01867461e-05
1.01067126,8.574778563e-05
1.01821358,0.0001223460208
1.02575590,0.0001404108384
1.03329822,8.922311166e-05
1.04084055,9.751305545e-05
1.04838287,0.0001192276709
1.05592519,2.544655581e-05
1.06346752,5.959488573e-05
1.07100984,8.777138926e-05
1.07855216,0.0001038983989
1.08609448,4.752160628e-05
1.09363681,2.75122611e-05
1.10117913,5.709035707e-05
1.10872145,8.358215057e-05
1.11626377,6.026584262e-05
1.12380610,6.465208981e-05
1.13134842,5.654366146e-05
1.13889074,2.368057158e-05
1.14643307,1.104056744e-05
1.15397539,6.281135369e-05
1.16151771,0.0001032653408
1.16906003,7.730116631e-05
1.17660236,5.377757155e-05
1.18414468,2.408631676e-05
1.19168700,2.041426165e-05
1.19922933,7.130395559e-05
1.20677165,7.698654748e-05
1.21431397,1.946696009e-05
1.22185629,3.915212051e-05
1.22939862,6.458269376e-05
1.23694094,2.838957577e-05
1.24448326,4.986248346e-05
1.25202559,6.093458362e-05
1.25956791,9.481225424e-05
1.26711023,5.971812247e-05
1.27465255,7.375271438e-05
1.28219488,9.037315448e-05
1.28973720,3.12650967e-05
1.29727952,0.0001256605527
1.30482184,0.0001003787912
1.31236417,0.0002028903249
1.31990649,0.0001311820997
1.32744881,0.0001160053659
1.33499114,0.0001651329754
1.34253346,0.000593576931
1.35007578,0.0006333729043
1.35761810,0.0007522447927
1.36516043,0.0007783432793
1.37270275,0.001776642418
1.38024507,0.003586187701
1.38778740,0.005724904721
1.39532972,0.008175300887
1.40287204,0.01159041294
1.41041436,0.02729128755
1.41795669,0.09793864314
1.42549901,0.09541926632
1.43304133,0.02471124142
1.44058366,0.0009627456651
1.44812598,0.00113822039
1.45566830,0.000587424345
1.46321062,0.0002372114892
1.47075295,0.0002670647635
1.47829527,0.0002122391075
1.48583759,6.978233619e-05
1.49337991,0.0001028306808
1.50092224,0.0001598703954
1.50846456,0.0001102698137
1.51600688,2.217986065e-05
1.52354921,7.991951315e-05
1.53109153,3.6609006e-05
1.53863385,1.096222059e-05
1.54617617,1.836607701e-05
1.55371850,2.061763948e-05
1.56126082,1.742825631e-05
1.56880314,3.747212112e-05
1.57634547,2.467798944e-05
1.58388779,2.50253194e-05
1.59143011,6.633065496e-06
1.59897243,6.481109359e-05
1.60651476,4.9337474e-05
1.61405708,4.860411245e-05
1.62159940,2.771697073e-05
1.62914173,3.186917131e-05
1.63668405,3.375429867e-05
1.64422637,5.340254374e-05
1.65176869,8.807159349e-05
1.65931102,5.098476045e-05
1.66685334,7.157244667e-05
1.67439566,5.412535554e-05
1.68193798,1.308517839e-05
1.68948031,2.144851579e-05
1.69702263,3.185444964e-05
1.70456495,5.157754535e-05
1.71210728,5.495017513e-05
1.71964960,1.788187646e-05
1.72719192,2.519413778e-05
1.73473424,6.412825616e-05
1.74227657,5.529159723e-05
1.74981889,2.462146417e-05
1.75736121,1.620015104e-05
1.76490354,5.702914995e-05
1.77244586,3.853385892e-05
1.77998818,3.837664631e-05
1.78753050,5.482014272e-05
1.79507283,2.27120958e-05
1.80261515,4.91390369e-05
1.81015747,7.109954858e-05
1.81769980,1.988520015e-05
1.82524212,1.307154108e-05
1.83278444,3.003331084e-05
1.84032676,3.056970824e-05
1.84786909,8.261230813e-06
1.85541141,1.354433445e-05
1.86295373,9.239966154e-06
1.87049605,6.134777509e-05
1.87803838,7.544720569e-05
