t_s,theta_rad,amplitude_rad,kind
0.3336,0.5593115607828055,0.5605447488421174,peak
0.68805,-0.5596349478171945,0.5584017597578826,trough
1.0425,0.5495083769828055,0.5507415650421174,peak
1.39695,-0.5473976896171945,0.5461645015578827,trough
1.77225,0.5354700409828056,0.5367032290421174,peak
2.1267,-0.5381131922171944,0.5368800041578826,trough
2.48115,0.5226473570828055,0.5238805451421173,peak
2.85645,-0.5237633868171945,0.5225301987578826,trough
3.2109,0.5112957706828055,0.5125289587421173,peak
3.56535,-0.5142709421171945,0.5130377540578827,trough
3.9198,0.4995254681828056,0.5007586562421175,peak
4.27425,-0.5010381606171944,0.49980497255788253,trough
4.64955,0.48803549488280557,0.48926868294211745,peak
5.004,-0.4898644067171944,0.4886312186578825,trough
5.35845,0.4790738457828056,0.4803070338421175,peak
5.7129,-0.47718700251719437,0.4759538144578825,trough
6.06735,0.4642363882828056,0.4654695763421175,peak
6.44265,-0.4630584826171944,0.4618252945578825,trough
6.7971,0.4524821538828056,0.4537153419421175,peak
7.15155,-0.4570114364171944,0.4557782483578825,trough
7.506,0.4423087938828056,0.44354198194211747,peak
7.86045,-0.4446001607171944,0.4433669726578825,trough
8.23575,0.4300540894828056,0.4312872775421175,peak
8.5902,-0.4304182415171944,0.4291850534578825,trough
8.94465,0.4210394200828056,0.4222726081421175,peak
9.2991,-0.4202791682171944,0.4190459801578825,trough
9.65355,0.4096795431828056,0.41091273124211747,peak
10.008,-0.4104743803171944,0.4092411922578825,trough
10.36245,0.4004766655828056,0.4017098536421175,peak
10.7169,-0.3974640348171944,0.3962308467578825,trough
11.07135,0.39015843118280563,0.3913916192421175,peak
11.44665,-0.3874928814171944,0.3862596933578825,trough
11.8011,0.3786825985828056,0.3799157866421175,peak
12.15555,-0.3795952627171944,0.3783620746578825,trough
12.51,0.3710299052828056,0.3722630933421175,peak
12.86445,-0.3687354870171944,0.3675022989578825,trough
13.2189,0.3635784457828056,0.3648116338421175,peak
13.57335,-0.35639370711719437,0.3551605190578825,trough
13.9278,0.3533189701828056,0.3545521582421175,peak
14.28225,-0.3487676003171944,0.3475344122578825,trough
14.6367,0.3417847196828056,0.3430179077421175,peak
14.99115,-0.3407326194171944,0.3394994313578825,trough
15.3456,0.3347896528828056,0.3360228409421175,peak
15.70005,-0.3299748563171944,0.32874166825788254,trough
16.0545,0.3241214903828056,0.32535467844211746,peak
16.40895,-0.3227446174171944,0.3215114293578825,trough
16.7634,0.3133987130828056,0.3146319011421175,peak
17.11785,-0.3139902770171944,0.3127570889578825,trough
17.4723,0.30446797278280563,0.3057011608421175,peak
17.82675,-0.3069137001171944,0.3056805120578825,trough
18.1812,0.2960950391828056,0.2973282272421175,peak
18.53565,-0.2954886040171944,0.2942554159578825,trough
18.8901,0.2887383733828056,0.2899715614421175,peak
19.24455,-0.2900950186171944,0.2888618305578825,trough
