theta_i_deg,theta_j_deg,pivot_spacing_m,center_distance_m,surface_gap_m,axial_gap_for_table_m,force_x_on_i_N,force_y_on_i_N,tau_mag_i_Nm,tau_mag_j_Nm,tau_gravity_i_Nm,tau_gravity_j_Nm,tau_total_i_pair_Nm,tau_total_j_pair_Nm,invalid_if_surface_gap_lt_0,near_field_if_surface_gap_lt_0p02m
-80.0,-80.0,0.06,0.06,0.03,0.03,-0.14570202073587118,0.0,-0.0031269370424563928,0.0031269370424563928,0.08357989834675461,0.08357989834675461,0.08045296130429822,0.086706835389211,0,0
-80.0,-78.0,0.06,0.06097036163010564,0.030970361630105643,0.03082312822008776,-0.13246726722033086,0.020913042727869507,-0.005388280054450436,0.0059320154833975335,0.08357989834675461,0.08301465619802036,0.07819161829230417,0.08894667168141789,0,0
-80.0,-76.0,0.06,0.06236698434874361,0.03236698434874361,0.03179354138432838,-0.11362501779639964,0.036214002161076654,-0.006846219525296609,0.007740030296214928,0.08357989834675461,0.08234827347813631,0.076733678821458,0.09008830377435123,0,0
-80.0,-74.0,0.06,0.06416040329726086,0.03416040329726086,0.03291005719376196,-0.09160868590745697,0.04472177118594105,-0.007409224004844914,0.00843379415290833,0.08357989834675461,0.08158156207179827,0.0761706743419097,0.0900153562247066,0,0
-80.0,-72.0,0.06,0.06631635075829412,0.03631635075829412,0.034171315345860764,-0.07002502564067267,0.047199490108016835,-0.007247582316207455,0.008222233287564978,0.08357989834675461,0.08071545609875203,0.07633231603054716,0.088937689386317,0,0
-80.0,-70.0,0.06,0.06879826374754222,0.03879826374754222,0.03557577919184837,-0.051365546954542866,0.04548073498202502,-0.006637934123008579,0.007453213940217809,0.08357989834675461,0.07975101077571232,0.07694196422374604,0.08720422471593013,0,0
-80.0,-68.0,0.06,0.07156938548122523,0.04156938548122523,0.037121737608869526,-0.03618934945162238,0.04090566401321003,-0.005755392219893236,0.00636288780406339,0.08357989834675461,0.07868940113074391,0.07782450612686137,0.08505228893480729,0,0
-80.0,-66.0,0.06,0.07459431614540372,0.044594316145403726,0.03880730708472975,-0.02478829517061715,0.03542258502964769,-0.0048433535126969395,0.005245462348172733,0.08357989834675461,0.0775319205716707,0.07873654483405768,0.08277738291984343,0,0
-80.0,-64.0,0.06,0.07784001291320826,0.04784001291320826,0.04063043401266474,-0.01675506383930228,0.030625543048293513,-0.004087091457533019,0.004309705939128721,0.08357989834675461,0.07627997931025773,0.0794928068892216,0.08058968524938645,0,0
-80.0,-62.0,0.06,0.08127632485567814,0.05127632485567814,0.04258889719334402,-0.010826619210137441,0.02774195371337624,-0.0036088915001431607,0.0036554808882468285,0.08357989834675461,0.07493510264408527,0.07997100684661144,0.0785905835323321,0,0
