case,theta_i_deg,theta_j_deg,pivot_spacing_m,center_distance_m,surface_gap_m,axial_gap_for_table_m,force_x_on_i_N,force_y_on_i_N,tau_mag_i_Nm,tau_mag_j_Nm,tau_gravity_i_Nm,tau_gravity_j_Nm,tau_total_i_pair_Nm,tau_total_j_pair_Nm,invalid_if_surface_gap_lt_0,near_field_if_surface_gap_lt_0p02m
5cm_equilibrium_like,-8.54,-2.28,0.05,0.0634490743784895,0.0334490743784895,0.03343631338140378,-0.11276050131283168,0.00510499155161152,-0.013875245623415635,0.013950137896656192,0.012603070353937483,0.003376353954927513,-0.001272175269478152,0.017326491851583706,0,0
5cm_large_release_pair12,-59.85,-8.54,0.05,0.15101092169994584,0.12101092169994584,0.10851683908849283,-0.006535206895,0.024808682955,-0.003056975262830863,0.0012540470599258168,0.07338758375600551,0.012603070353937483,0.07033060849317466,0.0138571174138633,0,0
5cm_symmetric_pair45,2.59,9.08,0.05,0.0639351187591101,0.033935118759110094,0.033919292976375026,-0.10871926050550453,-0.005459937138728541,-0.013453380530392902,0.013374730054737289,-0.0038351256272428436,-0.013393504114119575,-0.017288506157635747,-1.8774059382286462e-05,0,0
3cm_large_release_pair23,-18.95,-5.82,0.03,0.057920527940469556,0.027920527940469557,0.027602509040575485,-0.16331101169994655,0.03930119765613388,-0.020667055994459102,0.02057210993456888,0.027560688187098017,0.008606045228934827,0.0068936321926389155,0.029178155163503708,0,0
3cm_symmetric_pair45,6.81,20.01,0.03,0.05801096343658611,0.028010963436586114,0.027635573525586918,-0.1610489645242255,-0.04231183530754833,-0.020383693546765017,0.020491882814548883,-0.01006356447000314,-0.02904091281002368,-0.030447258016768154,-0.008549029995474796,0,0
zero_angles_5cm,0.0,0.0,0.05,0.05,0.020000000000000004,0.020000000000000004,-0.327211009752454,0.0,-0.04044000869530579,0.04044000869530579,-0.0,-0.0,-0.04044000869530579,0.04044000869530579,0,0
