theta_i_deg,theta_j_deg,pivot_spacing_m,center_distance_m,surface_gap_m,axial_gap_for_table_m,force_x_on_i_N,force_y_on_i_N,tau_mag_i_Nm,tau_mag_j_Nm,tau_gravity_i_Nm,tau_gravity_j_Nm,tau_total_i_pair_Nm,tau_total_j_pair_Nm,invalid_if_surface_gap_lt_0,near_field_if_surface_gap_lt_0p02m
-80.0,-80.0,0.03,0.03,0.0,0.0,-2.4830419117368594,0.0,-0.05328900513917295,0.05328900513917295,0.08357989834675461,0.08357989834675461,0.03029089320758166,0.13686890348592756,0,1
-80.0,-78.0,0.03,0.031112655047433563,0.0011126550474335646,0.0008231282200877599,-2.0195942531751774,0.6322824354910509,-0.12029947881811763,0.12833125884812818,0.08357989834675461,0.08301465619802036,-0.03671958047136302,0.21134591504614852,0,1
-80.0,-76.0,0.03,0.032894197872827484,0.002894197872827485,0.0017935413843283843,-1.4867353684534572,0.911737148136553,-0.14287680032344446,0.15378655893376109,0.08357989834675461,0.08234827347813631,-0.05929690197668985,0.2361348324118974,0,1
-80.0,-74.0,0.03,0.03524136659724541,0.00524136659724541,0.0029100571937619585,-0.9054443532382004,0.888649809267057,-0.12759159501755077,0.13641855673740022,0.08357989834675461,0.08158156207179827,-0.04401169667079616,0.2180001188091985,0,1
-80.0,-72.0,0.03,0.038047068969178824,0.008047068969178825,0.0041713153458607655,-0.46393238952618765,0.752151474321596,-0.10150268944870144,0.10612692499695756,0.08357989834675461,0.08071545609875203,-0.017922791101946833,0.18684238109570958,0,1
-80.0,-70.0,0.03,0.04121473453954884,0.01121473453954884,0.0055757791918483735,-0.17177164666700429,0.5673833290281294,-0.0727440030648857,0.07315481077230002,0.08357989834675461,0.07975101077571232,0.010835895281868915,0.15290582154801236,0,1
-80.0,-68.0,0.03,0.04466399760017054,0.014663997600170543,0.007121737608869527,-0.00927858341672346,0.38347020336209464,-0.0468722043525507,0.04437167726207587,0.08357989834675461,0.07868940113074391,0.03670769399420391,0.12306107839281978,0,1
-80.0,-66.0,0.03,0.0483308760123035,0.0183308760123035,0.008807307084729751,-0.051157586842524104,0.2370973743161029,-0.029955590228411346,0.02934111808700971,0.08357989834675461,0.0775319205716707,0.05362430811834326,0.10687303865868042,0,1
-80.0,-64.0,0.03,0.05216552088850014,0.022165520888500143,0.010630434012664738,-0.06020860845261087,0.14297119924558305,-0.01869351406905697,0.019143519941050485,0.08357989834675461,0.07627997931025773,0.06488638427769763,0.09542349925130822,0,0
-80.0,-62.0,0.03,0.05612937867503152,0.02612937867503152,0.012588897193344023,-0.05237564558306833,0.08788474738995586,-0.011820705733771902,0.012629229824296926,0.08357989834675461,0.07493510264408527,0.0717591926129827,0.0875643324683822,0,0
-80.0,-59.99999999999999,0.03,0.060192585297188066,0.030192585297188067,0.014680310541060018,-0.0414201382799982,0.058467083232832257,-0.008005093419905575,0.008817410954709597,0.08357989834675461,0.0734989290982087,0.07557480492684904,0.0823163400529183,0,0
-80.0,-58.00000000000001,0.03,0.06433184478361641,0.03433184478361641,0.016902125990806094,-0.031155545488826847,0.05728118136742748,-0.007640464213489789,0.008044117228337125,0.08357989834675461,0.07197320842886806,0.07593943413326482,0.0800173256572052,0,0
-80.0,-56.0,0.03,0.0685287965239442,0.0385287965239442,0.019251636602701183,-0.022212708144256334,0.05480177908544392,-0.007146766408933485,0.007150166302269816,0.08357989834675461,0.07035979949167971,0.07643313193782113,0.07750996579394953,0,0
