source,rank,frequency_Hz,amplitude,prominence
experiment,1,1.3958455758316957,0.9948741582986461,0.994759992220715
experiment,2,2.1879325494187296,0.44078656466463817,0.44072803597463195
experiment,3,3.2735902195100484,0.17528223426624995,0.1752138372803968
experiment,4,4.547576260943739,0.13659995654476656,0.1365569982442343
experiment,5,5.932343697284707,0.060517498611103344,0.060253861082970574
theory_model,1,1.4166672333335364,0.6971165853383059,0.697041266940415
theory_model,2,2.366667613333673,0.659248940047463,0.6591720452436926
theory_model,3,3.566668093333845,0.3891427693542726,0.38902900799892
theory_model,4,4.883335286667367,0.21927366988897412,0.21919628393177767
theory_model,5,2.5000010000003585,0.20180378018219292,0.09134286800539256
theory_model,6,4.700001880000674,0.122427030693106,0.11683291960942226
theory_model,7,1.200000480000172,0.10945297786732441,0.10733638500842936
theory_model,8,1.3000005200001865,0.07143645202744889,0.05547003035479495
