source,rank,frequency_Hz,amplitude,prominence
experiment,1,1.3958455758316957,1.0004929012528403,1.00033766606853
experiment,2,2.1879325494187296,0.44829000638372934,0.4482031311883581
experiment,3,3.2735902195100484,0.17218830804442567,0.17211672585617585
experiment,4,4.547576260943739,0.13855360692455823,0.1384762800855121
experiment,5,5.932343697284707,0.060060068133138085,0.05983819271910564
theory_model,1,1.4166672333335364,0.697059771666118,0.696992916160405
theory_model,2,2.366667613333673,0.6592918287198666,0.6592106577600512
theory_model,3,3.566668093333845,0.38905252776149724,0.388899862687781
theory_model,4,4.883335286667367,0.21925751921478404,0.21915182564639024
theory_model,5,2.5000010000003585,0.2017262707462099,0.09120541716912217
theory_model,6,4.700001880000674,0.12235437349092475,0.11681276113765135
theory_model,7,1.200000480000172,0.10932176071047253,0.10728164199115764
theory_model,8,1.3000005200001865,0.07140164403689606,0.055293561297286783
