source,rank,frequency_Hz,amplitude,prominence
experiment,1,1.3958455758316957,0.8112282048883218,0.8110592887514619
experiment,2,2.1879325494187296,0.6937248262091325,0.6934842753527817
experiment,3,3.2735902195100484,0.19446869207765585,0.1943711525391605
theory_model,1,2.366667613333673,0.8025629270784657,0.802507220030346
theory_model,2,1.4166672333335364,0.3516596951341235,0.3515832172306935
theory_model,3,3.566668093333845,0.3480756127809418,0.34801153936003504
theory_model,4,1.200000480000172,0.2797436477866083,0.2664379135739506
theory_model,5,1.3000005200001865,0.1174009879697655,0.09038164943800434
theory_model,6,2.2666675733336583,0.07982140094527232,0.028736229454734308
theory_model,7,5.916669033334182,0.062306083367735396,0.052519906587142985
theory_model,8,3.6500014600005235,0.058452672788251676,0.048420458027398465
