time_s,experiment_bob3_z,model_theta3_z
0.0,-2.3094425241104815,-0.18788369215823023
0.01669,-2.2763109204525565,-0.18882297824963962
0.03338,-2.243521958271672,-0.20226918406790495
0.05007,-2.196635031835931,-0.2542849067926663
0.06676,-2.117463685950882,-0.37168113948402864
0.08345,-2.0124959473142123,-0.5702385064825463
0.10014,-1.8388070620717047,-0.8513142141756923
0.11683,-1.5736982932377843,-1.2044245362080737
0.13352,-1.1773865536796229,-1.6114181099079055
0.15021,-0.6279173897695733,-2.0491666978192264
0.1669,0.07029285744930698,-2.488517513805814
0.18359,0.8242052919242715,-2.860942119197048
0.20028,1.546199443080204,-2.801828487369147
0.21697,2.161155593361541,-1.2011580660593093
0.23366,2.614530608068278,1.7580421141202587
0.25035,2.9159150646024155,3.810953244407268
0.26704,3.0994383722345793,4.149058868839797
0.28373,3.1733033962035337,3.7288033714744184
0.30042,3.146556515645848,3.172336819964973
0.31711,3.04025916101294,2.5947998844099285
0.3338,2.8446148147506656,2.0329915655189805
0.35049,2.5564426220589396,1.507866613456993
0.36718,2.1990660005205123,1.0296762760380826
0.38387,1.7978141801806147,0.5949836308291953
0.40056,1.3748979088782123,0.1876450708060538
0.41725,0.9689981831952986,-0.21422736096554834
0.43394,0.5935108564672634,-0.621878869128999
0.45063,0.2617565267917968,-1.022959426079417
0.46732,-0.013217004145345386,-1.382007299312197
0.48401,-0.22259696035575322,-1.6535556513068408
0.5007,-0.3797670166045374,-1.8003707289248758
0.51739,-0.49514831675098864,-1.8031269026117347
0.53408,-0.6028842317431761,-1.6621901113844297
0.55077,-0.7264645272299856,-1.3919519776191116
0.56746,-0.8992269079521122,-1.0148958680588942
0.58415,-1.1723415257491268,-0.5581704595605241
0.60084,-1.5527172678041814,-0.05087032197584007
0.61753,-2.019380229548849,0.4733736729937459
0.63422,-2.5127821192309905,0.9497136312272472
0.65091,-2.959576968362522,1.0579347965234627
0.6676,-3.2997642344093956,-0.26864166266857215
0.68429,-3.5159608064454937,-2.979829222534102
0.70098,-3.6004262174674326,-4.898606679903599
0.71767,-3.5708353985741326,-5.108216597520734
0.73436,-3.420922555660408,-4.47759310982977
0.75105,-3.1484666401618693,-3.6961368087230406
0.76774,-2.756760019618842,-2.902599228221051
0.78443,-2.2368779456755568,-2.135248861632581
0.80112,-1.6116958838294506,-1.4064000328209565
0.81781,-0.9392892032126211,-0.7094359390535284
0.8345,-0.2493084340742349,-0.023895576097085883
0.85119,0.41067151745234987,0.6723139089871915
0.86788,0.9849368114729885,1.3816934900046691
0.88457,1.467319695720682,2.069970054273615
0.90126,1.8288566427151294,2.672202269847037
0.91795,2.0544654866892813,3.1211052346262074
0.93464,2.1741201143756284,3.371302976609744
0.95133,2.201339347337337,3.407735936808802
0.96802,2.153805183544805,3.2402158618576915
0.98471,2.0704985049824614,2.893535961212283
1.0014,1.96884104613737,2.3994902561697535
1.01809,1.8921808878316935,1.7923190795131618
1.03478,1.8657884288310405,1.1066912935929676
1.05147,1.8933320712582011,0.37817227461563496
1.06816,1.972685489350329,-0.35429971449242326
1.08485,2.068842304856363,-1.0008044008954347
1.10154,2.1508446188246966,-1.0913605962005548
1.11823,2.198574846965119,0.4000184136284052
1.13492,2.1751255904547127,2.8727538627194598
1.15161,2.062300017855146,4.112327804762481
1.1683,1.8656848401384738,3.77612205850907
1.18499,1.5659689575309963,2.911908268494468
1.20168,1.1512173056521955,1.9874191311662384
1.21837,0.6186496198612972,1.0952544776336814
1.23506,-0.03351080528465973,0.2512024043957425
1.25175,-0.761330631118027,-0.5585944741583476
1.26844,-1.508422090904502,-1.367923690680212
1.28513,-2.1989526744931265,-2.208715256929123
1.30182,-2.789954861030284,-3.07544208942623
1.31851,-3.2377245568984234,-3.902257428342934
1.3352,-3.524649434273685,-4.5867284607147205
1.35189,-3.6515440164305946,-5.038054904556339
1.36858,-3.6393634187614654,-5.210803094636136
1.38527,-3.502692908086442,-5.10729592686889
1.40196,-3.2764308353460154,-4.75938264871245
1.41865,-2.97219085179027,-4.208968760013073
1.43534,-2.6169438508907312,-3.498894005684353
1.45203,-2.2361198594698926,-2.670286846283409
1.46872,-1.850124972198178,-1.7625303077305399
1.48541,-1.47957177160853,-0.8136898117421836
1.5021,-1.149403188478793,0.13868847405114973
1.51879,-0.8734289285841631,1.0412489814306083
1.53548,-0.6623223423194682,1.6956295548362676
1.55217,-0.510170646367402,1.2495418507448919
1.56886,-0.3993541256420144,-0.7884087898324706
1.58555,-0.29960460171332015,-2.6527583301067517
1.60224,-0.18152969638883382,-2.8645964973399116
1.61893,-0.007746046307435062,-2.1153625802118725
1.63562,0.2690613258010554,-1.2390198526222784
1.65231,0.6511199696509243,-0.4074817996321419
1.669,1.143646261204266,0.35735169184858695
1.68569,1.7051762599324314,1.0863363037927525
1.70238,2.276519840533856,1.8390014168963418
1.71907,2.7952693389171746,2.668711985760068
1.73576,3.214035213511043,3.5589244991939744
1.75245,3.4870088844398928,4.395031543406614
1.76914,3.5952287045963303,5.02173648026358
1.78583,3.5471813674844643,5.330186078325512
1.80252,3.3597509120998383,5.29572608492201
1.81921,3.055530675110383,4.956075515564686
1.8359,2.663473398072718,4.3697714958840495
1.85259,2.204052326798275,3.592988242445327
1.86928,1.684122478517992,2.6748263001726977
1.88597,1.1218429002175179,1.6588146948361482
1.90266,0.5328692700946098,0.5853410089015192
1.91935,-0.06515290931229378,-0.5067353192282663
1.93604,-0.6421095051650847,-1.5796577336258297
1.95273,-1.1586445968389634,-2.589453551547999
1.96942,-1.5698766483904756,-3.4232895685229643
1.98611,-1.8464809897225787,-3.5305732651379973
2.0028,-1.9727377918232778,-2.015440286517266
2.01949,-1.9826296639262213,0.16221219262178818
2.03618,-1.9244308456652932,0.9636168144872391
2.05287,-1.8580750734049325,0.5501802523869528
2.06956,-1.8417853121434855,-0.08592132936864436
2.08625,-1.9038122660503767,-0.6807911100659377
