time1_s,bob1,time2_s,bob2,time3_s,bob3,time4_s,bob4,time5_s,bob5
0.0,-2.3280457333433486,0.0,-0.95108787797748,0.0,-0.4626288421398719,0.0,-0.2425889964208888,0.0,-0.2277512850784581
0.0083300000000008,-2.307110107299424,0.0083300000000008,-0.9396196405407012,0.0083300000000008,-0.4676598908992733,0.0083300000000008,-0.241957348940423,0.0083300000000008,-0.2303171968355531
0.0166600000000016,-2.2714618061669056,0.0166600000000016,-0.9302308394800486,0.0166600000000016,-0.4739025305073146,0.0166600000000016,-0.2433732819367683,0.0166600000000016,-0.2319061399838036
0.0249900000000025,-2.213113271948389,0.0249900000000025,-0.9205024063549092,0.0249900000000025,-0.4809667829339201,0.0249900000000025,-0.2464735171270989,0.0249900000000025,-0.2326828057150221
0.0333200000000033,-2.134891844430831,0.0333200000000033,-0.9114612155104972,0.0333200000000033,-0.4884626573762695,0.0333200000000033,-0.25089477470405,0.0333200000000033,-0.2328118810525293
0.0416500000000041,-2.0495243031862764,0.0416500000000041,-0.9037988632113828,0.0416500000000041,-0.496000158212635,0.0416500000000041,-0.2562737678792564,0.0416500000000041,-0.2324580555968077
0.049980000000005,-1.9371562334839612,0.049980000000005,-0.8955094434124878,0.049980000000005,-0.5031893173183201,0.049980000000005,-0.2622472284780623,0.049980000000005,-0.2317860180575917
0.0583100000000058,-1.8068382382403485,0.0583100000000058,-0.8869746823793243,0.0583100000000058,-0.5093149996425768,0.0583100000000058,-0.2674084649399858,0.0583100000000058,-0.2307276326313997
0.0666400000000067,-1.6753123934853456,0.0666400000000067,-0.8810147826964952,0.0666400000000067,-0.5139238119575203,0.0666400000000067,-0.2735083861273012,0.0666400000000067,-0.2289478387969914
0.0749700000000075,-1.512422052009501,0.0749700000000075,-0.8736317990656778,0.0749700000000075,-0.5172355344984337,0.0749700000000075,-0.2799242045110605,0.0749700000000075,-0.228629718651244
0.0833000000000083,-1.3336981758347335,0.0833000000000083,-0.8661434761525534,0.0833000000000083,-0.5185035326101045,0.0833000000000083,-0.2846210021023433,0.0833000000000083,-0.2298452828011007
0.0916300000000092,-1.1618945626543364,0.0916300000000092,-0.8579159525542948,0.0916300000000092,-0.5199253672388152,0.0916300000000092,-0.2887286349832071,0.0916300000000092,-0.232227677778459
0.09996000000001,-0.9594587742023152,0.09996000000001,-0.8464226767627038,0.09996000000001,-0.5206686635683297,0.09996000000001,-0.2926325081836237,0.09996000000001,-0.2356316910389333
0.1082900000000108,-0.7452509314765047,0.1082900000000108,-0.8322893437699321,0.1082900000000108,-0.5210223572072541,0.1082900000000108,-0.2966266634715915,0.1082900000000108,-0.2395591580563231
0.1166200000000117,-0.5487167013010864,0.1166200000000117,-0.8128436340765937,0.1166200000000117,-0.5200587707209245,0.1166200000000117,-0.3011226911576636,0.1166200000000117,-0.2434223776540862
0.1249500000000125,-0.3227544699863359,0.1249500000000125,-0.7816741782731058,0.1249500000000125,-0.5177583521933827,0.1249500000000125,-0.3054415174463231,0.1249500000000125,-0.2478291370495807
0.1332800000000134,-0.0946332729207664,0.1332800000000134,-0.7373091745909279,0.1332800000000134,-0.5138480046209493,0.1332800000000134,-0.3092475459975314,0.1332800000000134,-0.2521364746421148
0.1416100000000142,0.1074723722952019,0.1416100000000142,-0.6848687769847286,0.1416100000000142,-0.5069253627303639,0.1416100000000142,-0.3121054316454441,0.1416100000000142,-0.255515162370313
