time1_s,bob1,time2_s,bob2,time3_s,bob3,time4_s,bob4,time5_s,bob5
0.0,-1.560709938,0.0,-1.497451112,0.0,-1.098560997,0.0,-0.8564374437,0.0,-0.5951166484
0.01669,-1.373085496,0.01669,-1.459230703,0.01669,-1.082790967,0.01669,-0.8576066032,0.01669,-0.6165080837
0.03338,-1.125499752,0.03338,-1.382322127,0.03338,-1.067184028,0.03338,-0.8641140211,0.03338,-0.6274803954
0.05007,-0.8362097254,0.05007,-1.262179958,0.05007,-1.044866719,0.05007,-0.8726347044,0.05007,-0.6300083351
0.06676,-0.5235487823,0.06676,-1.093561503,0.06676,-1.007182624,0.06676,-0.884557768,0.06676,-0.6243468933
0.08345,-0.2030658432,0.08345,-0.8711754233,0.08345,-0.9572199236,0.08345,-0.8821977335,0.08345,-0.6193269976
0.10014,0.0959862279,0.10014,-0.5862022061,0.10014,-0.8745472296,0.10014,-0.8637589512,0.10014,-0.6122185777
0.11683,0.3646485177,0.11683,-0.2496581467,0.11683,-0.7483603634,0.11683,-0.8243996895,0.11683,-0.6029095533
0.13352,0.5763686079,0.13352,0.1070259165,0.13352,-0.559723312,0.13352,-0.7604187621,0.13352,-0.5904351532
0.15021,0.7369126956,0.15021,0.455082597,0.15021,-0.2981861619,0.15021,-0.6683549068,0.15021,-0.5704341838
0.1669,0.8434260246,0.1669,0.754111219,0.1669,0.03414899032,0.1669,-0.5390928605,0.1669,-0.5395139607
0.18359,0.9090415255,0.18359,0.9886731984,0.18359,0.3929973525,0.18359,-0.3398529357,0.18359,-0.5016898556
0.20028,0.9314579898,0.20028,1.153879744,0.20028,0.7366532027,0.20028,-0.06357014349,0.20028,-0.4409269795
0.21697,0.9260687024,0.21697,1.255725489,0.21697,1.029360946,0.21697,0.2675883775,0.21697,-0.3449176319
0.23366,0.8911751883,0.23366,1.306903167,0.23366,1.24515906,0.23366,0.6170244531,0.23366,-0.2125796073
0.25035,0.8355942102,0.25035,1.342616633,0.25035,1.388612482,0.25035,0.9251635026,0.25035,-0.03675306404
0.26704,0.760464632,0.26704,1.349746994,0.26704,1.475966179,0.26704,1.155024914,0.26704,0.1896747473
0.28373,0.677099226,0.28373,1.324904936,0.28373,1.511124563,0.28373,1.299630572,0.28373,0.4484968353
0.30042,0.5846170373,0.30042,1.264340544,0.30042,1.498393543,0.30042,1.368293749,0.30042,0.7338524788
0.31711,0.4905905301,0.31711,1.167421339,0.31711,1.44779797,0.31711,1.37446999,0.31711,1.019315222
0.3338,0.403322214,0.3338,1.034930324,0.3338,1.354674883,0.3338,1.34493062,0.3338,1.266934272
0.35049,0.324284204,0.35049,0.8949695572,0.35049,1.217510254,0.35049,1.287859521,0.35049,1.463237987
0.36718,0.245238574,0.36718,0.7354173166,0.36718,1.047405598,0.36718,1.223428003,0.36718,1.601679256
0.38387,0.174603644,0.38387,0.5647076273,0.38387,0.8564171596,0.38387,1.144464357,0.38387,1.678296656
0.40056,0.1046786412,0.40056,0.3976692683,0.40056,0.6551168436,0.40056,1.062126994,0.40056,1.683078042
0.41725,0.04224246256,0.41725,0.236792303,0.41725,0.4619160883,0.41725,0.9734536747,0.41725,1.613208673
0.43394,-0.01072733811,0.43394,0.08342875907,0.43394,0.2831910719,0.43394,0.869955328,0.43394,1.473402551
0.45063,-0.05591647884,0.45063,-0.04963469164,0.45063,0.1252821525,0.45063,0.7449104707,0.45063,1.270282574
0.46732,-0.1043520555,0.46732,-0.170675833,0.46732,-0.005600157842,0.46732,0.5996282801,0.46732,1.006730502
0.48401,-0.1523863619,0.48401,-0.263812931,0.48401,-0.1052611409,0.48401,0.4160349254,0.48401,0.7015064464
0.5007,-0.2023376693,0.5007,-0.3234536706,0.5007,-0.1800711781,0.5007,0.2156239593,0.5007,0.3399102625
0.51739,-0.2472118778,0.51739,-0.3523419313,0.51739,-0.234990541,0.51739,-0.006690098276,0.51739,-0.04962441539
0.53408,-0.278138295,0.53408,-0.3679190171,0.53408,-0.2862708421,0.53408,-0.2537951358,0.53408,-0.4609087879
0.55077,-0.2934520151,0.55077,-0.3599656824,0.55077,-0.345092775,0.55077,-0.5287696825,0.55077,-0.8492836785
0.56746,-0.2993287954,0.56746,-0.3492172606,0.56746,-0.42732447,0.56746,-0.8179593366,0.56746,-1.194620603
0.58415,-0.2925114779,0.58415,-0.3369135407,0.58415,-0.5573219721,0.58415,-1.110814512,0.58415,-1.471948024
0.60084,-0.2759979454,0.60084,-0.3387711097,0.60084,-0.7383737837,0.60084,-1.374980184,0.60084,-1.671913248
0.61753,-0.2527071241,0.61753,-0.3734866344,0.61753,-0.9604967145,0.61753,-1.594101547,0.61753,-1.788132144
0.63422,-0.2200494361,0.63422,-0.4816216435,0.63422,-1.19534688,0.63422,-1.751352395,0.63422,-1.836268412
0.65091,-0.1810088813,0.65091,-0.645559606,0.65091,-1.408012957,0.65091,-1.84589705,0.65091,-1.800860278
