time_s,experiment_bob3_z,model_theta3_z
0.0,-1.0815705311327395,0.10135096462788004
0.0249900000000025,-1.1244540760642254,0.10054355681661899
0.049980000000005,-1.1764218003833162,0.08983404594338154
0.0749700000000075,-1.2092690863641016,0.050431251458833475
0.09996000000001,-1.2172975093139815,-0.036881606524022184
0.1249500000000125,-1.2104917032524491,-0.1824843031338652
0.149940000000015,-1.1622614583253263,-0.3824668500938268
0.1749300000000175,-1.017295612040278,-0.618467424015344
0.19992000000002,-0.6571623412128056,-0.8574677593393694
0.2249100000000226,0.08914724759588678,-0.963594760825436
0.2499000000000251,1.2772436701256897,0.17766895289224244
0.2748900000000276,2.6508894993538497,3.247622537908645
0.2998800000000301,3.7710055181085185,4.950334131917611
0.3248700000000326,4.342066320814236,4.897730810462648
0.3498600000000351,4.3504112845570635,4.334082315804697
0.3748500000000376,3.9211315281947416,3.5402015366232744
0.3998400000000401,3.1821322553795404,2.5847752284265537
0.4248300000000427,2.376531244330599,1.5207489633105828
0.4498200000000452,1.5912007980290837,0.4122864409368336
0.4748100000000477,0.7535211764420312,-0.6663395780692205
0.4998000000000502,-0.20812134255789574,-1.6347247136851353
0.5247900000000527,-1.1114377181884643,-2.415859236216914
0.5497800000000552,-1.9063898170366624,-2.9657462043651543
0.5747700000000577,-2.536764357886849,-3.2833607550001904
0.5997600000000602,-2.978959941845106,-3.4110729777953126
0.6247500000000628,-3.212694251100033,-3.410665942209363
0.6497400000000653,-3.23131793300141,-3.310015877892357
0.6747300000000678,-3.026700441277843,-3.0657213023049437
0.6997200000000703,-2.613123553886579,-2.605758540471543
0.7247100000000728,-2.027179958733969,-1.9000568483784241
0.7497000000000753,-1.3629819403956875,-1.0314123635786439
0.7746900000000778,-0.7512617985462564,-0.6186515117785856
0.7996800000000803,-0.3738313489055603,-2.1244626687440236
0.8246700000000828,-0.39291371783526285,-3.7895881921438015
0.8496600000000853,-0.77839437544461,-3.8052340423676814
0.8746500000000879,-1.2231322331639576,-2.898363777848571
0.8996400000000904,-1.3816680011739444,-1.7085973543439132
0.9246300000000928,-1.1213633142093367,-0.4181512989610929
0.9496200000000954,-0.5149188058148579,0.8970137559135708
0.974610000000098,0.275090333129837,2.1701626430702343
0.9996000000001004,1.1094925761684555,3.3368818730035907
1.024590000000103,1.8974301262691147,4.331828535332493
1.0495800000001054,2.5740526446356946,5.075486524664356
1.074570000000108,3.087190897660568,5.484359184844552
1.0995600000001104,3.4238984343873127,5.488692835382146
1.124550000000113,3.5760771446982265,5.080298858309418
1.1495400000001157,3.5226043459944885,4.340574730461617
1.174530000000118,3.2289476752976745,3.447391585028103
1.1995200000001205,2.6950979764602976,2.56195591929184
1.224510000000123,1.9014480608808362,1.6176797263176323
1.2495000000001255,0.8766979924580451,0.4042212619003227
1.274490000000128,-0.3037930833969531,-1.087466251193358
1.2994800000001303,-1.516573820804738,-2.50750887771019
1.324470000000133,-2.613050420533554,-2.6441394722392695
1.3494600000001356,-3.3804775630382737,-1.1249064334522962
1.374450000000138,-3.6584804436391725,0.2547515645504243
1.3994400000001406,-3.377047750476823,0.6683718459027241
1.424430000000143,-2.6670141866279304,0.4973654688237138
1.4494200000001456,-1.8215049666176721,0.16322465707935205
1.474410000000148,-1.1145912752703457,-0.19190442884602346
1.4994000000001506,-0.6501862816734746,-0.5380133658097913
1.5243900000001531,-0.3888463535886194,-0.8573547623464938
1.5493800000001556,-0.2406496550382768,-1.1325462975310925
1.574370000000158,-0.13186050415491726,-1.3477243629590903
