time_s,theta1,theta2,theta3,theta4,theta5
0.0,-1.047692075,-0.06838773979,0.0,0.06838773979,0.1750274488
0.01666667,-1.038179434,-0.0702496929,-8.478030678e-06,0.06838772793,0.1750274801
0.03333333,-1.009758425,-0.07569173965,-0.0001310948325,0.06838678491,0.1750275701
0.05,-0.9627792551,-0.08433302215,-0.0006068967645,0.06837729081,0.1750276615
0.06666667,-0.8978469133,-0.09561233405,-0.001752277122,0.06833313937,0.1750273535
0.08333333,-0.8158623558,-0.1088369592,-0.003898968906,0.06819576906,0.1750249944
0.1,-0.7182347993,-0.1231311909,-0.007284594183,0.06786760298,0.1750157547
0.11666667,-0.6070136089,-0.1373243224,-0.01205397558,0.067229166,0.1749886412
0.13333333,-0.4846774009,-0.1502299449,-0.01818368399,0.06613709166,0.174923027
0.15,-0.3539823041,-0.1608699517,-0.02549228878,0.06443391592,0.174784962
0.16666667,-0.2182261335,-0.1682726106,-0.03365488169,0.06197116875,0.1745237809
0.18333333,-0.0854875771,-0.1672169252,-0.04222538509,0.05865701413,0.1740700236
0.2,0.01809596106,-0.1354723508,-0.05050474552,0.05448484293,0.1733368181
0.21666667,0.05486394512,-0.04085936917,-0.05637262751,0.04951973689,0.1722367868
0.23333333,0.05335578358,0.07620828512,-0.04979209893,0.04397511264,0.1706910991
0.25,0.04050121314,0.1507676386,0.004447905908,0.03869022938,0.1686289905
0.26666667,0.02257271488,0.1653377337,0.1116776862,0.03798803032,0.1660189184
0.28333333,0.001126894601,0.1568327697,0.2112499832,0.06105285611,0.1630136346
0.3,-0.0230225977,0.1403141211,0.2554299895,0.1385552638,0.1607149968
0.31666667,-0.0491517963,0.1192226603,0.2579814137,0.2447264685,0.1643930143
0.33333333,-0.07656043775,0.09471573718,0.2442007727,0.333228068,0.191019286
0.35,-0.1046016197,0.06761598322,0.2225893061,0.3770808128,0.2589756214
0.36666667,-0.1326329868,0.03867045042,0.195747978,0.3836939267,0.3551597617
0.38333333,-0.1600134178,0.008593680089,0.1647617291,0.3700327063,0.4576459527
0.4,-0.1861401001,-0.02191738426,0.1303740717,0.3451554536,0.5550735777
0.41666667,-0.2105099358,-0.05214874673,0.09344010075,0.312467699,0.642698241
0.43333333,-0.2327006688,-0.08141896519,0.05493250951,0.273278115,0.7184132086
0.45,-0.2523673835,-0.1091278514,0.01594484052,0.2289619217,0.7805370789
0.46666667,-0.2692534186,-0.1347609969,-0.02233790913,0.1809833328,0.8277014335
0.48333333,-0.2832150066,-0.1578784815,-0.05866770544,0.1307724673,0.8589056571
0.5,-0.294190275,-0.1781594382,-0.09176131067,0.079668574,0.8735389372
0.51666667,-0.3022116245,-0.1953701017,-0.120408084,0.02895139433,0.8713773475
0.53333333,-0.3074069508,-0.2093139799,-0.1438243845,-0.01980516498,0.8524616791
0.55,-0.3099575691,-0.2198526612,-0.1616488387,-0.06480719542,0.8170928697
0.56666667,-0.3101172825,-0.2268236647,-0.173987022,-0.1041963356,0.7659488698
0.58333333,-0.308161962,-0.2300911042,-0.1814280821,-0.136097768,0.7001069228
0.6,-0.3043484443,-0.2296375867,-0.1849090415,-0.1587320163,0.6210156821
0.61666667,-0.2989025618,-0.2255913292,-0.1854431926,-0.1706693622,0.5304575966
0.63333333,-0.2920124349,-0.2182751099,-0.1836721153,-0.1711538142,0.4304757186
0.65,-0.2838101717,-0.2082555514,-0.179476002,-0.1603393833,0.323303453
0.66666667,-0.2743974922,-0.1962869634,-0.1719314863,-0.1392842986,0.2113271026
0.68333333,-0.2638791094,-0.1830919467,-0.1598196352,-0.1096257488,0.09706483295
0.7,-0.2523783606,-0.1691692619,-0.1421635221,-0.07350500257,-0.01662006068
0.71666667,-0.2400493647,-0.1546488482,-0.1186482988,-0.03763913038,-0.1222659165
0.73333333,-0.2270728284,-0.1392855326,-0.08998436942,-0.02885726715,-0.1926204849
0.75,-0.2136350777,-0.1226705024,-0.05906762715,-0.08080182921,-0.1934440939
0.76666667,-0.1998996466,-0.1045430342,-0.03668897856,-0.1577905386,-0.1486779076
0.78333333,-0.1859999481,-0.08542070299,-0.0538317091,-0.1978368338,-0.08896166709
0.8,-0.1720750959,-0.06870848134,-0.1185224672,-0.18230415,-0.02300129174
0.81666667,-0.1583746129,-0.06640774025,-0.1848684292,-0.141416156,0.04611604888
0.83333333,-0.1457320807,-0.09910091408,-0.2147481204,-0.09186236705,0.1165157955
0.85,-0.1369867482,-0.1616281013,-0.205274385,-0.03895376224,0.1865839744
0.86666667,-0.1396879768,-0.2242827619,-0.1756228443,0.01498251749,0.2547254577
0.88333333,-0.165690963,-0.2631789603,-0.1371260735,0.06856026749,0.3194004221
0.9,-0.2174293319,-0.2710851432,-0.09432330811,0.1205884461,0.3791616312
0.91666667,-0.282950721,-0.2569255964,-0.04930281362,0.1699251736,0.4326884208
0.93333333,-0.3506788014,-0.2306423617,-0.003203800757,0.2154971912,0.4788160455
0.95,-0.414303672,-0.1976357562,0.04292752804,0.2563174086,0.5165592115
0.96666667,-0.4709917623,-0.1601835908,0.08804909863,0.2915009623,0.5451297054
0.98333333,-0.5194212753,-0.1193611821,0.1311440526,0.3202815674,0.5639452924
1.0,-0.558499763,-0.07631699968,0.1712388766,0.3420262691,0.5726356543
1.01666667,-0.5873386309,-0.03226132439,0.2073142266,0.3563567093,0.5710432426
1.03333333,-0.6052844919,0.0116040781,0.2381259972,0.3633584993,0.5592205768
1.05,-0.6119391147,0.0541385677,0.2623717883,0.3634320744,0.5374426184
1.06666667,-0.6071689115,0.09430295104,0.2787410811,0.3570729612,0.5063940827
1.08333333,-0.5911061372,0.1311671489,0.2859992996,0.344810803,0.4671804389
1.1,-0.5641434908,0.1635996942,0.2834211427,0.3271701353,0.4212680732
1.11666667,-0.5269186735,0.1901087505,0.2710909862,0.3044968745,0.3705184263
1.13333333,-0.4802908986,0.2088560343,0.2500213944,0.2767942882,0.3172020274
1.15,-0.4253130574,0.2174672454,0.2223249385,0.2437761847,0.2639234297
1.16666667,-0.3632061026,0.2130219489,0.1911201341,0.205182369,0.2133488636
1.18333333,-0.2953412173,0.192740852,0.1594944624,0.1615142299,0.1677177041
1.2,-0.2232259685,0.1555064496,0.1286236718,0.1147787304,0.1283130316
1.21666667,-0.1484841036,0.1030017559,0.09650373401,0.0685893831,0.09539059271
1.23333333,-0.07285109676,0.03901179826,0.05931624778,0.02710383329,0.06859000216
1.25,-0.0001462734368,-0.03021350843,0.01453879606,-0.006981552454,0.04744250953
1.26666667,0.05420703237,-0.08750792857,-0.03703884721,-0.03366730338,0.03159406436
1.28333333,0.04662749306,-0.08937903495,-0.09130255762,-0.05478034079,0.02079160731
1.3,-0.019462758,-0.04450654459,-0.1386738728,-0.07221781952,0.01475201029
1.31666667,-0.102136485,-0.01537213731,-0.1554260479,-0.08688297268,0.01310705641
1.33333333,-0.1876623796,-0.03517344319,-0.1211463652,-0.0979289652,0.01538830619
1.35,-0.271676695,-0.08223504477,-0.06259237798,-0.1015033119,0.02109496294
1.36666667,-0.3518316303,-0.1350489617,-0.009458289084,-0.08947980714,0.02983161598
1.38333333,-0.4263358472,-0.1861202109,0.02162023292,-0.05322785594,0.04152108756
1.4,-0.4935615773,-0.2330648252,0.02997183296,0.004280907629,0.05677097415
1.41666667,-0.5520671704,-0.2748709392,0.02525883779,0.06977441135,0.07731582026
1.43333333,-0.6006230988,-0.3106919311,0.01498157485,0.1308285461,0.1061826532
1.45,-0.6382306268,-0.339816,0.002826803905,0.1789232758,0.1464041143
1.46666667,-0.6641338656,-0.3616683411,-0.009650962569,0.2107314779,0.1980408871
1.48333333,-0.6778250304,-0.3758129687,-0.02204551417,0.2280860638,0.2571855029
1.5,-0.6790467914,-0.3819580322,-0.03408078862,0.2345170578,0.3185236478
1.51666667,-0.6677911318,-0.3799584361,-0.04547923594,0.2329802248,0.3775884478
1.53333333,-0.6443003699,-0.3698217654,-0.05596618063,0.2254419301,0.4311979446
1.55,-0.6090643877,-0.3517134762,-0.06527870159,0.2128378095,0.4774902533
1.56666667,-0.5628161111,-0.3259634512,-0.07317401709,0.1955868137,0.5154234572
1.58333333,-0.5065239002,-0.2930677044,-0.07944234606,0.1742158626,0.54415788
1.6,-0.4413801937,-0.2536893457,-0.08391470102,0.1493540275,0.563046987
1.61666667,-0.3688060721,-0.2088068198,-0.08629553883,0.1216946167,0.5716565173
1.63333333,-0.2906870546,-0.1600789409,-0.08552659934,0.09196290336,0.5697792601
1.65,-0.2093869473,-0.1097477746,-0.07987608044,0.06093781737,0.5574448687
1.66666667,-0.1276770356,-0.06075014744,-0.06733110485,0.02991900836,0.5349228185
1.68333333,-0.04884484333,-0.01630739832,-0.04603015203,0.000923706141,0.5027198301
1.7,0.02310094925,0.02157750419,-0.0158907118,-0.02287909846,0.4615667058
1.71666667,0.08332109009,0.05386695535,0.01876769237,-0.03606960663,0.4123981817
1.73333333,0.1268292912,0.08377023521,0.0489725437,-0.0305816952,0.3563269823
1.75,0.1505320065,0.1127591521,0.06802508907,-0.0005842477679,0.2946170825
1.76666667,0.1548798749,0.1375039949,0.08017372723,0.05022300521,0.2286600509
1.78333333,0.1427837872,0.1521225689,0.09533470386,0.1122701383,0.1603923889
1.8,0.1175505397,0.1535734702,0.1186646867,0.1732586266,0.09634018778
1.81666667,0.08203399525,0.1436058219,0.1483163523,0.2089435499,0.05860472307
1.83333333,0.03868272454,0.1259098825,0.178635113,0.1882684322,0.07999283721
