f_Hz,bob1,bob2,bob3,bob4,bob5
0.0,0.00023405086889062164,7.594050027578355e-05,0.00019865060939006622,0.0001783616294102444,0.0003664213909688416
0.007184632186706027,0.00016355416925934891,7.52551633842638e-05,0.00015800852961160027,0.0001495025911233466,0.00022447201645043444
0.014369264373412054,3.706508570128588e-05,2.3306272028622613e-05,6.252007243005652e-05,5.39229065473001e-05,3.268374410140847e-05
0.02155389656011808,0.00010929740742958228,2.9844078235627487e-05,5.786802496540811e-05,1.4576170700598275e-05,5.766345865050218e-05
0.02873852874682411,0.0003358915221152696,0.0004118869244948791,0.000505127771072095,0.0001730213081812828,0.000749343218951447
0.03592316093353014,0.0008870115069659318,0.0017270388019068948,0.0013074473749560926,0.00022018276085304547,0.0015362631517595448
0.04310779312023616,0.0011705418187745854,0.002909803077848733,0.0017112328663893665,0.00017928801525143035,0.002926788425603625
0.05029242530694219,0.0005796096717730238,0.0010809299329263091,0.0020578131994932777,9.15007674738897e-05,0.0055310739075070245
0.05747705749364822,0.001901640546046962,0.0025340598312388225,0.0020224060135922706,0.0004902377869780942,0.007209075791907478
0.06466168968035424,0.0030008392474127734,0.004718544169088573,0.0008291312384872203,0.0006586347816946356,0.004276732196020425
0.07184632186706028,0.0027984337791716373,0.004582189962315201,0.0003722495248224878,0.0005638015398322273,0.0015221724280753677
0.0790309540537663,0.000992694137872275,0.002452322156689985,0.0006446583383078615,0.0005583224995410701,0.0019332748267774172
0.08621558624047232,0.001405578748898515,0.002827851896655916,0.0004394779652919689,0.0005769086439221481,0.00129605242341276
0.09340021842717836,0.0010108510632645944,0.0029599236122988776,0.0017360320380753317,0.0011122973422354647,0.0013378399107354735
0.10058485061388438,0.00012395268204930357,0.0010457912595109662,0.0009340480339474929,0.0011313204765023984,0.0009586883298803161
0.10776948280059041,0.000976682742466384,0.0015762198234852863,0.0004249881228683217,0.0005969411781400216,0.0005623475182794308
0.11495411498729644,0.0008838485319487383,0.0021289631461019975,0.0005095783651734802,0.00036768785386840426,0.00038529986971633413
0.12213874717400246,0.00021524685937531182,0.0012824635944834568,0.0007547727956305534,0.0006146550491365962,0.0013300807153938065
0.12932337936070848,0.0010452810007999863,0.003528025848487375,0.0006092066380293562,0.0004906234452298735,0.00041796838866872053
0.13650801154741452,0.0009237842735821816,0.003675876866208143,0.0009360924448476826,0.000725595423022729,0.0008425379563407774
0.14369264373412055,0.0009413642351004304,0.0014414602826464961,0.00047709151249108203,0.00040922767361778304,0.0019905710591972335
0.15087727592082656,0.000973475894735559,0.0006780035388950273,0.0010490784724909409,0.0003162993118066448,0.0003197723212463154
0.1580619081075326,0.00040271755232409274,0.0009443217421942348,0.0015698878124085756,0.00022470374450181917,0.0011087338398018472
0.16524654029423863,0.00032654921822497073,0.0006160467978951385,0.0006907797683499298,0.0002822503088266816,0.0002503646339584922
0.17243117248094464,0.0006628984324812109,0.001963153625981835,0.0008597377774453301,0.0004924765262158623,0.0007859466464296537
0.17961580466765067,0.0004695877337682365,0.0013386547611350095,0.0011733680064035443,0.0005669654985390599,0.0008388547478594898
