t_s,bob1,bob2,bob3,bob4,bob5
0.0,-2.3280457333433486,-0.95108787797748,-0.4626288421398719,-0.24258899642088882,-0.2277512850784581
0.008330000000000837,-2.3071101072994242,-0.9396196405407011,-0.46765989089927334,-0.241957348940423,-0.23031719683555318
0.016660000000001673,-2.2714618061669056,-0.9302308394800486,-0.4739025305073146,-0.24337328193676835,-0.23190613998380366
0.02499000000000251,-2.2131132719483895,-0.9205024063549091,-0.4809667829339201,-0.24647351712709897,-0.23268280571502212
0.03332000000000335,-2.134891844430831,-0.9114612155104971,-0.4884626573762695,-0.25089477470405,-0.2328118810525293
0.041650000000004184,-2.0495243031862764,-0.9037988632113829,-0.49600015821263505,-0.25627376787925643,-0.23245805559680774
0.04998000000000502,-1.9371562334839614,-0.8955094434124878,-0.5031893173183201,-0.2622472284780623,-0.23178601805759178
0.05831000000000586,-1.8068382382403483,-0.8869746823793243,-0.5093149996425768,-0.2674084649399858,-0.23072763263139978
0.0666400000000067,-1.6753123934853456,-0.8810147826964952,-0.5139238119575203,-0.2735083861273012,-0.2289478387969914
0.07497000000000753,-1.512422052009501,-0.8736317990656778,-0.5172355344984337,-0.2799242045110605,-0.22862971865124404
0.08330000000000837,-1.3336981758347337,-0.8661434761525534,-0.5185035326101045,-0.2846210021023433,-0.2298452828011007
0.0916300000000092,-1.1618945626543364,-0.8579159525542948,-0.5199253672388152,-0.28872863498320717,-0.232227677778459
0.09996000000001004,-0.9594587742023151,-0.8464226767627038,-0.5206686635683297,-0.2926325081836237,-0.2356316910389333
0.10829000000001088,-0.7452509314765047,-0.8322893437699321,-0.5210223572072541,-0.29662666347159156,-0.23955915805632313
0.11662000000001171,-0.5487167013010864,-0.8128436340765937,-0.5200587707209245,-0.3011226911576636,-0.2434223776540862
0.12495000000001255,-0.32275446998633595,-0.7816741782731058,-0.5177583521933827,-0.30544151744632314,-0.24782913704958073
0.1332800000000134,-0.09463327292076641,-0.7373091745909279,-0.5138480046209493,-0.30924754599753146,-0.2521364746421148
0.14161000000001422,0.10747237229520192,-0.6848687769847286,-0.5069253627303639,-0.31210543164544413,-0.255515162370313
0.14994000000001506,0.3285062029599652,-0.6107669082648337,-0.4971340456588115,-0.3138412694255664,-0.258867013065232
0.1582700000000159,0.538946566954884,-0.5153471611528416,-0.48281459928467646,-0.31594179659059024,-0.2613789267275489
0.16660000000001673,0.7152056028414185,-0.4104152076151076,-0.46281834575173114,-0.3177403254433628,-0.26268932878029
0.17493000000001757,0.8948030223641303,-0.26934035328449535,-0.43514348236509287,-0.31690865575748056,-0.2646019486047166
0.1832600000000184,1.0523405288935965,-0.10419257671290025,-0.3973166005651448,-0.31438119274205883,-0.2676158812060438
0.19159000000001924,1.17223794371174,0.06378923666802028,-0.34688034496154785,-0.3110460758057793,-0.27077128350423696
0.19992000000002008,1.284078337279064,0.26868828831729236,-0.28114262704978843,-0.30672480778796785,-0.2742837066317083
0.20825000000002092,1.3708949393651944,0.4881827740872279,-0.1965834757529051,-0.3006043913951599,-0.2770002339956872
0.21658000000002176,1.428518556077862,0.6895912059955767,-0.09073094738689055,-0.2920325395308961,-0.2798429156354219
0.2249100000000226,1.4741800264189469,0.9123428530609073,0.03799565956970019,-0.27886659250697754,-0.28177664423099225
0.23324000000002343,1.4999739376157901,1.1262277346435239,0.18842160224667884,-0.25922704525733514,-0.28342792243105913
0.24157000000002427,1.5080937178636011,1.299080741888857,0.3595007973286075,-0.2332554630359955,-0.2846213745433299
0.2499000000000251,1.5039786516361482,1.4675141505420097,0.5460516490822509,-0.1994740493306124,-0.2857795320368269
0.25823000000002594,1.4859578858113316,1.606200599496209,0.7421782343200508,-0.1548942395407626,-0.2882527968267394
0.2665600000000268,1.4603595126630435,1.7043535947555584,0.9396492403956476,-0.09611823854466137,-0.28866031452417173
0.2748900000000276,1.4235514140867063,1.7863461382714274,1.1334526190492276,-0.021922739259280566,-0.2869480902501448
0.28322000000002845,1.3781145611689716,1.8394257023602085,1.3149662869177874,0.0693100143750766,-0.28466679156495306
0.2915500000000293,1.3317724519552472,1.8651103271421732,1.4773521018506877,0.17832657989322936,-0.2793303872744455
0.2998800000000301,1.2743657796639534,1.8722402860428895,1.6124387025739315,0.30314031794979746,-0.2716995462585533
0.30821000000003096,1.2116641561937165,1.8607328287231197,1.7209901006841026,0.44368428377122593,-0.2614154536192371
0.3165400000000318,1.1512060828667914,1.83338596068324,1.8024657371938517,0.5959354189242336,-0.24825690931292715
0.32487000000003263,1.081489296116298,1.7888455625489064,1.8566367791683474,0.7576824592266096,-0.23076370985543712
0.33320000000003347,1.0066591801664466,1.7319850780974124,1.8816394629371704,0.9217722219618368,-0.20399961853075302
0.3415300000000343,0.9380313957117465,1.668152059388151,1.882117683031428,1.0811488768186786,-0.16664578102149158
0.34986000000003514,0.8596904393140321,1.5874544412400602,1.8602052679975467,1.230788499283488,-0.11933068466168514
0.358190000000036,0.7785180077043585,1.4968269448237133,1.8162956748190744,1.3662180960163008,-0.06355296908897543
0.3665200000000368,0.7062440942640902,1.4087458095244847,1.7536928445889992,1.4817431466471922,0.00663405160085187
0.37485000000003765,0.625709406222365,1.3028604595252167,1.6766358646557102,1.5740904641491797,0.0859810036925082
0.3831800000000385,0.544690214026004,1.1907775922431632,1.5855273408877728,1.643089219254984,0.17729910411016975
0.3915100000000393,0.4731233740006723,1.084939297645107,1.4832656834279188,1.6862889424972674,0.2798546810629047
0.39984000000004016,0.39412009618304433,0.9640324434373952,1.3606236288813327,1.6952343329083819,0.39293316328104916
0.408170000000041,0.3161370969761084,0.8415504652203492,1.2425300882045636,1.6864740919768777,0.49728418321182516
0.41650000000004184,0.24313906460734436,0.7216984099830517,1.1284578699033665,1.660640816779801,0.596145851845237
0.4248300000000427,0.16859969724536833,0.5970514446070443,1.0161310346276753,1.6199500598326195,0.6906367519951953
0.4331600000000435,0.09965327997675849,0.4794398185279315,0.904103698813131,1.5649826679291148,0.7818196136352751
0.44149000000004435,0.04434918127069294,0.37901263106249694,0.7929365155646716,1.4966834412955714,0.8669263987269838
0.4498200000000452,-0.014223725530872672,0.2722493329738166,0.6803065767604597,1.4157969217718211,0.9479758456245088
0.458150000000046,-0.06926820166231135,0.16897503164964714,0.5645374148279273,1.3220638115227523,1.0226225837215632
0.46648000000004686,-0.11552513859709204,0.0769344851393494,0.446219960758861,1.2161908521605367,1.0939874517300539
0.4748100000000477,-0.16554091121517328,-0.024374302697312375,0.3220964677411024,1.0985105875246173,1.1589447062757101
0.48314000000004853,-0.21401452420859762,-0.12550507675816427,0.19273098752369103,0.9700505607655507,1.2241719228482182
0.49147000000004937,-0.256207906816898,-0.21560194731395776,0.05627112062503625,0.8290529328170925,1.2861431172572697
0.4998000000000502,-0.3031963061848019,-0.3153470032408642,-0.0891228847316084,0.6744040227319509,1.3422598594961404
0.508130000000051,-0.3505075313479683,-0.4155970111773113,-0.22192718830917987,0.5224821711154712,1.3775332004831944
0.5164600000000519,-0.3935017012554011,-0.5088373885723965,-0.3502734178234904,0.36912704067051694,1.4026998915336215
