t_s,bob1,bob2,bob3,bob4,bob5
0.0,0.5323592565706742,0.3392227713444961,0.08453535544148105,0.02309035563388034,0.02079226100879224
0.008330000000000837,0.5471843501100404,0.3243710276993907,0.08519054801576124,0.022539708786202966,0.020714365387940914
0.016660000000001673,0.5882580405690134,0.2906880448624138,0.0808102235274767,0.021192389446371564,0.019051301594116513
0.02499000000000251,0.6434497602063176,0.2478175624357478,0.072741559882691,0.01937813912295183,0.01661297835176295
0.03332000000000335,0.6796234916250437,0.21895927564090042,0.06781672411300972,0.01858775102246723,0.015012757598101502
0.041650000000004184,0.72177183859537,0.18736861771611796,0.06064692281993147,0.017176503620964855,0.01303611724720003
0.04998000000000502,0.7704993162133138,0.15273494177551242,0.05123243090357841,0.014788172687986684,0.010745138419264466
0.05831000000000586,0.7899389275777307,0.13806418778954985,0.04793243523791352,0.01418595902429714,0.009878490370191052
0.0666400000000067,0.8173910838925573,0.11881527146378497,0.04220477579338364,0.013121708661791022,0.008467160188205477
0.07497000000000753,0.8500048883477718,0.09687487402577254,0.035053371826713406,0.011113312912319451,0.006953552887193668
0.08330000000000837,0.8560871521721799,0.09227938149292975,0.03395691809262095,0.010817687741620403,0.006858860500427447
0.0916300000000092,0.8678134177155821,0.08410956975429827,0.03137990024931698,0.010154186906317628,0.006542925374281521
0.09996000000001004,0.8832371903487717,0.0737338236763895,0.02779020263441789,0.00919902721848641,0.0060397561217547064
0.10829000000001088,0.8758416446212471,0.07801841244415725,0.029460896840444867,0.01004495109984616,0.00663409499411388
0.11662000000001171,0.8747417720539685,0.07976947093548874,0.028674274221195555,0.010108713916109412,0.006705768873051973
0.12495000000001255,0.8789409975149657,0.08012774539942978,0.02548683447943372,0.009221208271503668,0.006223214334501251
0.1332800000000134,0.8565049238399347,0.09835468865352291,0.02790909909504909,0.010257857872600772,0.0069734305387107115
0.14161000000001422,0.8321590807695027,0.12229224939976086,0.028053715986996658,0.01037687024515377,0.007118083598403202
0.14994000000001506,0.800618719552897,0.1571606394714838,0.026023092512027404,0.00956769664478401,0.006629851818640808
0.1582700000000159,0.7346120996986889,0.2170160648151784,0.03021681157946173,0.010754982590719544,0.0074000413157662105
0.16660000000001673,0.6467536510156188,0.3017630580736525,0.0332865990207921,0.010769992792328403,0.007426699097423781
0.17493000000001757,0.5480036503467998,0.3997305503825792,0.035869597990663166,0.009610622392730353,0.006785578887062409
0.1832600000000184,0.44167006064581577,0.490762657025841,0.050132161862165237,0.010066409139591824,0.007368711326412502
