t_s,mean_log_separation,n_pairs
0.0,-2.9448874775229816,16683
0.008330000000000837,-2.740069162987504,16680
0.016660000000001673,-2.45452169191785,16677
0.02499000000000251,-2.212779107894648,16676
0.03332000000000335,-2.014100571370964,16675
0.041650000000004184,-1.852367204154383,16672
0.04998000000000502,-1.719970722065436,16670
0.05831000000000586,-1.6103235901386368,16666
0.0666400000000067,-1.5192939284010507,16662
0.07497000000000753,-1.444220637917297,16657
0.08330000000000837,-1.3829325823792933,16655
0.0916300000000092,-1.3322414681453523,16651
0.09996000000001004,-1.2897748926556056,16649
0.10829000000001088,-1.2508211730384389,16647
0.11662000000001171,-1.2076196705445643,16644
0.12495000000001255,-1.1608155206500947,16641
0.1332800000000134,-1.1133336914974163,16640
0.14161000000001422,-1.0663496814470486,16638
0.14994000000001506,-1.0217673828404696,16637
0.1582700000000159,-0.9799806636707554,16636
0.16660000000001673,-0.9407453892475249,16635
0.17493000000001757,-0.9043227619424065,16634
0.1832600000000184,-0.8706585060709956,16633
0.19159000000001924,-0.8389719317939339,16630
0.19992000000002008,-0.8089942580728665,16626
0.20825000000002092,-0.7808668456467501,16624
0.21658000000002176,-0.7539001437122472,16621
0.2249100000000226,-0.7271039340047766,16618
0.23324000000002343,-0.7007435166506817,16617
0.24157000000002427,-0.673933413960485,16614
0.2499000000000251,-0.6463361428551007,16612
0.25823000000002594,-0.6177340869010709,16609
0.2665600000000268,-0.5878501228951974,16607
0.2748900000000276,-0.5569484591491206,16604
0.28322000000002845,-0.5261731270599548,16602
0.2915500000000293,-0.4957646321119211,16600
0.2998800000000301,-0.46592395128405867,16598
0.30821000000003096,-0.43695215674372684,16596
0.3165400000000318,-0.40955772247583344,16595
0.32487000000003263,-0.38395287245449,16593
0.33320000000003347,-0.3604516677593558,16592
0.3415300000000343,-0.33948934560658905,16591
0.34986000000003514,-0.3210861886209439,16588
0.358190000000036,-0.30526459968962566,16587
0.3665200000000368,-0.29200945497011493,16586
0.37485000000003765,-0.2810925396712956,16585
0.3831800000000385,-0.27226253282440005,16584
0.3915100000000393,-0.26483101294704864,16580
0.39984000000004016,-0.25848880099854726,16577
0.408170000000041,-0.25287943322082385,16576
0.41650000000004184,-0.24702150493968472,16572
0.4248300000000427,-0.24022758989831844,16567
0.4331600000000435,-0.23231963959946123,16565
0.44149000000004435,-0.22224999833756964,16563
0.4498200000000452,-0.21039022411186104,16561
0.458150000000046,-0.1971160226727693,16558
0.46648000000004686,-0.1827818236330825,16555
0.4748100000000477,-0.1676729715165568,16553
0.48314000000004853,-0.15218877176635617,16551
0.49147000000004937,-0.13685087523296197,16548
0.4998000000000502,-0.12212988325810599,16545
0.508130000000051,-0.1083788128251561,16543
0.5164600000000519,-0.09576793473365573,16541
0.5247900000000527,-0.08438093568796647,16538
0.5331200000000536,-0.07442610892143638,16536
0.5414500000000544,-0.06580864182465583,16534
0.5497800000000552,-0.05852913536013452,16533
0.5581100000000561,-0.05227362890764352,16530
0.5664400000000569,-0.046890996955397474,16526
0.5747700000000577,-0.04210924638535273,16524
0.5831000000000586,-0.03772003138421989,16523
0.5914300000000594,-0.033670497976058235,16522
0.5997600000000602,-0.029887507892222984,16521
0.6080900000000611,-0.026478161637437363,16520
0.6164200000000619,-0.023448666726018325,16519
0.6247500000000628,-0.020925096702703396,16518
0.6330800000000636,-0.01900240600561746,16517
0.6414100000000644,-0.017400720222819573,16516
0.6497400000000653,-0.01595154309605155,16515
0.6580700000000661,-0.014465418543357927,16514
0.6664000000000669,-0.012910863808204049,16513
0.6747300000000678,-0.011569739689174938,16512
0.6830600000000686,-0.009484477499786127,16504
0.6913900000000694,-0.008105192727051595,16502
0.6997200000000703,-0.006701076661561853,16499
0.7080500000000711,-0.005478347107028199,16497
0.716380000000072,-0.004188907805032084,16494
0.7247100000000728,-0.0025699417034642956,16491
0.7330400000000736,-0.0006082984074648367,16488
0.7413700000000745,0.0019528259917428704,16482
0.7497000000000753,0.004368006693061171,16480
0.7580300000000761,0.007276722528177519,16479
0.766360000000077,0.01100348555364141,16478
0.7746900000000778,0.015700476500273026,16474
0.7830200000000787,0.02054345843692167,16471
0.7913500000000795,0.025570231775412375,16467
0.7996800000000803,0.029971258370553467,16464
0.8080100000000812,0.03320243687704063,16463
0.816340000000082,0.03576968844879766,16462
0.8246700000000828,0.03791469973764028,16460
0.8330000000000837,0.03929511914358397,16459
0.8413300000000845,0.04015590981165179,16457
0.8496600000000853,0.040315187135721624,16455
0.8579900000000862,0.039758990532073844,16454
0.866320000000087,0.03911896495323358,16451
0.8746500000000879,0.038966199898968254,16448
0.8829800000000887,0.039876620350390406,16443
0.8913100000000895,0.04155830031263728,16442
0.8996400000000904,0.04390747747989268,16440
0.9079700000000912,0.046396707619187835,16438
0.916300000000092,0.048734033801971346,16434
0.9246300000000929,0.050751426726555506,16432
0.9329600000000937,0.05166124137064421,16430
0.9412900000000946,0.05138159183927932,16426
0.9496200000000954,0.049589421887758584,16425
0.9579500000000962,0.04631186048192644,16424
0.9662800000000971,0.04157788217647451,16423
0.9746100000000979,0.035306909024931214,16422
0.9829400000000987,0.027875173483630368,16419
0.9912700000000996,0.019245109693296552,16416
0.9996000000001004,0.009720839851417558,16414
1.0079300000001012,-3.511776659683011e-05,16413
1.016260000000102,-0.009210062271222272,16411
1.024590000000103,-0.017232171700803572,16410
1.0329200000001038,-0.023291895421031893,16408
1.0412500000001046,-0.02700823582879899,16406
1.0495800000001054,-0.028435680506308948,16404
1.0579100000001063,-0.028063565450457108,16402
1.066240000000107,-0.026488133633918595,16400
1.074570000000108,-0.024366996461296333,16399
1.0829000000001088,-0.022130162925027987,16397
1.0912300000001096,-0.020396388948820645,16395
1.0995600000001104,-0.0196496211185095,16393
1.1078900000001113,-0.020116891648031262,16391
1.1162200000001121,-0.022198011614785806,16390
1.124550000000113,-0.025938456423491022,16389
1.1328800000001138,-0.03138432666933281,16388
1.1412100000001146,-0.03868171186484587,16387
1.1495400000001155,-0.04774715768013687,16386
1.1578700000001163,-0.05838881532598317,16385
1.1662000000001171,-0.07030431620206745,16383
1.174530000000118,-0.0827730543007334,16379
1.1828600000001188,-0.09512001068847764,16378
1.1911900000001197,-0.10586537387420329,16377
1.1995200000001205,-0.1143412328709112,16377
1.2078500000001213,-0.12030136894307808,16377
1.2161800000001222,-0.12385398353289424,16376
1.224510000000123,-0.12618327825748027,16375
1.2328400000001238,-0.1285746085147269,16374
1.2411700000001247,-0.13146563748002202,16373
1.2495000000001255,-0.13460070632339807,16369
1.2578300000001263,-0.13831024414327395,16363
1.2661600000001272,-0.14394548571805518,16362
1.274490000000128,-0.1507278638599704,16361
1.2828200000001289,-0.15834016419770525,16360
1.2911500000001297,-0.16645762349137777,16359
1.2994800000001305,-0.1750186068126708,16358
1.3078100000001314,-0.1834190973020353,16356
1.3161400000001322,-0.190752302136437,16354
1.324470000000133,-0.19625662952831308,16352
1.3328000000001339,-0.1996058210931971,16350
1.3411300000001347,-0.20080092696132232,16349
1.3494600000001356,-0.20004656259845244,16348
1.3577900000001364,-0.1980628618583824,16347
1.3661200000001372,-0.1952022826808385,16346
1.374450000000138,-0.19231050159321045,16344
1.382780000000139,-0.19041425696395683,16343
1.3911100000001397,-0.1898245070040408,16341
1.3994400000001406,-0.19057950953065536,16337
1.4077700000001414,-0.19350913027735564,16336
1.4161000000001422,-0.19846421206449175,16334
1.424430000000143,-0.2052939311405366,16333
1.432760000000144,-0.21378410421205746,16331
1.4410900000001448,-0.22369111550023638,16329
1.4494200000001456,-0.23454536235900753,16328
1.4577500000001464,-0.245462032760459,16325
1.4660800000001473,-0.25606859114644476,16323
1.474410000000148,-0.26575764663461365,16322
1.482740000000149,-0.2736243172198284,16319
1.4910700000001498,-0.2790767047638663,16316
1.4994000000001506,-0.28204309695832086,16314
1.5077300000001514,-0.2823883256390413,16312
1.5160600000001523,-0.2806011793044308,16310
1.5243900000001531,-0.2770942003293117,16309
1.532720000000154,-0.27209021466893757,16307
1.5410500000001548,-0.2664138610334209,16306
1.5493800000001556,-0.26065361819515576,16305
1.5577100000001565,-0.2556434668050792,16304
1.5660400000001573,-0.251307221740991,16302
1.5743700000001581,-0.24782119529146282,16300
1.582700000000159,-0.2455312793601985,16297
1.5910300000001598,-0.24445701384063853,16295
1.5993600000001607,-0.24450429121069558,16292
1.6076900000001615,-0.24545151787222785,16287
1.6160200000001623,-0.247063203817792,16283
1.6243500000001632,-0.249282624790087,16280
1.632680000000164,-0.2517874406564994,16277
1.6410100000001648,-0.2544360577177066,16273
1.6493400000001657,-0.2574775396401496,16270
1.6576700000001665,-0.26063941413173064,16267
1.6660000000001673,-0.26372384939265564,16264
1.6743300000001682,-0.2668963634347995,16262
