t_s,mean_log_separation,n_pairs
0.0,-2.9793745395157356,16683
0.008330000000000837,-2.766942431113046,16677
0.016660000000001673,-2.4725914193327427,16674
0.02499000000000251,-2.226675838006448,16672
0.03332000000000335,-2.0281525229152355,16670
0.041650000000004184,-1.8685100303680133,16668
0.04998000000000502,-1.740202758677502,16664
0.05831000000000586,-1.6377262578277345,16663
0.0666400000000067,-1.5548073862065421,16662
0.07497000000000753,-1.4872688211047331,16661
0.08330000000000837,-1.432325245991527,16659
0.0916300000000092,-1.3869055676445232,16658
0.09996000000001004,-1.3466100518515034,16657
0.10829000000001088,-1.3058449081719208,16655
0.11662000000001171,-1.2595959847284783,16653
0.12495000000001255,-1.2089306618308087,16650
0.1332800000000134,-1.1583157665755655,16648
0.14161000000001422,-1.110061947138767,16645
0.14994000000001506,-1.0647898691346762,16641
0.1582700000000159,-1.0233163143656598,16640
0.16660000000001673,-0.9853416410526693,16638
0.17493000000001757,-0.9502952031636053,16637
0.1832600000000184,-0.9178616523928869,16636
0.19159000000001924,-0.8879644752061934,16635
0.19992000000002008,-0.8598780062044483,16634
0.20825000000002092,-0.8331627041387173,16633
0.21658000000002176,-0.8065804485046605,16632
0.2249100000000226,-0.7793069130225913,16631
0.23324000000002343,-0.7517829305332079,16630
0.24157000000002427,-0.7242540905569053,16628
0.2499000000000251,-0.6964574970394892,16626
0.25823000000002594,-0.6679277100287102,16624
0.2665600000000268,-0.6386077790010193,16620
0.2748900000000276,-0.6086044001295058,16616
0.28322000000002845,-0.5782276024738322,16613
0.2915500000000293,-0.5477789585505481,16611
0.2998800000000301,-0.5175476918009742,16609
0.30821000000003096,-0.488286357929759,16608
0.3165400000000318,-0.46040394122582745,16605
0.32487000000003263,-0.43456206564424377,16603
0.33320000000003347,-0.4110230460564082,16601
0.3415300000000343,-0.38997058800911394,16599
0.34986000000003514,-0.37161521493141053,16598
0.358190000000036,-0.35569755079902216,16597
0.3665200000000368,-0.34202286793790593,16595
0.37485000000003765,-0.33057789956079103,16593
0.3831800000000385,-0.3213653234705431,16591
0.3915100000000393,-0.31393968859225246,16589
0.39984000000004016,-0.30777554472592344,16587
0.408170000000041,-0.3022012818831477,16586
0.41650000000004184,-0.29669706729848944,16585
0.4248300000000427,-0.29037275765148995,16581
0.4331600000000435,-0.2831346727657649,16578
0.44149000000004435,-0.2744488899082258,16576
0.4498200000000452,-0.2643703378248211,16573
0.458150000000046,-0.2526197468916939,16568
0.46648000000004686,-0.23973990434294004,16565
0.4748100000000477,-0.2257407504551553,16563
0.48314000000004853,-0.21102719462507163,16561
0.49147000000004937,-0.19652231966250597,16560
0.4998000000000502,-0.1824171515633598,16559
0.508130000000051,-0.1691175386953157,16558
0.5164600000000519,-0.15659880024546602,16557
0.5247900000000527,-0.1451965145934599,16556
0.5331200000000536,-0.13506127177304844,16555
0.5414500000000544,-0.12603184571680665,16553
0.5497800000000552,-0.11829563454618916,16552
0.5581100000000561,-0.11187583398367618,16551
0.5664400000000569,-0.10686484821032464,16550
0.5747700000000577,-0.10317244157626396,16549
0.5831000000000586,-0.10025649576801843,16547
0.5914300000000594,-0.09776977174110607,16546
0.5997600000000602,-0.09542336800606824,16545
