t_s,mean_log_separation,n_pairs
0.0,-2.564891139136967,10801
0.016689999999996985,-1.5430430356716913,10800
0.03337999999999397,-0.9691195845487646,10798
0.050069999999990955,-0.6790826711094247,10796
0.06675999999998794,-0.5425618498837729,10795
0.08344999999998493,-0.5159032718681406,10794
0.10013999999998191,-0.5862118478948396,10792
0.1168299999999789,-0.7493881087072138,10790
0.13351999999997588,-0.9296724569121365,10788
0.15020999999997287,-0.7404183819283954,10787
0.16689999999996985,-0.5347300075126118,10784
0.18358999999996684,-0.39075542549885467,10781
0.20027999999996382,-0.30641794685257107,10779
0.2169699999999608,-0.27601939843963763,10778
0.2336599999999578,-0.2944374545156249,10777
0.2503499999999548,-0.3475613162621524,10776
0.26703999999995176,-0.3980281172177091,10775
0.28372999999994875,-0.3567053930805642,10774
0.30041999999994573,-0.2746741444340606,10773
0.3171099999999427,-0.19470198768878474,10771
0.3337999999999397,-0.12796933323278847,10768
0.3504899999999367,-0.07889185132650291,10766
0.36717999999993367,-0.05402373042547512,10763
0.38386999999993066,-0.05067045605617976,10762
0.40055999999992764,-0.055570496541603946,10760
0.4172499999999246,-0.04837526568801272,10758
0.4339399999999216,-0.03271484771995114,10756
0.4506299999999186,-0.014386381521966259,10754
0.4673199999999156,0.002418050991677269,10753
0.48400999999991257,0.016344019052231675,10751
0.5006999999999096,0.019300517850864465,10749
0.5173899999999065,0.010047447776012889,10746
0.5340799999999035,-0.005739962033793143,10744
0.5507699999999005,-0.016670086451215316,10743
0.5674599999998975,-0.028991868150266626,10740
0.5841499999998945,-0.04438170926924659,10737
0.6008399999998915,-0.05919245439784663,10735
0.6175299999998884,-0.06503256010784356,10734
0.6342199999998854,-0.053655857670154405,10732
0.6509099999998824,-0.0362443430138175,10731
0.6675999999998794,-0.02474360369861559,10728
0.6842899999998764,-0.01785507317982607,10727
0.7009799999998734,-0.024278547626419338,10725
0.7176699999998704,-0.049584463692849017,10723
0.7343599999998673,-0.09531199609170699,10721
0.7510499999998643,-0.1484420676426374,10718
0.7677399999998613,-0.16643418146552447,10716
0.7844299999998583,-0.14655364103914717,10714
0.8011199999998553,-0.12543388470274067,10712
0.8178099999998523,-0.11965966096381207,10709
0.8344999999998493,-0.13353335227568058,10708
0.8511899999998462,-0.1676813053217884,10705
0.8678799999998432,-0.2228675419021038,10704
0.8845699999998402,-0.2843224339455836,10700
0.9012599999998372,-0.3053024456517193,10697
0.9179499999998342,-0.2749531021359826,10695
0.9346399999998312,-0.23192226728063497,10693
0.9513299999998281,-0.20208903165207043,10691
0.9680199999998251,-0.1928137155646638,10690
0.9847099999998221,-0.206032405808281,10687
1.001399999999819,-0.24209178442140383,10685
1.018089999999816,-0.2999811990964707,10683
1.034779999999813,-0.36249892453721116,10680
1.05146999999981,-0.4199622246676723,10679
1.068159999999807,-0.4540174214557879,10678
1.084849999999804,-0.4597334455259026,10676
1.101539999999801,-0.4456995173746671,10675
1.118229999999798,-0.4325913891871247,10674
1.134919999999795,-0.4323419593163818,10673
1.151609999999792,-0.4551544315859302,10671
1.168299999999789,-0.4943003492486153,10669
1.184989999999786,-0.5391233006746764,10666
1.201679999999783,-0.5580429269626699,10664
1.21836999999978,-0.5357410969433802,10663
1.235059999999777,-0.49465484742500143,10662
1.2517499999997739,-0.4550537006425306,10660
1.2684399999997709,-0.4321556821706082,10659
1.2851299999997678,-0.4411471608274163,10657
1.3018199999997648,-0.4770434113166147,10656
1.3185099999997618,-0.5331417739783799,10655
1.3351999999997588,-0.5873831152218186,10653
1.3518899999997558,-0.6011258307898348,10651
1.3685799999997528,-0.5616371950768595,10650
