source,rank,frequency_Hz,amplitude,prominence
experiment,1,1.3958455758316957,1.0441581779197773,1.044121607333989
experiment,2,3.2735902195100484,0.36291644086502073,0.362873812508108
experiment,3,5.932343697284707,0.09389654416852121,0.09381424427614597
theory_model,1,1.4166672333335364,0.7070262257711749,0.7070144374878404
theory_model,2,3.566668093333845,0.6344428831643661,0.6344268057254694
theory_model,3,1.200000480000172,0.20821365686359075,0.20405094356435385
theory_model,4,3.5000014000005018,0.2047095882238508,0.0475689679624674
theory_model,5,5.916669033334182,0.15223696348597995,0.13713401834662411
theory_model,6,3.6500014600005235,0.12191811255336886,0.10882232601493373
theory_model,7,3.433334706667159,0.0694864211115692,0.029666480031721523
theory_model,8,3.8833348866672237,0.062076803064229046,0.038726775286226076
