frequency_Hz,experiment_amplitude
0.0,0.0026231413266211206
0.005539069745363872,0.0017863610470542084
0.011078139490727744,0.0002897549967544888
0.016617209236091616,0.00016603666032296863
0.022156278981455488,0.0009270326553872194
0.02769534872681936,0.0013805342914785595
0.03323441847218323,0.0010990358593725878
0.0387734882175471,0.0010637006123767009
0.044312557962910976,0.004867157024030921
0.04985162770827485,0.0051988889231223785
0.05539069745363872,0.005666730094641548
0.06092976719900259,0.007675717066707896
0.06646883694436646,0.006139852008465411
0.07200790668973034,0.005502816904613742
0.0775469764350942,0.011149126184784152
0.08308604618045808,0.008319839458834011
0.08862511592582195,0.002751345812277583
0.09416418567118583,0.006745252503013081
0.0997032554165497,0.01096226187440001
0.10524232516191356,0.009056119745743479
0.11078139490727744,0.008058241792221603
0.11632046465264131,0.004987598537053124
0.12185953439800518,0.0038779218032837376
0.12739860414336907,0.005733299178490734
0.13293767388873293,0.008240103233220612
0.1384767436340968,0.005486022043325164
0.14401581337946068,0.008573050050716628
0.14955488312482454,0.008364795716858012
0.1550939528701884,0.010678584898563881
0.1606330226155523,0.009998203267396841
0.16617209236091615,0.003902107964939988
0.17171116210628004,0.006925931694116722
0.1772502318516439,0.004472365352716931
0.18278930159700776,0.0025941315571732975
0.18832837134237165,0.00276022546878878
0.19386744108773551,0.007247666103922185
0.1994065108330994,0.008043018295909345
0.20494558057846327,0.007310390338206615
0.21048465032382713,0.005050927026048166
0.21602372006919102,0.0021148786547693183
0.22156278981455488,0.0009670654001652956
0.22710185955991874,0.002829596813872957
0.23264092930528263,0.005267475309137886
0.2381799990506465,0.006172846325394639
0.24371906879601035,0.0014575168972025278
0.24925813854137424,0.002804666463350436
0.25479720828673813,0.004397000786799958
0.26033627803210196,0.002984600447376816
0.26587534777746585,0.0019378084313659634
0.27141441752282974,0.002375108905714172
0.2769534872681936,0.002291102170986688
0.28249255701355747,0.0014845986089573097
0.28803162675892136,0.001111621176263404
0.2935706965042852,0.00037765363200075055
0.2991097662496491,0.005055129868133581
0.30464883599501297,0.008982592436900952
0.3101879057403768,0.009250744057312407
0.3157269754857407,0.00595864365800556
0.3212660452311046,0.0030153240577617587
0.32680511497646847,0.003944100397093355
0.3323441847218323,0.006545527486336437
0.3378832544671962,0.0044799094740542505
0.3434223242125601,0.0034463212940095663
0.3489613939579239,0.005337353305242572
0.3545004637032878,0.0035921090581266966
0.3600395334486517,0.003947877655302233
0.36557860319401553,0.005755039674228734
0.3711176729393794,0.004934949897144434
0.3766567426847433,0.004424233675186316
0.38219581243010714,0.003020135538682507
0.38773488217547103,0.0026358912454467064
0.3932739519208349,0.0042844471856644
0.3988130216661988,0.0054941841367731545
0.40435209141156264,0.0038465216593095495
0.40989116115692653,0.002683211344316152
0.4154302309022904,0.003621055830483002
0.42096930064765425,0.0008145936530092372
0.42650837039301814,0.00037472986992353845
0.43204744013838203,0.002001606649359299
0.43758650988374587,0.0011818519856541573
0.44312557962910976,0.0033501512882564456
0.44866464937447365,0.0031352720306547606
0.4542037191198375,0.0021607241872380915
0.45974278886520137,0.0035150178417569337
0.46528185861056526,0.004177809145611353
0.4708209283559291,0.0029299726715794243
0.476359998101293,0.00303327760812379
0.48189906784665687,0.005105377833321996
0.4874381375920207,0.005159939752463632
0.4929772073373846,0.0023858732907242005
0.4985162770827485,0.002123516169257013
0.5040553468281124,0.00044615018826202606
0.5095944165734763,0.0013495494658158007
0.51513348631884,0.0020454748591576233
0.5206725560642039,3.65705857883351e-05
0.5262116258095678,0.002686516806847387
0.5317506955549317,0.003962184452158744
0.5372897653002956,0.0024721613822312146
0.5428288350456595,0.001961611152166756
0.5483679047910234,0.0013915741738958257
0.5539069745363872,0.003084021026796641
0.559446044281751,0.0020940727965868353
0.5649851140271149,0.0017897306187474834
0.5705241837724788,0.0027790996367395766
0.5760632535178427,0.002843617552010407
0.5816023232632066,0.003508407104758169
0.5871413930085704,0.0027368589669250192
