Frequency_Hz,amplitude
0.0,0.00018538783967030967
0.0045231472058269,0.00020937916184559562
0.0090462944116538,3.2998106165910954e-05
0.0135694416174807,0.00037966815203838405
0.0180925888233076,0.0004126497906740067
0.0226157360291345,0.001176607657540984
0.0271388832349614,0.0002523445152106632
0.0316620304407883,0.001524803622401189
0.0361851776466152,0.002382973517164252
0.0407083248524421,0.00397558921960482
0.045231472058269,0.0023946941372375314
0.0497546192640959,0.0036845004921368264
0.0542777664699228,0.005475240134043121
0.0588009136757497,0.006668462770030366
0.0633240608815766,0.0020429062293127343
0.0678472080874035,0.0062007674199776285
0.0723703552932304,0.007556304241230654
0.0768935024990573,0.010576242453882608
0.0814166497048842,0.011126016981699656
0.0859397969107111,0.004705400630551358
0.090462944116538,0.007052194595062673
0.0949860913223649,0.005772777894188753
0.0995092385281918,0.004583218250583979
0.1040323857340187,0.012949874014716513
0.1085555329398456,0.011556661965749929
0.1130786801456725,0.003505031843012927
0.1176018273514994,0.0042179056956406355
0.1221249745573263,0.007821463355169589
0.1266481217631532,0.011529956639218707
0.1311712689689801,0.0003106606364184338
0.135694416174807,0.001231260424555381
0.1402175633806339,0.005251817813120894
0.1447407105864608,0.005759387518917211
0.1492638577922878,0.013950585027622968
0.1537870049981146,0.009223527599517826
0.1583101522039415,0.013646965928707382
0.1628332994097684,0.014617475914478272
0.1673564466155954,0.00955165557071469
0.1718795938214223,0.005054660713332695
0.1764027410272491,0.006494837718068926
0.1809258882330761,0.011291613740397182
0.185449035438903,0.012972414721607959
0.1899721826447299,0.011219255646954808
0.1944953298505568,0.005788615614278745
0.1990184770563837,0.006424957905036255
0.2035416242622106,0.00838952401680981
0.2080647714680375,0.00274801548064197
0.2125879186738644,0.001588240326148964
0.2171110658796913,0.0057548209760755805
0.2216342130855182,0.006791670010376102
0.2261573602913451,0.007975903896713262
0.230680507497172,0.0036814561856569933
0.2352036547029989,0.005002104307744328
0.2397268019088258,0.009411502262150732
0.2442499491146527,0.009179237934352241
0.2487730963204796,0.008920466949858256
0.2532962435263065,0.008519292990981687
0.2578193907321334,0.01331243703282322
0.2623425379379603,0.010600459878702104
0.2668656851437872,0.004490432179953579
0.2713888323496141,0.00689008744333331
0.275911979555441,0.005326222542976772
0.2804351267612679,0.002523795700304727
0.2849582739670948,0.0015938558696447108
0.2894814211729217,0.00123665558453917
0.2940045683787486,0.006327177511274625
0.2985277155845756,0.004084434780959226
0.3030508627904024,0.005686770994975349
0.3075740099962293,0.0015704665747516464
0.3120971572020563,0.005129144178260139
0.3166203044078831,0.0053035027585936695
0.32114345161371,0.00349023508260254
0.3256665988195369,0.005411736784342068
0.3301897460253639,0.0049444950608715735
0.3347128932311908,0.003337840288303057
0.3392360404370176,0.0068971095479318295
0.3437591876428446,0.0017967310953703806
0.3482823348486715,0.005431790953440302
0.3528054820544983,0.0028110867108995918
0.3573286292603252,0.003151188192979924
0.3618517764661522,0.0013460456792976578
