Frequency_Hz,single_pendulum
0.0,0.0008697990303809717
0.00754232,0.004138085806648026
0.01508465,0.0043630048804043494
0.02262697,0.004640211786989639
0.03016929,0.0022895112532799584
0.03771161,0.0028923830381748943
0.04525394,0.003719203197243723
0.05279626,0.0009883574115033425
0.06033858,0.0011003634872289287
0.06788091,0.0020702865477742007
0.07542323,0.0027320883925000634
0.08296555,0.0029965946228239734
0.09050787,0.0045463596627891775
0.0980502,0.003194957600675618
0.10559252,0.0027963532873179642
0.11313484,0.005142776321497648
0.12067716,0.00013416451687223158
0.12821949,0.0028186682973071866
0.13576181,0.0012413273167999088
0.14330413,0.001790871865043892
0.15084646,0.0015066661337044128
0.15838878,0.0033669787739311744
0.1659311,0.0032635985669425315
0.17347342,0.0026402607664307077
0.18101575,0.0011285360625427998
0.18855807,0.0025554090579164215
0.19610039,0.0017098818722719748
0.20364272,0.0019541149046390597
0.21118504,0.002899265594215991
0.21872736,0.002071052024991328
0.22626968,0.0018522077045798043
0.23381201,0.0021788264045578443
0.24135433,0.002226355144499095
0.24889665,0.004838111275675572
0.25643898,0.00364309529273309
0.2639813,0.0013608585653926183
0.27152362,0.0022057558188874862
0.27906594,0.0012638285280618397
0.28660827,0.0015912321225160073
0.29415059,0.004241613897041375
0.30169291,0.0032255236214415047
0.30923523,0.0017761462025907336
0.31677756,0.0025005899780530696
0.32431988,0.002106696878626983
0.3318622,0.0013095354089872884
0.33940453,0.0008612385158269612
0.34694685,0.0005446657936004565
0.35448917,0.0016164077970092245
0.36203149,0.0020101990234699506
0.36957382,0.001406747486822493
0.37711614,0.003082185814729881
0.38465846,0.0012788453319795502
0.39220079,0.0009165205874017175
0.39974311,0.0016681921819812543
0.40728543,0.0019317592845303532
0.41482775,0.0007496529023283342
0.42237008,0.0013031067075083432
0.4299124,0.0021483392995268733
0.43745472,0.001701825858070592
0.44499705,0.002050349223369892
0.45253937,0.0007904710779925146
0.46008169,0.0009514321672478095
0.46762401,0.0013021044616444745
0.47516634,0.0005994020943917276
0.48270866,0.0011154544947476592
0.49025098,0.0010703494773779034
0.4977933,0.0006045606368607896
0.50533563,0.0011475781274541354
0.51287795,0.0006387441121741479
0.52042027,0.0005836884750208721
0.5279626,0.0015125287378981345
0.53550492,0.0016769497415359026
0.54304724,0.0010712523875792792
0.55058956,0.0005580099327277652
0.55813189,0.0003326187595169495
0.56567421,0.0009304500913876965
0.57321653,0.0004101598218241356
0.58075886,0.000978846270955189
0.58830118,0.0020528301797340994
0.5958435,0.0024043917135280826
0.60338582,0.000545488601507697
0.61092815,0.0009534768064584399
0.61847047,0.0019213652412052398
0.62601279,0.002555262562115173
0.63355512,0.0009489351083529827
0.64109744,0.001282678248058073
0.64863976,0.0007646283604618866
0.65618208,0.0008469330398158505
0.66372441,0.0006730145736834229
0.67126673,0.0006391617494691788
0.67880905,0.0014953492952791993
0.68635137,0.0023077051371532815
0.6938937,0.0022646730829520047
0.70143602,0.0011741270933846022
0.70897834,0.0002730817378362957
0.71652067,0.0007202763774168414
0.72406299,0.001787231149912784
0.73160531,0.001183415469972581
0.73914763,0.0006104145543913852
0.74668996,0.001171672680169418
0.75423228,0.0017222638796300562
0.7617746,0.0012840503509961123
0.76931693,0.0011666022842145738
0.77685925,0.0018542982358903852
0.78440157,0.0015272477502693733
0.79194389,0.0008457184980763866
0.79948622,0.0010248045978799947
0.80702854,0.0012366392826871258
0.81457086,0.0012012342077460396
0.82211319,0.0012493223571118386
0.82965551,0.00117758761406504
0.83719783,0.0004916707456439445
0.84474015,0.0012907294541471019
0.85228248,0.0006715105575435481
0.8598248,0.0006627067371887218
0.86736712,0.0010813448359562397
0.87490944,0.0007419642885610024
0.88245177,0.0003373009539531589
0.88999409,0.0005145455514220634
0.89753641,0.000715035672996766
0.90507874,0.0004561423006048805
0.91262106,0.00033841646307700726
0.92016338,0.0004468769465943818
0.9277057,0.00026497460560999966
0.93524803,0.00021581886130263577
0.94279035,0.0008684488002188999
0.95033267,0.0012451249842790092
0.957875,0.0008497883695512263
0.96541732,0.0005085110171355801
0.97295964,0.0006873421871259958
0.98050196,0.0004976057058533596
0.98804429,0.0008915332415335318
0.99558661,0.0007576058026854139
1.00312893,0.0006145352250180255
1.01067126,0.000875525562544566
1.01821358,0.0012492109026373836
1.0257559,0.001433661258705488
1.03329822,0.0009110102897020796
1.04084055,0.000995654547823461
1.04838287,0.001217371071085476
1.05592519,0.0002598214044442601
1.06346752,0.0006084920499134454
1.07100984,0.0008961875154277332
1.07855216,0.0010608519330973446
1.08609448,0.0004852181402193765
1.09363681,0.00028091323524537855
1.10117913,0.000582919624365137
1.10872145,0.0008534134013937902
1.11626377,0.000615342838003708
1.1238061,0.0006601285022662813
1.13134842,0.0005773376028823753
1.13889074,0.00024178986782724175
1.14643307,0.00011272943024356462
1.15397539,0.0006413337133965933
1.16151771,0.0010543881096288588
1.16906003,0.0007892815729486938
1.17660236,0.0005490945129097487
1.18414468,0.00024593271856512676
1.191687,0.00020843929418971527
1.19922933,0.0007280472069443864
1.20677165,0.0007860691654666923
1.21431397,0.0001987668959449707
1.22185629,0.00039976172075442543
1.22939862,0.0006594199356803546
1.23694094,0.0002898710341475535
1.24448326,0.0005091196065349124
1.25202559,0.000622171000806046
1.25956791,0.0009680780864450925
1.26711023,0.0006097503554815942
1.27465255,0.0007530501956676382
1.28219488,0.0009227527723741751
1.2897372,0.0003192314667389009
1.29727952,0.0012830538454609022
1.30482184,0.0010249150690857733
1.31236417,0.002071606450683364
1.31990649,0.001339431459270674
1.32744881,0.0011844698086553457
1.33499114,0.0016860860034986185
1.34253346,0.006060702006576727
1.35007578,0.006467037769704596
1.3576181,0.007680776132712921
1.36516043,0.007947254059742124
1.37270275,0.018140361771812066
1.38024507,0.03661667740152031
1.3877874,0.05845399259632831
1.39532972,0.08347369970516828
1.40287204,0.11834361359725898
1.41041436,0.2786569904893212
1.41795669,1.0
1.42549901,0.9742759676954209
1.43304133,0.2523134957534189
1.44058366,0.009830089883150489
1.44812598,0.01162177005426706
1.4556683,0.005997881185267154
1.46321062,0.002422041817149888
1.47075295,0.0027268579075395184
1.47829527,0.002167061955275522
1.48583759,0.0007125107511470063
1.49337991,0.001049950024864108
1.50092224,0.0016323525655901792
1.50846456,0.0011259071002481932
1.51600688,0.00022646689742571413
1.52354921,0.0008160161361002085
1.53109153,0.00037379531537585885
1.53863385,0.00011192947174415999
1.54617617,0.00018752635753536333
1.5537185,0.0002105158782986995
1.56126082,0.00017795076336811093
1.56880314,0.0003826081301375072
