Frequency_Hz,3cm_experiment,5cm_experiment
0.0,0.0025071494013169456,0.0008600237727149799
0.00553907,0.0020070208394352375,0.0006292805359208859
0.01107814,0.0007653048819232402,0.00017103574532188875
0.01661721,0.001298298456160831,0.00017103574532188875
0.02215628,0.0024074867374059544,0.0002198169413117129
0.02769535,0.0032457991592952035,0.0017759067370934202
0.03323442,0.003406823681407622,0.004635514135329299
0.03877349,0.00467117970248135,0.004635514135329299
0.04431256,0.006721222306484325,0.00726410911498865
0.04985163,0.009189906187482135,0.007626000616479098
0.0553907,0.007730968554781706,0.011558219851067995
0.06092977,0.007727033005888523,0.011558219851067995
0.06646884,0.010510012107159414,0.01100833829111656
0.07200791,0.011626030635726368,0.008032505898463518
0.07754698,0.012244520973263529,0.0053729979308679895
0.08308605,0.010722345632940103,0.005344095253121307
0.08862512,0.007313973367619464,0.005344095253121307
0.09416419,0.005617020955589631,0.00665938793087102
0.09970326,0.006523122186237504,0.0034238492290398744
0.10524233,0.006187616040221696,0.0033776231121227726
0.11078139,0.005043253311610588,0.0033776231121227726
0.11632046,0.004678094839839383,0.0034904492683471094
0.12185953,0.0048948622787548125,0.003426639898422912
0.1273986,0.0036232010957069523,0.004972822349621249
0.13293767,0.005065492550917289,0.0057996645930137375
0.13847674,0.00584075554808364,0.0057996645930137375
0.14401581,0.008472546980260284,0.0042940690969901
0.14955488,0.007147258917797215,0.0027240484394551044
0.15509395,0.006154998925481785,0.003470028412901415
0.16063302,0.008481896813648374,0.003470028412901415
0.16617209,0.0066903356309002664,0.0017683304637748452
0.17171116,0.005003758093331773,0.003889537888103097
0.17725023,0.0035695834400354468,0.0035819301307453573
0.1827893,0.0038609735575153375,0.0035819301307453573
0.18832837,0.004418084325983794,0.0029538480589961537
0.19386744,0.005546612503569928,0.002279960556110268
0.19940651,0.004830425803895717,0.002106106458315705
0.20494558,0.004062605519335045,0.0023659770277378958
0.21048465,0.004972499222606381,0.0023659770277378958
0.21602372,0.004094810528574368,0.003262591860965357
0.22156279,0.0041153974057211214,0.004566686663176953
0.22710186,0.003655193433424192,0.004521713704390805
0.23264093,0.0045698907061888835,0.004521713704390805
0.23818,0.005046134965727645,0.0026341226095556274
0.24371907,0.00251801145142929,0.0022238565335565884
0.24925814,0.004322726048473888,0.0032111259355439713
0.25479721,0.0044503209092477646,0.0032111259355439713
0.26033628,0.004731090278396197,0.0034619306972385466
0.26587535,0.004186589663962755,0.003414806414601227
0.27141442,0.0035845053549423494,0.003085383828493435
0.27695349,0.003203636866753247,0.0024238698953908937
0.28249256,0.003389770441481072,0.0024238698953908937
0.28803163,0.00305416664324831,0.0029001137949188436
0.2935707,0.0019934471900152364,0.0029044017910006418
0.29910977,0.002902491127331751,0.0027906195065240105
0.30464884,0.0051259456851228576,0.0027906195065240105
0.31018791,0.006360984368269707,0.0017819084820733468
0.31572698,0.004494267023694198,0.0033581860136959853
0.32126605,0.003942457748390343,0.0033734084214135
0.32680511,0.0029248136589582153,0.0033734084214135
0.33234418,0.0036407605749089553,0.003642878912323044
0.33788325,0.00375813028785218,0.002793194361816843
0.34342232,0.003138334685546744,0.002548103237352187
0.34896139,0.002971356301186317,0.0029619402309721066
0.35450046,0.0041407299235350845,0.0029619402309721066
0.36003953,0.00401909664402219,0.00210649204082336
0.3655786,0.00464886897642156,0.0024485603757653366
0.37111767,0.0033619583198699066,0.002014025397929813
0.37665674,0.00212327264706978,0.002014025397929813
0.38219581,0.0024722948233027444,0.0021979459743400845
0.38773488,0.002651609100361708,0.0025144132987667024
0.39327395,0.0035051142688474566,0.0024631232682319325
0.39881302,0.003947482244151463,0.003927037997047101
0.40435209,0.003364652182496008,0.003927037997047101
0.40989116,0.0033316525966059405,0.004528554845038164
0.41543023,0.0026227563790695327,0.0026176824137382065
0.4209693,0.0020261460458982153,0.003510502232448055
0.42650837,0.0026055891403657197,0.003510502232448055
0.43204744,0.0023362553959479396,0.0035203028771904803
0.43758651,0.0029862141822636426,0.002161298806721445
0.44312558,0.003681461020854905,0.0022300341105502344
0.44866465,0.0043667026876413354,0.0022300341105502344
0.45420372,0.002648872954190031,0.0023197636893198034
0.45974279,0.0034122876038528704,0.0032358357300433537
0.46528186,0.003770268377264792,0.0050318323262505855
0.47082093,0.0026517263237029885,0.0021797709149483364
0.47636,0.003411364160682287,0.0021797709149483364
0.48189907,0.004233642645001187,0.002422643301421826
0.48743814,0.0040418099292837415,0.002366406003126901
0.49297721,0.003827283482055025,0.001728363374064877
0.49851628,0.002865955984487931,0.001728363374064877
0.50405535,0.0013379034651386551,0.0019605691156528416
0.50959442,0.0018241957035197286,0.0016557916083222287
0.51513349,0.0025275552351120864,0.0018280101058342664
0.52067256,0.0021456354259787543,0.0018280101058342664
0.52621163,0.003606378398089972,0.001984791107127424
0.5317507,0.0036649046636374823,0.001722690694117937
0.53728977,0.0038515424728138626,0.0016441065698322998
0.54282884,0.003427011207134879,0.002658841088164546
0.5483679,0.002810859935907918,0.002658841088164546
0.55390697,0.0027684425353869378,0.0025312946088060615
0.55944604,0.0020422552966582186,0.0017108923539940132
0.56498511,0.0018207698632327852,0.0019272062802027123
0.57052418,0.0020398699635058672,0.0019272062802027123
0.57606325,0.0024711264689915866,0.001911629890391866
0.58160232,0.003763558147401289,0.0022828290092868114
0.58714139,0.0034268141344474014,0.0015378052596737527
0.59268046,0.001435859052953386,0.0015378052596737527
0.59821953,0.002631261722142249,0.0012022475522711744
0.6037586,0.003728450240865924,0.0013004665212394077
0.60929767,0.0036700033227421948,0.0013631041403817515
0.61483674,0.0030367955951193927,0.0024706806585307055
0.62037581,0.0037732385083247407,0.0024706806585307055
0.62591488,0.003929888077416498,0.0013754667787982413
0.63145395,0.003302339252439556,0.0018643995827928423
0.63699302,0.0016202125153827018,0.0022310669515122066
0.64253209,0.0011854331387374018,0.0022310669515122066
0.64807116,0.0023245543053937254,0.00322607384677271
0.65361023,0.002217129138898017,0.0027297767680734965
0.6591493,0.002582798538321567,0.002146765465128735
0.66468837,0.003143565240524068,0.003390653824297297
0.67022744,0.0036308563862517762,0.003390653824297297
0.67576651,0.003729552809184669,0.002585280323813197
0.68130558,0.0029031257628431627,0.0047817271608081415
0.68684465,0.0025024004124930602,0.02365542644213093
0.69238372,0.00219041466944112,0.02365542644213093
0.69792279,0.002318855046290196,0.044128890585621465
0.70346186,0.002538564602736105,0.03411085069040727
0.70900093,0.002445879572360146,0.014934383961798643
0.71454,0.002239350795026821,0.014934383961798643
0.72007907,0.0020968682643837284,0.005046930529634831
0.72561814,0.003423104353258314,0.002236291581779739
0.73115721,0.0025487669323711205,0.001682330986702175
0.73669628,0.0015907366496853994,0.0016325336178139237
0.74223535,0.0012803460229351537,0.0016325336178139237
0.74777442,0.0030954155954309704,0.0017435760299687202
0.75331349,0.002754860468734423,0.001905649349161839
0.75885256,0.002061411024782007,0.00186961329120176
0.76439162,0.002027810243683916,0.00186961329120176
0.76993069,0.002068673507950979,0.0018945217818885274
0.77546976,0.0018231610332260662,0.0015662647269300111
0.78100883,0.002299363156948015,0.0020090885704444326
0.7865479,0.002160662919167835,0.0020090885704444326
0.79208697,0.0019305243347360293,0.002226042752193223
0.79762604,0.0020709518779762864,0.0020498388253133437
0.80316511,0.0026262293091954218,0.00171801242600487
0.80870418,0.0018497231069148445,0.008944388687904358
0.81424325,0.0022247253331497954,0.008944388687904358
0.81978232,0.0027975719388324727,0.0297685824423335
0.82532139,0.0025570712783439834,0.03358089138703663
0.83086046,0.0025917767902374563,0.01620115786538207
0.83639953,0.0020772798428583725,0.01620115786538207
0.8419386,0.002821495841565866,0.005668253990965076
0.84747767,0.0023375872971056182,0.003718303416535566
0.85301674,0.00136587492300576,0.0016125920619050869
