Frequency_Hz,bob1,bob2,bob3,bob4,bob5
0.0,0.004935928138235219,0.002536338839461769,0.0025122068507061825,0.00059143570311716,0.003045601400574266
0.00553907,0.006147588840791442,0.0015450315695466736,0.001583822114957451,0.0005737542847898191,0.001749465476791496
0.01107814,0.004175096000651458,8.43512026710367e-05,0.00010196089766685137,0.00025821555736211345,0.0005153216998190777
0.01661721,0.005564317119528208,0.00032249748720389326,0.00013215246529809285,0.000852394772490791,0.0014054290822386
0.02215628,0.009092305120022433,0.0006654033493701229,0.0009053717011521686,0.0009336209176166321,0.003460105017245441
0.02769535,0.010578364672933962,0.0011910027120903804,0.0013161683731858747,0.001593576374590116,0.0050777951044986
0.03323442,0.007284226449661108,0.0036792352684486282,0.0010576021329103832,0.0012822581576962264,0.0062131339754064934
0.03877349,0.00855488055825331,0.006927941563238662,0.0010155440304260733,0.001794622534304308,0.007704608295784488
0.04431256,0.007530043644565514,0.00526281984137542,0.004659356467619309,0.004403662721958422,0.014412768320596254
0.04985163,0.008729777039553037,0.007472565374414284,0.004980501715951607,0.0035984484988311437,0.026122061450662138
0.0553907,0.0018235572912287889,0.0049001019508618125,0.005427182693697073,0.0036360011763122125,0.025921515164563914
0.06092977,0.006787468426869097,0.008695458885737105,0.0073502993786762364,0.002660276426369345,0.014779054606461412
0.06646884,0.007856487464157732,0.01578409920960289,0.005880775043697103,0.003929604043872719,0.02150850210685022
0.07200791,0.007183855300937801,0.012674626381646853,0.005269753927507882,0.01014697574852103,0.025605787659442047
0.07754698,0.011033286074400059,0.007723971555669869,0.010677996861628344,0.007971268618409555,0.027929718804049236
0.08308605,0.0059113307415685264,0.008603904065075888,0.007967673337618055,0.006037144066804971,0.028477370783785427
0.08862512,0.003171148134181066,0.004391036277056601,0.0026351974176638407,0.008799134795004762,0.019961088047605463
0.09416419,0.004566450734928922,0.00512213356134274,0.006460180861703446,0.0028385644651574586,0.009795961741753713
0.09970326,0.0029557330516204626,0.00542499909311216,0.010498487110683904,0.003994840383430212,0.008619491739805255
0.10524233,0.003922827574950081,0.0055912605249459225,0.008673284010177702,0.002416753815651034,0.010443782341521757
0.11078139,0.007475612635933159,0.0034341814167330714,0.0077173258651309735,0.0019424303697480774,0.005493273593524563
0.11632046,0.009679553026806266,0.0018777115376179085,0.004776782387456733,0.001466343841407989,0.00865082602421628
0.12185953,0.005532293836924862,0.0072134623978366745,0.0037138328618792345,0.002552994059179672,0.006133204278487017
0.1273986,0.004397935031963986,0.0035112498041374816,0.005490920217924932,0.0024260812173638683,0.0019603754749220334
0.13293767,0.0029421656556390214,0.002819392362802209,0.00789156001137788,0.0040259661299508484,0.007207726635305068
0.13847674,0.0012124156953948987,0.005820366290335029,0.005254080328796716,0.005479729808367149,0.011210858977390095
0.14401581,0.0014536267642597655,0.007848073451870404,0.00821043691230603,0.006493019410105319,0.018491299421913215
0.14955488,0.0014531624170952993,0.00470370016168518,0.008011093821785097,0.004975068236101523,0.017154980293923296
0.15509395,0.002343103239240383,0.004169941788159361,0.010226931680109509,0.003987889685688215,0.009057728552720502
0.16063302,0.011023363034230117,0.00800776835995554,0.009575411743435163,0.0031440527930243897,0.012741234894216491
0.16617209,0.011564802350853517,0.005703007453332112,0.003737112535464862,0.00198774542345542,0.014908007379685518
0.17171116,0.005101122370029853,0.004679402545523829,0.0066329936368970804,0.0014835070636049356,0.007805866852550642
0.17725023,0.0017084303858196383,0.004451096514578677,0.0042832584728368,0.001749467368173769,0.00537259610882926
0.1827893,0.003554497333723918,0.0031659932005310377,0.002484407852543751,0.0025666767151611425,0.008976383297967277
0.18832837,0.003621267757864415,0.007184940732799361,0.002643490327950375,0.0023599128328726593,0.006754757606004278
0.19386744,0.0036210350821940756,0.0048516302061021675,0.006941164777031858,0.0007601525447917632,0.012710927082554035
0.19940651,0.0027746608794983344,0.001433671638067274,0.007702861746000969,0.0009267398344191757,0.01243992249224489
0.20494558,0.005846133430276452,0.004611578272936302,0.007001238403742961,0.00174874126057063,0.0005439858167442035
0.21048465,0.007449686325561967,0.0022634426959120264,0.004837309829322796,0.003334128849476595,0.009140474115591667
0.21602372,0.006327352630378135,0.004927538186698331,0.0020254569420632283,0.00279224494258204,0.0059546148444690064
0.22156279,0.006283381789437755,0.010612589162301357,0.000926151681322986,0.00119368689592431,0.0020192338069570438
0.22710186,0.0037514518913079296,0.0073814009110232445,0.0027099203789051067,0.0025899318823820097,0.0012496872958688225
0.23264093,0.0042460055907450125,0.004906790178177987,0.005044722351126222,0.003049101573237297,0.005769284428140949
0.23818,0.00770472426000506,0.004149248122220722,0.005911781331463157,0.003130774591169683,0.005387874351365709
0.24371907,0.004321445129330499,0.0013692847448643164,0.0013958889107929257,0.000777558704171331,0.006703672514010767
0.24925814,0.004309563756952176,0.004488553535471934,0.0026860644715818002,0.002779215971800709,0.008718242835376663
0.25479721,0.004020980579551597,0.004702030759740233,0.004211047406425937,0.0017087457263234812,0.008634388134564346
0.26033628,0.006905899268439554,0.0034301861631163477,0.002858379640850377,0.0031086429698609745,0.009783108903141123
0.26587535,0.0036751880599824502,0.0041725035299366,0.0018558541226719604,0.003683629077798038,0.008863047616755233
0.27141442,0.001801404436651626,0.004284148764083536,0.0022746724702257977,0.004103754191858127,0.005382666766431481
0.27695349,0.004042632291129635,0.002695590996233805,0.002194204183690135,0.0023079887241829722,0.005969608014283306
0.28249256,0.004807372766509543,0.00210727175356349,0.0014218072973918366,0.0025524106502904805,0.008115830642928742
0.28803163,0.00608344149856665,0.0037147119785482037,0.0010646159241383749,0.0013144043121390387,0.004962028432562286
0.2935707,0.004714807668041287,0.0022016811805155036,0.00036167848594018424,0.0017688182986685286,0.0021536787356942035
0.29910977,0.0022418052390756715,0.0024259288360124727,0.00484134257011379,0.00036579233534753006,0.004731510333124452
0.30464884,0.002461349235170825,0.004989975191210669,0.008602715826016164,0.000678633862598865,0.008519915463478528
0.31018791,0.00573459097420188,0.008010173675204062,0.008859519628237946,0.0007912565063998084,0.008544957110871873
0.31572698,0.0056431801730871135,0.007543564301654265,0.005706651122866824,0.0017671709428779515,0.0011893916259893644
0.32126605,0.010291109904658906,0.0026585016386289967,0.002887804525276331,0.002428459984295769,0.004018832731528239
0.32680511,0.006226652057058067,0.0007473221178958269,0.0037773005891684934,0.0021452171761586914,0.0029567952450057187
0.33234418,0.002455019372697725,0.0011731864600890306,0.006268711697320388,0.0025286932507194502,0.005693119550786328
0.33788325,0.0042444656249633955,0.0015809398480787482,0.00429045455149543,0.003214075860735611,0.006351114802281975
0.34342232,0.004183935736804592,0.0034480320569392265,0.0033005695515808497,0.0010552102623732948,0.004459653351484756
0.34896139,0.004895523201039115,0.002629864799794114,0.005111636358098625,0.000550442519586798,0.0019375647414951857
0.35450046,0.007354340573490558,0.006603189734220918,0.0034401922751547943,0.00031531010824494525,0.0043119294091390715
0.36003953,0.004511939961541161,0.003321785990823344,0.0037809208669414085,0.0022155138233529888,0.0074428629578279365
0.3655786,0.0032829277526934693,0.004248430775086231,0.005511654326640329,0.0017916535356168673,0.009044383701799934
0.37111767,0.00411667445909068,0.0033562314930614167,0.004726246345804953,0.0008950991211882124,0.004091844586517489
0.37665674,0.000991938772983678,0.00183998521199356,0.004237133133967864,0.0005502464991266346,0.002479632050674417
0.38219581,0.005505354778192203,0.000985524364679129,0.00289240882978215,0.00014181546405939423,0.004572163438554725
0.38773488,0.004746586005663237,0.0028157800078821987,0.0025244183186182876,0.0017129207618011612,0.002127962903137051
0.39327395,0.0039091040160457655,0.005002577523858886,0.004103252401682342,0.0030197991495857575,0.0008283770921056092
0.39881302,0.006920927758245973,0.0025974940128888737,0.00526183407377773,0.0033747713941619504,0.0021130221805514596
0.40435209,0.00420178985819901,0.004061555381210361,0.003683847168271914,0.001358079719142224,0.0039769442151601905
0.40989116,0.002592087446146896,0.005651385893459451,0.0025697371057072918,0.0008934282345155586,0.0052453799368879644
0.41543023,0.004316075522992674,0.0007182844328064795,0.003467919410096089,0.0008148564782017777,0.005085271170528616
0.4209693,0.0016306166867949437,0.0024651334255666084,0.0007801415866060111,0.001669275603320073,0.004125863711516492
