Frequency_Hz,experiment,model_scale0p5
0.0,0.0008600237727149799,0.07794986896970928
0.007184632186706,0.0006292805359208859,0.07794986896970928
0.014369264373412,0.00017103574532188875,0.14267058945968938
0.021553896560118,0.0002198169413117129,0.14267058945968938
0.0287385287468241,0.0017759067370934202,0.029556681957273314
0.0359231609335301,0.004635514135329299,0.029556681957273314
0.0431077931202361,0.00726410911498865,0.008441813667038464
0.0502924253069421,0.007626000616479098,0.008441813667038464
0.0574770574936482,0.011558219851067995,0.008441813667038464
0.0646616896803542,0.01100833829111656,0.004983736457206875
0.0718463218670602,0.008032505898463518,0.004983736457206875
0.0790309540537663,0.0053729979308679895,0.00597359638384648
0.0862155862404723,0.005344095253121307,0.00597359638384648
0.0934002184271783,0.00665938793087102,0.005514123616915169
0.1005848506138843,0.0034238492290398744,0.005514123616915169
0.1077694828005904,0.0033776231121227726,0.005514123616915169
0.1149541149872964,0.0034904492683471094,0.0051522417515546945
0.1221387471740024,0.003426639898422912,0.0051522417515546945
0.1293233793607084,0.004972822349621249,0.005226041623358697
0.1365080115474145,0.0057996645930137375,0.005226041623358697
0.1436926437341205,0.0042940690969901,0.006579707633123993
0.1508772759208265,0.0027240484394551044,0.006579707633123993
0.1580619081075326,0.003470028412901415,0.006579707633123993
0.1652465402942386,0.0017683304637748452,0.005652588896825408
0.1724311724809446,0.003889537888103097,0.005652588896825408
0.1796158046676506,0.0035819301307453573,0.002126521574859921
0.1868004368543567,0.0029538480589961537,0.002126521574859921
0.1939850690410627,0.002279960556110268,0.00318393910291684
0.2011697012277687,0.002106106458315705,0.00318393910291684
0.2083543334144748,0.0023659770277378958,0.016530165040078298
0.2155389656011808,0.003262591860965357,0.016530165040078298
0.2227235977878868,0.004566686663176953,0.016530165040078298
0.2299082299745928,0.004521713704390805,0.041263811640542325
0.2370928621612989,0.0026341226095556274,0.041263811640542325
0.2442774943480049,0.0022238565335565884,0.039247107669710256
0.2514621265347109,0.0032111259355439713,0.039247107669710256
0.2586467587214169,0.0034619306972385466,0.01442650656862402
0.265831390908123,0.003414806414601227,0.01442650656862402
0.273016023094829,0.003085383828493435,0.01442650656862402
0.280200655281535,0.0024238698953908937,0.004815276206305558
0.2873852874682411,0.0029001137949188436,0.004815276206305558
0.2945699196549471,0.0029044017910006418,0.005875038064789144
0.3017545518416531,0.0027906195065240105,0.005875038064789144
0.3089391840283592,0.0017819084820733468,0.005832043072586834
0.3161238162150652,0.0033581860136959853,0.005832043072586834
0.3233084484017712,0.0033734084214135,0.005832043072586834
0.3304930805884772,0.003642878912323044,0.007750181649497083
0.3376777127751832,0.002793194361816843,0.007750181649497083
0.3448623449618893,0.002548103237352187,0.008560802444400963
0.3520469771485953,0.0029619402309721066,0.008560802444400963
0.3592316093353013,0.00210649204082336,0.012193600411932726
0.3664162415220074,0.0024485603757653366,0.012193600411932726
0.3736008737087134,0.002014025397929813,0.012193600411932726
0.3807855058954194,0.0021979459743400845,0.030069753831463267
0.3879701380821255,0.0025144132987667024,0.030069753831463267
0.3951547702688315,0.0024631232682319325,0.032043079275168
0.4023394024555375,0.003927037997047101,0.032043079275168
0.4095240346422436,0.004528554845038164,0.013618742870837405
0.4167086668289496,0.0026176824137382065,0.013618742870837405
0.4238932990156556,0.003510502232448055,0.013618742870837405
0.4310779312023616,0.0035203028771904803,0.006322371114908011
0.4382625633890676,0.002161298806721445,0.006322371114908011
0.4454471955757736,0.0022300341105502344,0.00698921124074262
0.4526318277624797,0.0023197636893198034,0.00698921124074262
0.4598164599491857,0.0032358357300433537,0.008039248662748799
0.4670010921358917,0.0050318323262505855,0.008039248662748799
0.4741857243225978,0.0021797709149483364,0.008039248662748799
0.4813703565093038,0.002422643301421826,0.02225651394711227
0.4885549886960098,0.002366406003126901,0.02225651394711227
0.4957396208827159,0.001728363374064877,0.021028746921057568
0.5029242530694219,0.0019605691156528416,0.021028746921057568
0.510108885256128,0.0016557916083222287,0.007864319215041948
0.5172935174428339,0.0018280101058342664,0.007864319215041948
0.52447814962954,0.001984791107127424,0.007864319215041948
