t_s,mean_log_separation
0.0,-2.5966410850551322
0.016689999999996985,-1.4686068032378052
0.03337999999999397,-0.8909496892764664
0.050069999999990955,-0.6141440198314008
0.06675999999998794,-0.5049342465894544
0.08344999999998493,-0.5264540640305417
0.10013999999998191,-0.6778434775701819
0.1168299999999789,-0.986446460816687
0.13351999999997588,-1.3850147362515697
0.15020999999997287,-1.2653206156438794
0.16689999999996985,-0.9573264329998887
0.18358999999996684,-0.6872384127120035
0.20027999999996382,-0.5323614391887276
0.2169699999999608,-0.49307684455974427
0.2336599999999578,-0.5644087820609246
0.2503499999999548,-0.748913376632543
0.26703999999995176,-0.9921317335634993
0.28372999999994875,-1.0308590162596905
0.30041999999994573,-0.9417315004159675
0.3171099999999427,-0.7830072549850119
0.3337999999999397,-0.6109922948235874
0.3504899999999367,-0.5215428266624947
0.36717999999993367,-0.5325521240161983
0.38386999999993066,-0.6517642738028112
0.40055999999992764,-0.8651724035650186
0.4172499999999246,-1.0111785351410194
0.4339399999999216,-1.0024727236371391
0.4506299999999186,-1.0040800945634871
0.4673199999999156,-0.8767913308052404
0.48400999999991257,-0.7036104260973088
0.5006999999999096,-0.6452334161970956
0.5173899999999065,-0.7032140443311308
0.5340799999999035,-0.8564645867295922
0.5507699999999005,-0.9436531942991802
0.5674599999998975,-0.8703912991430088
0.5841499999998945,-0.8319535442366262
0.6008399999998915,-0.8802417189362853
0.6175299999998884,-0.8898204090544829
0.6342199999998854,-0.8010212695754031
0.6509099999998824,-0.7956696349879588
0.6675999999998794,-0.8753123395135367
0.6842899999998764,-0.8979535017666096
0.7009799999998734,-0.7558162568039613
0.7176699999998704,-0.6459877020704434
0.7343599999998673,-0.6305242199922673
0.7510499999998643,-0.6986289410506814
0.7677399999998613,-0.7749833201259626
0.7844299999998583,-0.8036578495651052
0.8011199999998553,-0.8565579777463028
0.8178099999998523,-0.8784821807786992
0.8344999999998493,-0.7617707439112318
0.8511899999998462,-0.6247296394328379
0.8678799999998432,-0.5737008089879179
0.8845699999998402,-0.624454066735442
0.9012599999998372,-0.7741417265074227
0.9179499999998342,-0.9432078198405265
0.9346399999998312,-1.0150775437652486
0.9513299999998281,-1.0262606350376695
0.9680199999998251,-0.8584209259232692
0.9847099999998221,-0.651560519951632
1.001399999999819,-0.5390630978943923
1.018089999999816,-0.5353479932664245
1.034779999999813,-0.6516354274368031
1.05146999999981,-0.9213749248194211
1.068159999999807,-1.335223852968638
1.084849999999804,-1.4054678544562724
1.101539999999801,-1.1021582036671214
1.118229999999798,-0.7605022052781976
1.134919999999795,-0.5512934228697413
1.151609999999792,-0.4712853197410742
1.168299999999789,-0.5069477218628463
1.184989999999786,-0.6583770147204772
1.201679999999783,-0.9242200839563351
1.21836999999978,-1.188085327806301
1.235059999999777,-1.143561333401702
1.2517499999997739,-0.8600777148614513
1.2684399999997709,-0.6163210942147571
1.2851299999997678,-0.48347523853499885
1.3018199999997648,-0.45714757398422745
1.3185099999997618,-0.5367483126410474
1.3351999999997588,-0.7201600092717159
1.3518899999997558,-0.9717281088398823
1.3685799999997528,-1.1078492360013512
1.3852699999997498,-0.9788451362017973
1.4019599999997467,-0.7337892354157485
1.4186499999997437,-0.5540448784460614
1.4353399999997407,-0.4771796034156833
1.4520299999997377,-0.505097814426363
1.4687199999997347,-0.6446663210219806
1.4854099999997317,-0.9079257671608646
1.5020999999997287,-1.2037310975347981
1.5187899999997256,-1.2926910368173739
1.5354799999997226,-1.0884202321616472
1.5521699999997196,-0.7684346967521732
1.5688599999997166,-0.5903289525823576
1.5855499999997136,-0.5437885563260316
1.6022399999997106,-0.616503918693015
1.6189299999997075,-0.7989633765020544
1.6356199999997045,-1.0069605120646965
1.6523099999997015,-1.0543245353266635
1.6689999999996985,-1.0224314191531507
1.6856899999996955,-0.932834896216352
1.7023799999996925,-0.7298515347535806
1.7190699999996895,-0.6185625158079953
1.7357599999996864,-0.6185621399935084
1.7524499999996834,-0.7182356257587219
1.7691399999996804,-0.8423008157421839
1.7858299999996774,-0.8339873333781819
1.8025199999996744,-0.7581955186936199
1.8192099999996714,-0.7285648089689978
1.8358999999996684,-0.7232682773205378
1.8525899999996653,-0.6640405749195151
1.8692799999996623,-0.6400653013819015
1.8859699999996593,-0.691134124716365
1.9026599999996563,-0.7891004209601048
1.9193499999996533,-0.8058614033631865
1.9360399999996503,-0.7301007853985414
1.9527299999996472,-0.6942703629038877
1.9694199999996442,-0.73866606257688
1.9861099999996412,-0.8201177829808685
2.002799999999638,-0.8012724513171038
2.019489999999635,-0.8124210322407133
2.036179999999632,-0.8910874328040748
2.052869999999629,-0.8790241059486336
2.069559999999626,-0.7415541398127832
2.086249999999623,-0.6467585131935732
2.10293999999962,-0.6518268528133864
2.119629999999617,-0.780995750736278
2.136319999999614,-1.0256111900256897
2.153009999999611,-1.0972432581163132
2.169699999999608,-1.0984154124420107
2.186389999999605,-1.0155607269535265
2.203079999999602,-0.7774730275187824
2.219769999999599,-0.5951285424678172
2.236459999999596,-0.5221837992523194
2.253149999999593,-0.5636603445188926
2.26983999999959,-0.7206876927417002
2.286529999999587,-0.9646446080411766
2.303219999999584,-1.1031096015444453
2.319909999999581,-1.0638682337547167
2.336599999999578,-0.8418792616666111
2.353289999999575,-0.6205925180256797
2.369979999999572,-0.4970403646361018
2.386669999999569,-0.48125799582519674
2.403359999999566,-0.5708985280610586
2.420049999999563,-0.7656175422405825
2.43673999999956,-1.0148840552784688
2.453429999999557,-1.1405719058268642
2.470119999999554,-0.9927616522465631
2.4868099999995508,-0.7286383627619955
2.5034999999995478,-0.5462506822532287
2.5201899999995447,-0.474880498967404
2.5368799999995417,-0.5153637392511409
2.5535699999995387,-0.6749261634956081
2.5702599999995357,-0.9871163525168982
2.5869499999995327,-1.4477698511318853
2.6036399999995297,-1.5201845748176903
2.6203299999995266,-1.0361180448657896
2.6370199999995236,-0.702268969743314
2.6537099999995206,-0.5336251168483711
2.6703999999995176,-0.4973590531440359
2.6870899999995146,-0.5847562611147968
2.7037799999995116,-0.8051353415307934
2.7204699999995086,-1.1579640417699961
2.7371599999995055,-1.3666385163062158
2.7538499999995025,-1.2193647992991383
2.7705399999994995,-0.8688102164658893
2.7872299999994965,-0.6327867371117666
2.8039199999994935,-0.5295078468657898
2.8206099999994905,-0.5421486699830549
2.8372999999994875,-0.6668162120708342
2.8539899999994844,-0.8800969431373689
2.8706799999994814,-0.9915810240282087
2.8873699999994784,-0.9372587923104717
2.9040599999994754,-0.8399508369010044
2.9207499999994724,-0.6976461840860441
2.9374399999994694,-0.5856912266507301
2.9541299999994663,-0.5603138857682722
2.9708199999994633,-0.6295366604314042
2.9875099999994603,-0.7855917813846451
3.0041999999994573,-0.9236002097172552
3.0208899999994543,-0.9171128478288095
3.0375799999994513,-0.887267894838834
3.0542699999994483,-0.8708153607525725
3.0709599999994452,-0.7605235261156087
3.0876499999994422,-0.6704973595473713
3.104339999999439,-0.6829486200119379
3.121029999999436,-0.8002906669880772
3.137719999999433,-0.9343263034016479
3.15440999999943,-0.8854029724798165
3.171099999999427,-0.8162069278070158
3.187789999999424,-0.839040018187689
3.204479999999421,-0.9466658567756452
3.221169999999418,-0.9181891482734288
3.237859999999415,-0.8547114579997512
3.254549999999412,-0.8917882579661993
3.271239999999409,-0.9618041361697743
3.287929999999406,-0.8452167956961717
3.304619999999403,-0.6906068409684022
3.3213099999994,-0.6247472823739464
3.337999999999397,-0.664373544803421
3.354689999999394,-0.7895770242979199
3.371379999999391,-0.8798938098012379
3.388069999999388,-0.9220385704594256
3.404759999999385,-0.9572631261328
3.421449999999382,-0.8460613390424547
3.438139999999379,-0.668918387494499
3.454829999999376,-0.5604617951118975
3.471519999999373,-0.5516344106969878
3.48820999999937,-0.6398411075525222
3.504899999999367,-0.8083390952246846
3.521589999999364,-0.9530390293893388
3.538279999999361,-1.0397579014964404
3.554969999999358,-0.9699417622588473
3.571659999999355,-0.7452008603755276
3.588349999999352,-0.5777844879198104
3.6050399999993488,-0.518042027266041
3.6217299999993458,-0.5709934648714204
3.6384199999993427,-0.751799568336455
3.6551099999993397,-1.1006495361933644
3.6717999999993367,-1.4946664012530064
3.6884899999993337,-1.3596633408343586
3.7051799999993307,-0.9555315746554081
3.7218699999993277,-0.6634275948197218
3.7385599999993246,-0.5153416507397606
3.7552499999993216,-0.4923030413650047
3.7719399999993186,-0.5947328098272188
3.7886299999993156,-0.842086946136712
3.8053199999993126,-1.2640166555111965
3.8220099999993096,-1.5006186665212669
3.8386999999993066,-1.1501400688913013
3.8553899999993035,-0.7859266169791295
3.8720799999993005,-0.5687749187432305
3.8887699999992975,-0.48025525143779774
3.9054599999992945,-0.5036799390003973
3.9221499999992915,-0.6390339599518107
3.9388399999992885,-0.8831965344475399
