window_start_s,window_center_s,window_end_s,bob1_lambda_s_inv,bob1_tau_s,bob2_lambda_s_inv,bob2_tau_s,bob3_lambda_s_inv,bob3_tau_s,bob4_lambda_s_inv,bob4_tau_s,bob5_lambda_s_inv,bob5_tau_s
0.0,15.0,30.0,-0.27586651070416385,0.11683000000000376,-0.2449966484030685,0.1335200000000043,0.009907489616228915,0.1335200000000043,-0.24932143159576792,0.1335200000000043,-0.28176320300273483,0.11683000000000376
5.0,20.0,35.0,-0.2785224473581266,0.11683000000000376,-0.23702236218614053,0.1335200000000043,0.03746922050164637,0.1335200000000043,-0.2326908635552271,0.1335200000000043,-0.27851165795560523,0.11683000000000376
10.0,25.0,40.0,-0.27920276723698173,0.11683000000000376,-0.2346998967419525,0.1335200000000043,0.009864162094406645,0.1335200000000043,-0.2197666048483214,0.1335200000000043,-0.28325831358248627,0.11683000000000376
15.0,30.0,45.0,-0.2906677740219691,0.11683000000000376,-0.2262404206210325,0.1335200000000043,0.023780917446681708,0.1335200000000043,-0.21526783406064345,0.1335200000000043,-0.2920573934273067,0.11683000000000376
20.0,35.0,50.0,-0.2805736949868665,0.11683000000000376,-0.22066672061183554,0.1335200000000043,0.011107838891245642,0.1335200000000043,-0.20973697887473733,0.1335200000000043,-0.29255694163023893,0.11683000000000376
25.0,40.0,55.0,-0.2617474011197103,0.11683000000000376,-0.22084332842472787,0.1335200000000043,0.012768272937074231,0.1335200000000043,-0.20856006785981168,0.1335200000000043,-0.30841933319573966,0.11683000000000376
30.0,45.0,60.0,-0.26716035828171086,0.1168299999999789,-0.21354799944467864,0.13351999999997588,0.01681487841275616,0.13351999999997588,-0.20585985297477927,0.13351999999997588,-0.2973792858422976,0.1168299999999789
35.0,50.0,65.0,-0.2514426202758064,0.1168299999999789,-0.21187121915113347,0.13351999999997588,0.003907086577369858,0.13351999999997588,-0.19874635961956988,0.13351999999997588,-0.2983721983651007,0.1168299999999789
40.0,55.0,70.0,-0.24002072074233285,0.1168299999999789,-0.20413377728264176,0.13351999999997588,0.02061930105035972,0.1168299999999789,-0.20730147939142907,0.13351999999997588,-0.2754227920784862,0.1168299999999789
45.0,60.0,75.0,-0.25895647351665274,0.1168299999999789,-0.19085806227929966,0.13351999999997588,0.005273472940025704,0.1168299999999789,-0.20157014754666797,0.13351999999997588,-0.2566426777455171,0.1168299999999789
