bob,lambda_mean_s_inv,lambda_median_s_inv,lambda_max_s_inv,positive_window_fraction
bob1,-0.25182486186284697,-0.2535800617366977,-0.20108696706955842,0.0
bob2,-0.21998690216666192,-0.21892898474035857,-0.1807805256984383,0.0
bob3,-0.005535351361113772,-0.006289694215592079,0.03746922050164637,0.3870967741935484
bob4,-0.2182457997047759,-0.21608853359764268,-0.16685638599588723,0.0
bob5,-0.26577331483985306,-0.26409298286949495,-0.21958655665665724,0.0
