dataset,poincare_point_count,poincare_csv,bob1_section_spread,bob2_section_spread,bob5_section_spread
3 cm,259,C:\Users\66\Desktop\cupt\IYPT2026_Research\15_Magnetic_Newtons_cradle\handoff_for_next_window\04_data_outputs\phase_poincare_analysis\poincare_3cm.csv,3.517816944968958,4.234960480056897,4.215052590121257
5 cm,277,C:\Users\66\Desktop\cupt\IYPT2026_Research\15_Magnetic_Newtons_cradle\handoff_for_next_window\04_data_outputs\phase_poincare_analysis\poincare_5cm.csv,3.940849305986667,4.905584232772217,3.832221569887022
