t_s,bob1_x,bob2_x,bob3_x,bob4_x,bob5_x,bob1_v,bob2_v,bob3_v,bob4_v,bob5_v
0.16458589830266354,0.8277746526568037,0.6973084376101046,0.0,-0.5442671639394874,-0.5488237684866787,5.680151377338515,16.356617279308196,19.486267041445753,10.256461300499696,1.9986778359579742
0.841008353986432,-0.994470393770491,-0.5006402345860694,0.0,0.21163524396414707,0.27086807026247167,1.1812094419584116,8.569950117907338,18.434833103236198,15.565553946835848,7.609667438047902
1.6175441853856822,0.8395700567791591,0.3776776900306026,0.0,0.01130095777653442,-0.04512703796208917,0.9747782185249787,4.862443350593042,6.541420184761769,14.059567107306929,17.82881053245562
2.316628797431465,-0.15444408541401722,-0.2937094458364714,0.0,0.45813421425524126,0.5812498588583643,9.064748604525338,23.65464097631212,15.780368291956142,5.83482377614815,-3.952013841514053
2.997169719824852,-0.009504627525852297,0.2557668910354969,0.0,-0.43741989643225354,-0.7780485408181791,-3.2666845642894144,9.332711404026348,12.664985754623775,14.194330659263626,16.880191673057666
3.7582855570244167,0.39258561937997766,0.3043463207621697,0.0,-0.12850709447871422,0.006560564900730034,19.401911323943782,8.83412123798855,7.91653973343356,4.97330594999326,-0.022382353665438393
4.456331918434329,-0.27498290508219225,-0.5368139894861904,0.0,0.34887845168571846,0.3442208905282842,-4.9293819666556,9.120484925459902,17.088893804708942,18.869501017718374,10.487214338319484
5.141221806484892,-0.010512774089171447,-0.19104890346956888,0.0,-0.31564469640207926,-0.8258836925836187,11.183206059926945,17.464508074928265,14.287942952744626,4.508029014965031,-4.110738257343139
5.930462810744094,-0.15539026712085932,-0.12595235767647234,0.0,0.5973883893876772,1.164924201535061,9.31851170727585,7.667252568864347,14.377120865998743,8.90017856005222,1.8498342491548778
6.610080263286962,0.600904819459181,0.41539016472281987,0.0,-0.4275574294952168,-0.7105471497548045,1.227308943372151,5.963748198923336,20.33882823141533,16.866309820491605,4.855169395488604
7.2934831870322645,-0.96187506159901,-0.7206933580525046,0.0,0.3492925580794626,0.13928467366768654,6.875574429272698,6.911902035951535,14.520787023813009,8.674543535278877,2.9567852806758035
8.085480131761349,0.29826418634758567,0.2824145672614097,0.0,0.278527629135111,0.5879054250192917,-4.423425623186449,4.211201272595784,14.879059298389341,16.54619160620793,12.355318724669969
8.766362099369848,-0.014319102692912776,0.17934144434551835,0.0,0.011917397655990196,0.03763748236107312,10.121623186439729,19.34120233229193,15.810773695053854,7.910822219629592,-8.202168363259036
9.461774273176125,-0.38214981470592213,-0.11147457514755486,0.0,0.07322323212818385,-0.16173930501767697,0.6582055119222879,-1.9106799463064466,9.125086008607031,12.918207754599216,18.47484976173253
10.222308984966158,0.8522034870549897,0.43676068270893625,0.0,-0.36184023275512645,-0.3248751605004763,8.26203886547024,14.715808011097694,9.663225168238808,6.965658737762625,2.7343954805008166
10.900384264029812,-0.637523559344476,-0.5128352794816428,0.0,0.2097118470181345,0.398360640275192,-2.8375857898722816,12.956522992881132,13.46841776720578,14.430983860005483,6.336593614713855
11.590446231511349,0.10687472975221919,0.2026284079619323,0.0,-0.6337296105372147,-1.0543919596358342,7.822594483562037,14.996350532765696,5.38392158503256,4.508813265281426,2.6305579608591163
12.383776992675472,-0.026721086419521284,-0.3384904896190343,0.0,0.33043184766022055,0.6228083534412935,10.177398780163967,12.319305966218058,16.51357740076227,3.9717865512754997,-2.9840510980135933
13.058449999913408,0.16225848241593002,-0.026059312690091437,0.0,-0.4176303675233518,-0.7452111275102946,-4.097301227000551,7.096596885538253,15.461855421023607,13.98717737966722,10.684926334784189
13.756957482759905,-0.7047508051246667,-0.6179216966830966,0.0,-0.052987225991709144,-0.16819412273857512,11.41069080488422,13.14050617033664,6.768107875048133,-0.33384018624575595,1.218814035985289
14.537854639145065,-0.16407176860382228,-0.29209431926211815,0.0,0.476706547809805,0.5813822800880089,-2.5715577583115534,3.606377409442585,19.110798083649968,13.26525757837734,7.649429435446717
15.221658478502315,0.1661670896865978,0.1695637974397085,0.0,-0.22232083828273366,-0.6732831601461005,8.697033775591246,12.433218672744335,16.93373368624417,4.719861766410243,-4.009778531669971
15.94522473411068,-0.5293647247660438,-0.5553324399559383,0.0,0.14108525158587623,0.6011723144335396,5.435966074743199,5.572769768481013,2.8503770021556813,7.082919588549963,11.610344217522432
16.693052270555192,0.5751537991600119,0.479732841104774,0.0,-0.19369025191496578,-0.4303164817454076,-1.5917684701232813,6.384111980310367,14.716848818664918,16.270755277862502,5.6611396452562195
17.374495011143704,-0.7547333339147247,-0.3268840004434098,0.0,0.42252126437331766,0.20501556020009234,6.008738470637022,11.146407403891214,11.029695472281608,9.720848513632438,-0.1955577103917356
18.137761899906554,0.34744680602491795,0.09602956942189012,0.0,-0.04590062190848379,0.39926406096515366,-1.4559825692848292,3.0245511085863006,5.222024302993972,12.597198108131554,14.742604029030465
18.83443275401614,0.12453554823424717,0.011721972793002466,0.0,-0.1496211113733125,0.1468403689708471,8.439451154294453,17.913837143630793,12.944551274799007,5.008682580348352,-5.564259301496334
19.50995499198992,-0.3251540351342707,-0.12901340088990548,0.0,-0.22082520486736806,-0.38034103503299344,-3.7670708203312135,4.656187322849851,7.372798233777537,16.756180123010555,12.01667993773418
20.29813139439144,0.862996591011408,0.45175240493146207,0.0,-0.21694532293904312,-0.1945583099307433,7.190169594478374,7.476865004278464,9.670793223569904,2.401862986726467,5.107689483010453
20.978821607626042,-0.4140561635374499,-0.471678231835019,0.0,0.3040823776570606,0.5665154930737846,-0.9902202712949336,9.515246340059935,17.43139876834095,7.874273381683222,4.759495043741178
21.660902571828363,0.19052688191781803,0.22399249397417442,0.0,-0.5520321601846543,-0.9241327158495749,5.288517387756449,10.794362364634697,12.671993902968126,3.1585027094106684,1.9899180841186097
22.456546271535643,0.16730788317435658,0.008853481414753589,-1.3877787807814457e-17,0.5246892175202301,0.6124547587037993,10.92691724794353,10.30676906319548,9.570408450624718,3.5597572253835246,-2.2090636837502737
23.129501432362556,0.29348828190012066,0.15945980674490784,0.0,-0.08469110896683935,-0.39787236375717555,-4.314866955134519,5.418067084203549,16.366984296612078,12.681242303735708,8.966293917357959
23.81933446804916,-0.5562006121040869,-0.32528919591173183,3.469446951953614e-18,0.24034508477566022,-0.06960043261820018,8.780106713311167,12.167083918627709,11.181133056553106,0.23319375741439236,-0.94287571449051
24.609675752407725,-0.015220205226574982,-0.08465431679510722,0.0,0.5730838113062354,0.8131529936223172,-0.7706666029794929,3.4713994084933173,9.731403000221475,14.851214072308727,5.764145942019074
25.28259533665259,0.3165517008595922,0.24242839100187397,0.0,-0.1995098316471136,-0.3567995601338848,7.3763616884119,13.130090816003584,11.502622043990492,10.083600452965225,-5.896391057016503
25.983165688501842,-0.572682770427414,-0.35376826874056844,0.0,0.3909349376950684,0.17371533740055192,1.9164763071784559,4.39023324330489,5.461935832948644,6.5230687507639615,12.403484961193255
