t_s,experiment_z
0.0,-5.565964985685917
0.008330000000000837,-5.515917646376217
0.016660000000001673,-5.430699178399984
0.02499000000000251,-5.291215064385875
0.03332000000000335,-5.104224152118687
0.041650000000004184,-4.9001502223958395
0.04998000000000502,-4.63153065058317
0.05831000000000586,-4.320001197530944
0.0666400000000067,-4.005584340908731
0.07497000000000753,-3.6161896340256203
0.08330000000000837,-3.188944347095813
0.0916300000000092,-2.778242174094351
0.09996000000001004,-2.2943127890918955
0.10829000000001088,-1.7822419251918442
0.11662000000001171,-1.3124204073331731
0.12495000000001255,-0.7722502949301382
0.1332800000000134,-0.22691910462989157
0.14161000000001422,0.25622106222129637
0.14994000000001506,0.7846096724612522
0.1582700000000159,1.2876742558314338
0.16660000000001673,1.7090272618267486
0.17493000000001757,2.1383607825618527
0.1832600000000184,2.5149593632818963
0.19159000000001924,2.8015780796586234
0.19992000000002008,3.0689362244958294
0.20825000000002092,3.276474181324403
0.21658000000002176,3.414225356446211
0.2249100000000226,3.523380631323541
0.23324000000002343,3.58504185941846
0.24157000000002427,3.604452502223184
0.2499000000000251,3.5946153463097534
0.25823000000002594,3.551536162906963
0.2665600000000268,3.4903424625619155
0.2748900000000276,3.4023515487276574
0.28322000000002845,3.2937333167921183
0.2915500000000293,3.1829510402167904
0.2998800000000301,3.0457185654758097
0.30821000000003096,2.8958283376018166
0.3165400000000318,2.7513013893683453
0.32487000000003263,2.5846411853437936
0.33320000000003347,2.4057574014398506
0.3415300000000343,2.2417004928481745
0.34986000000003514,2.0544239305829937
0.358190000000036,1.8603786346649445
0.3665200000000368,1.6876055360592832
0.37485000000003765,1.495084786897651
0.3831800000000385,1.3014058147847527
0.3915100000000393,1.1303229981912797
0.39984000000004016,0.9414631350145981
0.408170000000041,0.7550422810647444
0.41650000000004184,0.5805381525919341
0.4248300000000427,0.40234941265057594
0.4331600000000435,0.2375308019464062
0.44149000000004435,0.10532459779534913
0.4498200000000452,-0.03469579850096504
0.458150000000046,-0.16628136643719613
0.46648000000004686,-0.2768600359075281
0.4748100000000477,-0.3964243244211425
0.48314000000004853,-0.5123020301578991
0.49147000000004937,-0.6131666407504611
0.4998000000000502,-0.7254938949747672
0.508130000000051,-0.8385928747699632
0.5164600000000519,-0.9413717934650774
0.5247900000000527,-1.036603911960838
0.5331200000000536,-1.119855320680673
0.5414500000000544,-1.1859570318431216
0.5497800000000552,-1.2518801074008312
0.5581100000000561,-1.3076500830178064
0.5664400000000569,-1.3487844132915214
0.5747700000000577,-1.3856965975682274
0.5831000000000586,-1.4126288929146968
0.5914300000000594,-1.4277165017568452
0.5997600000000602,-1.4374538581635858
0.6080900000000611,-1.4362953559208975
0.6164200000000619,-1.428655724623586
0.6247500000000628,-1.4142446098455512
0.6330800000000636,-1.3913363256901
0.6414100000000644,-1.3646147741998744
0.6497400000000653,-1.3277220614913978
0.6580700000000661,-1.283576485990201
0.6664000000000669,-1.2370195124186691
0.6747300000000678,-1.178747792062718
0.6830600000000686,-1.1138165227284613
0.6913900000000694,-1.0505399592087026
0.6997200000000703,-0.9768755202359464
0.7080500000000711,-0.8975644782745759
0.716380000000072,-0.8255513718403684
0.7247100000000728,-0.7427256034787706
0.7330400000000736,-0.6542687739723219
0.7413700000000745,-0.5732951105487373
0.7497000000000753,-0.4818851858062069
0.7580300000000761,-0.3883041017983415
0.766360000000077,-0.3029519874634399
0.7746900000000778,-0.20610085094631456
0.7830200000000787,-0.10785640006739954
0.7913500000000795,-0.02077327388850459
0.7996800000000803,0.07359987248268919
0.8080100000000812,0.1691048721665825
0.816340000000082,0.2530925251205819
0.8246700000000828,0.34674681708526445
0.8330000000000837,0.44184899825130747
0.8413300000000845,0.5237390588596312
0.8496600000000853,0.6164325194131417
0.8579900000000862,0.7090820294078535
0.866320000000087,0.7911883546866755
0.8746500000000879,0.8817803010074969
0.8829800000000887,0.9705377919472917
0.8913100000000895,1.0460038777585376
0.8996400000000904,1.1263672170949972
0.9079700000000912,1.2031423563664794
0.916300000000092,1.2649246646662495
0.9246300000000929,1.3252850380483798
0.9329600000000937,1.3739166330003343
0.9412900000000946,1.4027877127819481
0.9496200000000954,1.422512593912044
0.9579500000000962,1.4201844791358567
0.9662800000000971,1.3976572498219766
0.9746100000000979,1.3481911669292281
0.9829400000000987,1.2722966447228188
0.9912700000000996,1.1791042823211633
0.9996000000001004,1.054187933041216
1.0079300000001012,0.904556123302226
1.016260000000102,0.7535754918754147
1.024590000000103,0.5707002364700468
1.0329200000001038,0.37515288419836007
1.0412500000001046,0.1951775606225129
1.0495800000001054,-0.007347187029345191
1.0579100000001063,-0.20996471373238892
1.066240000000107,-0.38432831982528887
1.074570000000108,-0.5719313241849299
1.0829000000001088,-0.7484660301517778
1.0912300000001096,-0.8931077224705365
1.0995600000001104,-1.034980960761675
1.1078900000001113,-1.1583174494217743
1.1162200000001121,-1.246985873462781
1.124550000000113,-1.32416353678643
1.1328800000001138,-1.3763387696573552
1.1412100000001146,-1.4026593583656712
1.1495400000001155,-1.4072341447050658
1.1578700000001163,-1.38253297584089
1.1662000000001171,-1.3371746188753144
1.174530000000118,-1.2628689665027544
1.1828600000001188,-1.1602271426340989
1.1911900000001197,-1.0455463089103325
1.1995200000001205,-0.8955314850673156
1.2078500000001213,-0.7209602012987851
1.2161800000001222,-0.5451067321366593
1.224510000000123,-0.3325805316687733
1.2328400000001238,-0.10015832267704598
1.2411700000001247,0.11946492836851183
1.2495000000001255,0.37798583745967024
1.2578300000001263,0.6482494700051361
1.2661600000001272,0.8928298128992993
1.274490000000128,1.1664565990967624
1.2828200000001289,1.4366915935989424
1.2911500000001297,1.6671968127463297
1.2994800000001305,1.9033126391672557
1.3078100000001314,2.110306972031766
1.3161400000001322,2.2625669882248447
1.324470000000133,2.389208937679329
1.3328000000001339,2.463358519829468
1.3411300000001347,2.4736666076488865
1.3494600000001356,2.4281383711472984
1.3577900000001364,2.3184663098375107
1.3661200000001372,2.1649895497612355
1.374450000000138,1.947496918692571
1.382780000000139,1.6793834334808944
1.3911100000001397,1.4052528593653393
1.3994400000001406,1.073641986189842
1.4077700000001414,0.716593913289521
1.4161000000001422,0.3905521941579735
1.424430000000143,0.021843172485050775
1.432760000000144,-0.3529564426777218
1.4410900000001448,-0.6826178754004929
1.4494200000001456,-1.0393729063004953
1.4577500000001464,-1.389298568124653
1.4660800000001473,-1.688989133337682
1.474410000000148,-2.005894254207783
1.482740000000149,-2.303924023484383
