source,rank,frequency_Hz,amplitude,prominence
experiment,1,1.846560984939637,0.7331661689213336,0.7331530540710752
experiment,2,1.3867170042542798,0.45358516196761517,0.45355916374776567
experiment,3,2.543512018165881,0.3796465344572516,0.3795571042630821
experiment,4,3.369794170959882,0.11033844215172958,0.11031176018001393
experiment,5,0.6969510332262443,0.027411913338609678,0.027178446279470206
theory_model,1,1.9000007600002724,1.0226604798032535,1.0223778532273216
theory_model,2,1.4333339066668722,0.4896217385179476,0.48870870519322324
theory_model,3,2.53333434666703,0.29069654679370893,0.289509994707318
theory_model,4,0.6333335866667575,0.13002206447087808,0.12914757250578313
theory_model,5,3.300001320000473,0.0792557896934829,0.07891644807073328
theory_model,6,0.783333646666779,0.06477136965376792,0.06127343179637454
theory_model,7,2.283334246666994,0.05187741214178898,0.050532192605548996
theory_model,8,4.433335106667302,0.0500185545270018,0.049779297687736625
