frequency_Hz,theory_amplitude
0.0,0.10161364581688896
0.016666673333335724,0.0881254320652666
0.03333334666667145,0.02906064820329271
0.05000002000000717,0.004260741616795864
0.0666666933333429,0.0035966376213383043
0.08333336666667862,0.0029045117265824936
0.10000004000001433,0.0023895307047075943
0.11666671333335006,0.0013950475643081232
0.1333333866666858,0.0009294237359718599
0.1500000600000215,0.003411022675927771
0.16666673333335724,0.004074913288532814
0.18333340666669296,0.0013939525996388552
0.20000008000002867,0.0009610944698968536
0.2166667533333644,0.007587988405826563
0.23333342666670012,0.022238538039528997
0.25000010000003586,0.021385201657218657
0.2666667733333716,0.00667450522512726
0.2833334466667073,0.002260025617238267
0.300000120000043,0.00507506046432721
0.31666679333337877,0.003820479948250542
0.3333334666667145,0.005526845417827275
0.3500001400000502,0.006817529653459728
0.3666668133333859,0.007849467986801487
0.3833334866667216,0.02112391702721263
0.40000016000005734,0.0182573727116867
0.4166668333333931,0.0059302704156357616
0.4333335066667288,0.0017634401657410685
0.45000018000006453,0.0030692483889682813
0.46666685333340024,0.005251504179391275
0.48333352666673596,0.007674310134356887
0.5000002000000717,0.00654528827620158
0.5166668733334074,0.0008744919650949649
0.5333335466667432,0.003116710335736903
0.5500002200000789,0.0037812282821662454
0.5666668933334146,0.0030027012191193247
0.5833335666667503,0.004337999265386297
0.600000240000086,0.017840951959517872
0.6166669133334217,0.07322085673634893
0.6333335866667575,0.13002206447087808
0.6500002600000933,0.0814200817746668
0.666666933333429,0.05025692002747019
0.6833336066667647,0.020512481821517357
0.7000002800001004,0.012038194324063223
0.7166669533334361,0.009378119561282377
0.7333336266667718,0.0034979378573933846
0.7500003000001075,0.01724467629072322
0.7666669733334432,0.06150109662543593
0.783333646666779,0.06477136965376792
0.8000003200001147,0.017103099682277908
0.8166669933334505,0.008985401533492818
0.8333336666667862,0.003296489319823823
0.8500003400001219,0.003472815309758244
0.8666670133334576,0.020892312354111618
0.8833336866667933,0.046548116465728144
0.9000003600001291,0.02650501560823048
0.9166670333334648,0.005901965261030719
0.9333337066668005,0.0009653556854811775
0.9500003800001362,0.0031282416525025124
0.9666670533334719,0.004459023384356186
0.9833337266668077,0.002242437987155626
1.0000004000001435,0.016130671728667428
1.016667073333479,0.02697928514716079
1.0333337466668149,0.016155651766263462
1.0500004200001505,0.002895956373545848
1.0666670933334863,0.00028262657593193307
1.0833337666668221,0.001292870202556698
1.1000004400001577,0.006511994456530468
1.1166671133334936,0.02149552480046667
1.1333337866668292,0.018522464748046204
1.150000460000165,0.008596208622499941
1.1666671333335006,0.0013439763096049389
1.1833338066668364,0.0044326236840463475
1.200000480000172,0.0035562898995501672
1.2166671533335078,0.0031620226449078624
1.2333338266668434,0.00556644504183105
1.2500005000001793,0.014913923476014366
1.266667173333515,0.018274124916591923
1.2833338466668507,0.003745003256606362
1.3000005200001865,0.005223015792530117
1.3166671933335221,0.009430913662376104
1.333333866666858,0.00939853241355848
1.3500005400001935,0.005100034568170858
1.3666672133335294,0.017909013786880184
1.383333886666865,0.027326606664110974
1.4000005600002008,0.08862560389001163
1.4166672333335364,0.25745338746408925
1.4333339066668722,0.4896217385179476
1.450000580000208,0.3197091395270702
1.4666672533335436,0.05000701724682501
1.4833339266668795,0.007841936679244045
1.500000600000215,0.013247426907186638
1.516667273333551,0.011108381958364826
1.5333339466668865,0.013706273929479354
1.5500006200002223,0.005828596228090796
1.566667293333558,0.008157591604105
1.5833339666668937,0.003548732776759477
1.6000006400002293,0.0020006843948359057
1.6166673133335652,0.007703152034259835
1.633333986666901,0.007929616332968214
1.6500006600002366,0.02378933208921098
1.6666673333335724,0.029984408212688912
1.683334006666908,0.008446319509920076
1.7000006800002438,0.0032342248017932953
1.7166673533335794,0.0009130333247243802
1.7333340266669153,0.005104826740080011
1.7500007000002509,0.005718835961402835
1.7666673733335867,0.0020908673119632943
