experiment_peak_Hz,experiment_rel_amp,model_3cm_scale0p5_highres_nearest_Hz,model_3cm_scale0p5_highres_error_Hz,model_3cm_scale0p5_highres_rel_amp,model_3cm_physical_preset_nearest_Hz,model_3cm_physical_preset_error_Hz,model_3cm_physical_preset_rel_amp
1.39584558,1.0,1.41666667,0.020821089999999876,0.7804769134556457,1.4,0.004154419999999881,1.0
2.18793255,0.4677960184548457,2.36666667,0.17873411999999966,1.0,2.2,0.01206744999999998,0.9973597526105448
3.27359022,0.2515763447093229,3.5,0.22640978,0.2041491044657979,3.4,0.12640977999999992,0.6162511717940414
4.54757626,0.0762473182749477,4.88333333,0.33575707000000055,0.1450072085079151,4.6,0.05242374000000005,0.1671175679144757
5.9323437,0.0520342367071754,5.91666667,-0.01567702999999998,0.1101049139951271,5.8,-0.13234369999999984,0.2073893561202288
