source,rank,frequency_Hz,amplitude,prominence
experiment,1,1.3867170042542798,0.6342631197859829,0.6341670097116664
experiment,2,1.846560984939637,0.5112592579988748,0.5111848094573456
experiment,3,2.543512018165881,0.29298242650620543,0.29289434767063893
experiment,4,3.369794170959882,0.28081385401594106,0.2807049930834541
experiment,5,4.2463717591413435,0.075614275499308,0.07549591891332283
experiment,6,1.5232331860202453,0.02861774877223865,0.02846692240755524
experiment,7,0.826282152794001,0.02389620853579447,0.02366994828326722
theory_model,1,1.4333339066668722,0.7859865951006609,0.7857436521475257
theory_model,2,1.9000007600002724,0.767262164177755,0.7649342517241657
theory_model,3,3.300001320000473,0.2984096115517985,0.2978284850522792
theory_model,4,2.53333434666703,0.22483819122580032,0.22331139360459118
theory_model,5,4.183335006667266,0.14885223976019257,0.14786001101972962
theory_model,6,2.283334246666994,0.12966659604509634,0.12833567396427992
theory_model,7,0.6333335866667575,0.08528844552207127,0.0840891775261544
theory_model,8,0.783333646666779,0.08188926450245512,0.0803647837989737
